ligand_inchikey,ligand_smiles,drug_names,project_entity_ids,target_chembl_id,gene_symbol,uniprot_accession,target_name,target_class_l1,assay_lane,calibration_status,positive_compounds,negative_compounds,computed_pocket_evidence,pocket_consensus_class,best_method_match_p2rank_rank,best_method_match_fpocket_rank,evidence_compute_route,target_compute_class_zh,class_specific_compute_bundle_zh,wetlab_priority,conplex_score,conplex_rank_within_target,conplex_rank_within_ligand_46,conplex_percentile_within_target,conplex_percentile_within_ligand_46,drugclip_predicted_pocket_cosine_mean,drugclip_predicted_pocket_sixfold_std,drugclip_rank_within_target,drugclip_rank_within_ligand_44,drugclip_percentile_within_target,drugclip_percentile_within_ligand_44,drugclip_formal_eligible,dta_target_percentile_disagreement,dta_ligand_percentile_disagreement,dta_target_top10pct_concordant,dta_bidirectional_top10pct_concordant,sequence_only_fragment_exploratory_top5pct,shortlist_route
METQSPRSQINEEU-HXCATZOESA-N,C[C@]12CCC(=O)C=C1[C@@H]1C[C@@H]1[C@H]1[C@@H]3[C@@H]4C[C@@H]4[C@@]4(CCC(=O)O4)[C@@]3(C)CC[C@@H]12,drospirenone,UNII:N295J34A25,CHEMBL1075094,NFE2L2,Q16236,Nuclear factor erythroid 2-related factor 2,Transcription factor,NUCLEAR_EPIGENETIC_DOMAIN,T5_SPARSE_OR_NONE,3,70,P2_FPOCKET_GEOMETRIC_RESCUE,C4_FPOCKET_RESCUE,1.0,22.0,R4_GEOMETRIC_RESCUE_CONTROL_ACQUISITION,核内/表观遗传蛋白,结构域和辅因子状态预测口袋；历史对照GNINA；Boltz-2多seed；局部MD,W2_MINIMUM_CONTROL_AND_POCKET_VALIDATION,0.28647822,10.0,2.0,0.9874826,0.9777778,0.17919655,0.14945288,12.0,3.0,0.984701,0.95348835,True,0.0027816296,0.02428943,True,True,False,TWO_MODEL_TARGET_TOP10PCT_PREDICTED_POCKET
VOVIALXJUBGFJZ-KWVAZRHASA-N,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,budesonide,UNII:Q3OKS62Q6X,CHEMBL1075094,NFE2L2,Q16236,Nuclear factor erythroid 2-related factor 2,Transcription factor,NUCLEAR_EPIGENETIC_DOMAIN,T5_SPARSE_OR_NONE,3,70,P2_FPOCKET_GEOMETRIC_RESCUE,C4_FPOCKET_RESCUE,1.0,22.0,R4_GEOMETRIC_RESCUE_CONTROL_ACQUISITION,核内/表观遗传蛋白,结构域和辅因子状态预测口袋；历史对照GNINA；Boltz-2多seed；局部MD,W2_MINIMUM_CONTROL_AND_POCKET_VALIDATION,0.16092727,62.0,14.0,0.91515994,0.71111107,0.14085992,0.09331495,59.0,4.0,0.9193324,0.9302325,True,0.0041724443,0.21912146,True,False,False,TWO_MODEL_TARGET_TOP10PCT_PREDICTED_POCKET
UREBDLICKHMUKA-DVTGEIKXSA-N,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,betamethasone,UNII:9842X06Q6M,CHEMBL1075094,NFE2L2,Q16236,Nuclear factor erythroid 2-related factor 2,Transcription factor,NUCLEAR_EPIGENETIC_DOMAIN,T5_SPARSE_OR_NONE,3,70,P2_FPOCKET_GEOMETRIC_RESCUE,C4_FPOCKET_RESCUE,1.0,22.0,R4_GEOMETRIC_RESCUE_CONTROL_ACQUISITION,核内/表观遗传蛋白,结构域和辅因子状态预测口袋；历史对照GNINA；Boltz-2多seed；局部MD,W2_MINIMUM_CONTROL_AND_POCKET_VALIDATION,0.2182192,35.5,25.0,0.9520167,0.46666664,0.14969599,0.11008103,40.0,4.0,0.945758,0.9302325,True,0.006258726,0.4635659,True,False,False,TWO_MODEL_TARGET_TOP10PCT_PREDICTED_POCKET
GCKFUYQCUCGESZ-BPIQYHPVSA-N,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC,etonogestrel,UNII:304GTH6RNH,CHEMBL1075094,NFE2L2,Q16236,Nuclear factor erythroid 2-related factor 2,Transcription factor,NUCLEAR_EPIGENETIC_DOMAIN,T5_SPARSE_OR_NONE,3,70,P2_FPOCKET_GEOMETRIC_RESCUE,C4_FPOCKET_RESCUE,1.0,22.0,R4_GEOMETRIC_RESCUE_CONTROL_ACQUISITION,核内/表观遗传蛋白,结构域和辅因子状态预测口袋；历史对照GNINA；Boltz-2多seed；局部MD,W2_MINIMUM_CONTROL_AND_POCKET_VALIDATION,0.1654504,58.0,19.0,0.9207232,0.6,0.13878609,0.12697466,63.0,3.0,0.9137691,0.95348835,True,0.006954074,0.35348833,True,False,False,TWO_MODEL_TARGET_TOP10PCT_PREDICTED_POCKET
UREBDLICKHMUKA-CXSFZGCWSA-N,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,dexamethasone,UNII:7S5I7G3JQL,CHEMBL1075094,NFE2L2,Q16236,Nuclear factor erythroid 2-related factor 2,Transcription factor,NUCLEAR_EPIGENETIC_DOMAIN,T5_SPARSE_OR_NONE,3,70,P2_FPOCKET_GEOMETRIC_RESCUE,C4_FPOCKET_RESCUE,1.0,22.0,R4_GEOMETRIC_RESCUE_CONTROL_ACQUISITION,核内/表观遗传蛋白,结构域和辅因子状态预测口袋；历史对照GNINA；Boltz-2多seed；局部MD,W2_MINIMUM_CONTROL_AND_POCKET_VALIDATION,0.2182192,35.5,25.0,0.9520167,0.46666664,0.14962666,0.10941122,41.0,4.0,0.9443672,0.9302325,True,0.007649541,0.4635659,True,False,False,TWO_MODEL_TARGET_TOP10PCT_PREDICTED_POCKET
KENSGCYKTRNIST-RVUAFKSESA-N,CC1=N[C@]2(C(=O)CO)[C@@H](C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@@]32C)O1,deflazacort,UNII:KR5YZ6AE4B,CHEMBL1075094,NFE2L2,Q16236,Nuclear factor erythroid 2-related factor 2,Transcription factor,NUCLEAR_EPIGENETIC_DOMAIN,T5_SPARSE_OR_NONE,3,70,P2_FPOCKET_GEOMETRIC_RESCUE,C4_FPOCKET_RESCUE,1.0,22.0,R4_GEOMETRIC_RESCUE_CONTROL_ACQUISITION,核内/表观遗传蛋白,结构域和辅因子状态预测口袋；历史对照GNINA；Boltz-2多seed；局部MD,W2_MINIMUM_CONTROL_AND_POCKET_VALIDATION,0.17439017,54.0,12.0,0.9262865,0.75555557,0.14751546,0.09985273,48.0,3.0,0.9346314,0.95348835,True,0.008344889,0.19793278,True,False,False,TWO_MODEL_TARGET_TOP10PCT_PREDICTED_POCKET
BMGQWWVMWDBQGC-IIFHNQTCSA-N,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,midostaurin,UNII:ID912S5VON,CHEMBL1075094,NFE2L2,Q16236,Nuclear factor erythroid 2-related factor 2,Transcription factor,NUCLEAR_EPIGENETIC_DOMAIN,T5_SPARSE_OR_NONE,3,70,P2_FPOCKET_GEOMETRIC_RESCUE,C4_FPOCKET_RESCUE,1.0,22.0,R4_GEOMETRIC_RESCUE_CONTROL_ACQUISITION,核内/表观遗传蛋白,结构域和辅因子状态预测口袋；历史对照GNINA；Boltz-2多seed；局部MD,W2_MINIMUM_CONTROL_AND_POCKET_VALIDATION,0.1648271,60.0,22.0,0.9179416,0.5333333,0.14737038,0.0625255,49.0,5.0,0.9332406,0.90697676,True,0.015299022,0.37364346,True,False,False,TWO_MODEL_TARGET_TOP10PCT_PREDICTED_POCKET
JYGXADMDTFJGBT-VWUMJDOOSA-N,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,hydrocortisone,UNII:WI4X0X7BPJ,CHEMBL1075094,NFE2L2,Q16236,Nuclear factor erythroid 2-related factor 2,Transcription factor,NUCLEAR_EPIGENETIC_DOMAIN,T5_SPARSE_OR_NONE,3,70,P2_FPOCKET_GEOMETRIC_RESCUE,C4_FPOCKET_RESCUE,1.0,22.0,R4_GEOMETRIC_RESCUE_CONTROL_ACQUISITION,核内/表观遗传蛋白,结构域和辅因子状态预测口袋；历史对照GNINA；Boltz-2多seed；局部MD,W2_MINIMUM_CONTROL_AND_POCKET_VALIDATION,0.22246578,32.0,1.0,0.95688456,1.0,0.1480798,0.14470722,46.0,6.0,0.9374131,0.88372093,True,0.019471467,0.116279066,True,False,False,TWO_MODEL_TARGET_TOP10PCT_PREDICTED_POCKET
MUMGGOZAMZWBJJ-DYKIIFRCSA-N,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,testosterone,UNII:3XMK78S47O,CHEMBL1075094,NFE2L2,Q16236,Nuclear factor erythroid 2-related factor 2,Transcription factor,NUCLEAR_EPIGENETIC_DOMAIN,T5_SPARSE_OR_NONE,3,70,P2_FPOCKET_GEOMETRIC_RESCUE,C4_FPOCKET_RESCUE,1.0,22.0,R4_GEOMETRIC_RESCUE_CONTROL_ACQUISITION,核内/表观遗传蛋白,结构域和辅因子状态预测口袋；历史对照GNINA；Boltz-2多seed；局部MD,W2_MINIMUM_CONTROL_AND_POCKET_VALIDATION,0.22363174,31.0,16.0,0.9582754,0.6666666,0.1730255,0.17084704,16.0,6.0,0.9791377,0.88372093,True,0.02086234,0.21705431,True,False,False,TWO_MODEL_TARGET_TOP10PCT_PREDICTED_POCKET
DMKSVUSAATWOCU-HROMYWEYSA-N,CCOC(=O)O[C@]1(C(=O)OCCl)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,loteprednol etabonate,UNII:YEH1EZ96K6,CHEMBL1075094,NFE2L2,Q16236,Nuclear factor erythroid 2-related factor 2,Transcription factor,NUCLEAR_EPIGENETIC_DOMAIN,T5_SPARSE_OR_NONE,3,70,P2_FPOCKET_GEOMETRIC_RESCUE,C4_FPOCKET_RESCUE,1.0,22.0,R4_GEOMETRIC_RESCUE_CONTROL_ACQUISITION,核内/表观遗传蛋白,结构域和辅因子状态预测口袋；历史对照GNINA；Boltz-2多seed；局部MD,W2_MINIMUM_CONTROL_AND_POCKET_VALIDATION,0.19871446,41.0,20.0,0.9443672,0.57777774,0.16551052,0.05629894,23.0,2.0,0.96940196,0.9767442,True,0.025034785,0.39896643,True,False,False,TWO_MODEL_TARGET_TOP10PCT_PREDICTED_POCKET
