arm,endpoint,rows,groups,unique_pairs,targets,shared_validation_test_assay_row_fraction
kdki_inactive,Kd,11906,870,11550,464,0.8670418276499244
kdki_inactive,Ki,138685,7642,133083,682,0.7930922594368534
all_inactive,Kd,12104,871,11751,465,0.8682253800396563
all_inactive,Ki,138965,7671,133319,688,0.7929406685136545
all_inactive,IC50,427584,17280,395950,1567,0.877743320610687
all_inactive,EC50,60858,3033,57643,486,0.8299976995629169
