run,arm,variant,ap_mean,auroc_mean,target_macro_ap_mean,drug_macro_ap_mean,balanced_query_ap_mean,target_p5_mean,drug_p5_mean,explicit_inactive_fpr_mean,validation_selection_score_mean
endpoint_multitask_20260911,kdki_inactive,binary,0.9555030741111114,0.9151169231060322,0.6979201832925584,0.6084496892327745,0.6531849362626665,0.6409560723514213,0.5790123456790124,0.3503928381381663,0.7045309047192433
endpoint_multitask_20260911,kdki_inactive,rank,0.9286203860281526,0.8847988720563107,0.6835893983120482,0.5967746565989646,0.6401820274555065,0.6279069767441859,0.562962962962963,0.4001001658997714,0.7030662195383828
endpoint_multitask_20260911,kdki_inactive,regression,0.945573734571855,0.9028962898077492,0.6883122101466487,0.5982000271606568,0.6432561186536527,0.6303617571059431,0.5617283950617284,0.3951857764422324,0.707142564891604
endpoint_multitask_20260911,kdki_inactive,joint,0.9468223680616028,0.903524356167336,0.6955815002295954,0.6274077337161538,0.6614946169728745,0.6396640826873384,0.5740740740740741,0.3980655460606629,0.7078103087967286
endpoint_multitask_20260911,all_inactive,binary,0.917034670291831,0.8623364146273982,0.6568858359575498,0.5431991032119643,0.600042469584757,0.6058139534883721,0.5197530864197532,0.4784799824709675,0.6697678416084204
endpoint_multitask_20260911,all_inactive,rank,0.9152911026719708,0.8674814125519622,0.676666699747747,0.5764682749585265,0.6265674873531367,0.6161498708010336,0.5271604938271605,0.4849594641124362,0.6688046850750548
endpoint_multitask_20260911,all_inactive,regression,0.9159388110310764,0.8587557175480999,0.6708730445831291,0.5962110787118198,0.6335420616474745,0.6109819121447029,0.5481481481481482,0.4518108116568065,0.6828716635704946
endpoint_multitask_20260911,all_inactive,joint,0.915149164198191,0.8603248009111604,0.6694492775316202,0.5658659753278918,0.617657626429756,0.6149870801033592,0.525925925925926,0.4849907659561148,0.6864024211961177
assay_aware_20260911,all_inactive,assay,0.8956364942907081,0.8419195686727803,0.6805135901427214,0.5667892327573879,0.6236514114500546,0.6156330749354005,0.5123456790123456,0.4757254202272514,0.6676014779026027
assay_aware_20260911,all_inactive,balanced,0.8983561394776297,0.8379429835340061,0.6682143831038186,0.5163320407279609,0.5922732119158897,0.6042635658914729,0.4950617283950618,0.5108460888346323,0.6642563985356799
assay_aware_20260911,all_inactive,regression,0.9053085025212942,0.8468078645836702,0.6774827989086584,0.5392490660314255,0.608365932470042,0.6164082687338501,0.5160493827160494,0.5069646602184869,0.6574422144437625
assay_aware_20260911,all_inactive,rotate150,0.8748293556626358,0.8187738152252728,0.6611246473946734,0.5053506156466662,0.5832376315206699,0.6032299741602067,0.4901234567901234,0.4910946254734404,0.6534003795712336
assay_aware_20260911,kdki_inactive,adapt_from_B,0.9077744200202092,0.8533127825104119,0.6752694827483702,0.5754843996092357,0.6253769411788029,0.6144702842377261,0.5382716049382715,0.4502457194728769,0.673131749935839
assay_aware_20260911,kdki_inactive,assay,0.9387092698845624,0.8901520872924946,0.7006480081628169,0.5669572757256839,0.6338026419442505,0.6421188630490956,0.5407407407407407,0.4327479888565436,0.6911530911704181
assay_aware_20260911,kdki_inactive,balanced,0.9353988824636236,0.8928656372953735,0.6925456236013233,0.5963141906944897,0.6444299071479065,0.6381136950904392,0.5567901234567901,0.3916799699502301,0.7054942340859586
assay_aware_20260911,kdki_inactive,continue_A,0.9367665969729884,0.8886126315335979,0.7010473791296393,0.574320103356572,0.6376837412431057,0.6397932816537467,0.54320987654321,0.4201646476977494,0.6842786684307972
assay_aware_20260911,kdki_inactive,regression,0.9262550968445642,0.875451760141432,0.6941846133489822,0.5382043896958612,0.6161945015224216,0.6351421188630492,0.5160493827160494,0.4685259961811751,0.6983078374581027
assay_aware_20260911,kdki_inactive,rotate150,0.9236242936422254,0.8803521230203741,0.6983418796741532,0.5682144833308823,0.6332781815025178,0.6392764857881138,0.5395061728395062,0.4284283344288979,0.7053119058258939
