arm,variant,seed,ap,auroc,target_macro_ap,drug_macro_ap,balanced_query_ap,target_p5,drug_p5,explicit_inactive_fpr,validation_selection_score
kdki_inactive,balanced,20260921,0.9448339842209418,0.9058162786012601,0.7078582460180877,0.6137910051101869,0.6608246255641372,0.6453488372093024,0.5740740740740741,0.3923373086674805,0.7084360696904035
all_inactive,balanced,20260921,0.9001689207513429,0.8439894825135055,0.6679916594980602,0.5227846638470973,0.5953881616725787,0.6042635658914729,0.5037037037037038,0.5457789463799417,0.66866566388719
kdki_inactive,rotate150,20260921,0.934532395328174,0.8880749102972996,0.7153758838488378,0.5800779387521655,0.6477269113005016,0.6503875968992249,0.5444444444444445,0.42473471687482395,0.7177363677675037
all_inactive,rotate150,20260921,0.8905757799460446,0.8335554387255703,0.6665749003314205,0.5060493989663152,0.5863121496488679,0.6131782945736435,0.5074074074074074,0.5070898675932013,0.6654609144007896
kdki_inactive,regression,20260921,0.9277532233419599,0.8750957603841265,0.6949356682984184,0.5278002193948659,0.6113679438466422,0.6341085271317829,0.5074074074074074,0.45328199830970045,0.686183332133606
all_inactive,regression,20260921,0.8950272470274172,0.8410793220489662,0.6732777554520881,0.5257099855313254,0.5994938704917068,0.6155038759689923,0.5037037037037038,0.5223025636209973,0.6398186475948315
kdki_inactive,assay,20260921,0.9518077187710949,0.9052830649734889,0.7128339467831541,0.5875759003147301,0.6502049235489421,0.6527131782945735,0.5518518518518518,0.39853507371584185,0.6914268357964637
all_inactive,assay,20260921,0.8972546543347302,0.8454855948899093,0.6722784818504844,0.5849115176025554,0.6285949997265199,0.6135658914728682,0.537037037037037,0.44332801201990796,0.6674862254304667
kdki_inactive,continue_A,20260921,0.9530303201966223,0.9090567851421066,0.7127934560752704,0.6023138620453392,0.6575536590603048,0.6488372093023255,0.5592592592592592,0.3937458916330172,0.6905426143014923
kdki_inactive,adapt_from_B,20260921,0.9089328526783556,0.8530776963672058,0.6739028438664885,0.5952493427212903,0.6345760932938893,0.6127906976744186,0.5518518518518517,0.42107240116442857,0.666678482174041
kdki_inactive,balanced,20260922,0.92984920097075,0.887281378889129,0.6855778736752789,0.5686544024708394,0.6271161380730592,0.6391472868217053,0.5296296296296297,0.41478073058503145,0.7096973985252526
all_inactive,balanced,20260922,0.8994504718891545,0.8359072294283943,0.6649813834717603,0.5101409760857245,0.5875611797787423,0.596124031007752,0.5037037037037038,0.48182927974457695,0.6677344416401967
kdki_inactive,rotate150,20260922,0.9231502563089367,0.8802894295102243,0.6837484514733991,0.5421262952974799,0.6129373733854395,0.627906976744186,0.5296296296296297,0.4154380693022819,0.6934090771937175
all_inactive,rotate150,20260922,0.890103797013747,0.8407553414773847,0.6658758131164582,0.5243291255982325,0.5951024693573453,0.6042635658914729,0.5,0.43656681378533196,0.6518354113172247
kdki_inactive,regression,20260922,0.9322665105056358,0.8818474661670909,0.7046035143273098,0.5144025304587895,0.6095030223930497,0.6422480620155039,0.48888888888888893,0.4777913419100385,0.7145039825374374
all_inactive,regression,20260922,0.9177542976702142,0.8570092086473446,0.6862616973019695,0.5239475402075788,0.6051046187547742,0.6213178294573644,0.5000000000000001,0.49375528218612075,0.6571221186370928
kdki_inactive,assay,20260922,0.9387869447992792,0.8875560887504689,0.6927791769564409,0.5389918913350333,0.6158855341457371,0.6391472868217054,0.5185185185185185,0.45882242464081135,0.6795534284090318
all_inactive,assay,20260922,0.9083378286015232,0.8541616655443786,0.712589870198242,0.5547464247384032,0.6336681474683226,0.6368217054263566,0.5222222222222223,0.4845525401446145,0.6816783871195452
kdki_inactive,continue_A,20260922,0.9328805227613037,0.8817510988529972,0.6998054909692295,0.5413822504542614,0.6205938707117454,0.6414728682170543,0.5222222222222223,0.4514038876889849,0.669911715740166
kdki_inactive,adapt_from_B,20260922,0.9153537620559218,0.8648177818128779,0.6955951482046504,0.5669457706796265,0.6312704594421384,0.6310077519379845,0.5185185185185185,0.4480232885716969,0.6956593615088378
kdki_inactive,balanced,20260923,0.931513462199179,0.8854992543957314,0.6842007511106034,0.6064971645024427,0.645348957806523,0.6298449612403101,0.5666666666666667,0.3679218705981782,0.6983492340422197
all_inactive,balanced,20260923,0.8954490257923919,0.8339322386601185,0.6716701063416354,0.5160704822510609,0.5938702942963481,0.6124031007751938,0.47777777777777775,0.5049300403793784,0.6563690900796528
kdki_inactive,rotate150,20260923,0.9131902292895657,0.8726920292535985,0.6959013037002229,0.5824392159430017,0.6391702598216122,0.6395348837209303,0.5444444444444445,0.44511221710958776,0.7047902725164605
all_inactive,rotate150,20260923,0.8438084900281153,0.7820106654728634,0.6509232287361415,0.48567332237545074,0.5682982755557962,0.5922480620155038,0.4629629629629629,0.529627195041788,0.6429048129956869
kdki_inactive,regression,20260923,0.918745556686097,0.8694120538730785,0.6830146574212183,0.5724104192339282,0.6277125383275732,0.6290697674418605,0.5518518518518518,0.47450464832378625,0.6942361977032643
all_inactive,regression,20260923,0.9031439628662516,0.8423350630546996,0.6729089439719175,0.5680896723553724,0.620499308163645,0.6124031007751938,0.5444444444444445,0.5048361348483426,0.6753858770993633
