arm,variant,seed,panel,scope,pairs,positive,negative,prevalence,auroc,ap,brier,precision,recall,false_positive_rate,threshold,mean_probability,top1pct_n,top1pct_precision,top1pct_enrichment,top5pct_n,top5pct_precision,top5pct_enrichment,top10pct_n,top10pct_precision,top10pct_enrichment
kdki_inactive,balanced,20260921,AFFINITY_KD_KI,raw_source_assay_disjoint,3485,2448,1037,0.7024390243902439,0.6848938144849711,0.8340837175818374,0.2761612433175118,0.8004115226337448,0.6356209150326797,0.3741562198649952,0.5013517882469153,0.5464690783220093,35,0.8857142857142857,1.2609126984126984,175,0.92,1.3097222222222225,349,0.9255014326647565,1.3175541228907992
kdki_inactive,balanced,20260921,ACTIVITY_IC50,raw_source_assay_disjoint,70620,53437,17183,0.7566836590201076,0.6718231811124192,0.8480140058323397,0.23588822903767875,0.8239646810098247,0.7439227501543874,0.494267590059943,0.5013517882469153,0.6485380234713216,707,0.9038189533239038,1.1944475641172614,3531,0.8937977909940527,1.1812040346576342,7062,0.8894080996884736,1.1754028107865337
kdki_inactive,balanced,20260921,ACTIVITY_EC50,raw_source_assay_disjoint,8644,5962,2682,0.6897269782508099,0.6416606066609781,0.7865213264262142,0.28303124572110555,0.7682378251515745,0.6588393156658839,0.441834451901566,0.5013517882469153,0.5729740151475248,87,0.9195402298850575,1.3331945231678022,433,0.8775981524249422,1.2723848422611874,865,0.8589595375722543,1.245361664336559
kdki_inactive,balanced,20260921,ALL_ENDPOINT_UNION,raw_source_assay_disjoint,82109,61020,21089,0.7431584844535922,0.664560623338162,0.8357355595285019,0.2453935006669178,0.8118175862570971,0.7310881678138316,0.49035041965005455,0.5013517882469153,0.637101038812863,822,0.9014598540145985,1.213011588877166,4106,0.889186556259133,1.1964965412632111,8211,0.8830836682499087,1.1882844463508972
kdki_inactive,balanced,20260921,EXPLICIT_INACTIVE,raw_source_assay_disjoint,521,0,521,0.0,,,0.6882812563471389,0.0,,0.8502879078694817,0.5013517882469153,0.7829441946436028,6,0.0,,27,0.0,,53,0.0,
kdki_inactive,balanced,20260921,AFFINITY_KD_KI,raw_source_assay_and_document_disjoint,488,324,164,0.6639344262295082,0.8605088828666065,0.8887068672945362,0.13073171303109893,0.8571428571428571,0.8888888888888888,0.2926829268292683,0.5013517882469153,0.657785385724951,5,1.0,1.5061728395061729,25,0.88,1.3254320987654322,49,0.8571428571428571,1.291005291005291
kdki_inactive,balanced,20260921,ACTIVITY_IC50,raw_source_assay_and_document_disjoint,994,508,486,0.5110663983903421,0.6790346229869414,0.6903324461179026,0.2791820688023234,0.6208695652173913,0.702755905511811,0.448559670781893,0.5013517882469153,0.5666182787575472,10,0.8,1.5653543307086615,50,0.82,1.6044881889763778,100,0.85,1.6631889763779526
kdki_inactive,balanced,20260921,ACTIVITY_EC50,raw_source_assay_and_document_disjoint,188,166,22,0.8829787234042553,0.7590361445783133,0.9243505413948111,0.14727666845696666,0.9496402877697842,0.7951807228915663,0.3181818181818182,0.5013517882469153,0.6970558404288394,2,0.0,0.0,10,0.8,0.9060240963855423,19,0.8947368421052632,1.0133164235890932
kdki_inactive,balanced,20260921,ALL_ENDPOINT_UNION,raw_source_assay_and_document_disjoint,1930,934,996,0.48393782383419687,0.6334594265713819,0.5976736403529826,0.31659933115270245,0.5552977571539056,0.7687366167023555,0.5773092369477911,0.5013517882469153,0.641225979371006,20,0.75,1.5497858672376874,97,0.6907216494845361,1.4272942007549836,193,0.7150259067357513,1.4775160599571735
kdki_inactive,balanced,20260921,EXPLICIT_INACTIVE,raw_source_assay_and_document_disjoint,362,0,362,0.0,,,0.7321568718740715,0.0,,0.9005524861878453,0.5013517882469153,0.8253604988901984,4,0.0,,19,0.0,,37,0.0,
