arm,variant,panel,scope,pairs,positive,negative,ap,auroc
all_inactive,rotate150,ALL_ENDPOINT_UNION,raw_source_assay_disjoint,8290.0,4677.0,3613.0,0.7142495652552667,0.6812193051710672
all_inactive,rotate150,EXPLICIT_INACTIVE,raw_source_assay_and_document_disjoint,362.0,0.0,362.0,,
all_inactive,rotate150,EXPLICIT_INACTIVE,raw_source_assay_disjoint,494.0,0.0,494.0,,
kdki_inactive,adapt_from_B,ACTIVITY_EC50,raw_source_assay_and_document_disjoint,188.0,166.0,22.0,0.9565736553650622,0.7920774005111353
kdki_inactive,adapt_from_B,ACTIVITY_EC50,raw_source_assay_disjoint,8644.0,5962.0,2682.0,0.9479994174363112,0.9109975594874923
kdki_inactive,adapt_from_B,ACTIVITY_IC50,raw_source_assay_and_document_disjoint,994.0,508.0,486.0,0.7876920595203641,0.7828205502090017
kdki_inactive,adapt_from_B,ACTIVITY_IC50,raw_source_assay_disjoint,70620.0,53437.0,17183.0,0.9728445023458624,0.9338211411947471
kdki_inactive,adapt_from_B,AFFINITY_KD_KI,raw_source_assay_and_document_disjoint,488.0,324.0,164.0,0.890142778783452,0.8541290274013852
kdki_inactive,adapt_from_B,AFFINITY_KD_KI,raw_source_assay_disjoint,3485.0,2448.0,1037.0,0.8260645159421388,0.6873479462501813
kdki_inactive,adapt_from_B,ALL_ENDPOINT_UNION,raw_source_assay_and_document_disjoint,1930.0,934.0,996.0,0.6612842424463328,0.7013329907782451
kdki_inactive,adapt_from_B,ALL_ENDPOINT_UNION,raw_source_assay_disjoint,82109.0,61020.0,21089.0,0.9641548617086445,0.9189648644939755
kdki_inactive,adapt_from_B,EXPLICIT_INACTIVE,raw_source_assay_and_document_disjoint,362.0,0.0,362.0,,
kdki_inactive,adapt_from_B,EXPLICIT_INACTIVE,raw_source_assay_disjoint,521.0,0.0,521.0,,
kdki_inactive,assay,ACTIVITY_EC50,raw_source_assay_and_document_disjoint,188.0,166.0,22.0,0.9576822620330033,0.776743336984301
kdki_inactive,assay,ACTIVITY_EC50,raw_source_assay_disjoint,8644.0,5962.0,2682.0,0.80580101051699,0.6659402581416499
kdki_inactive,assay,ACTIVITY_IC50,raw_source_assay_and_document_disjoint,994.0,508.0,486.0,0.7222128159959086,0.6896811509672403
kdki_inactive,assay,ACTIVITY_IC50,raw_source_assay_disjoint,70620.0,53437.0,17183.0,0.8595713277742592,0.6882798435940245
kdki_inactive,assay,AFFINITY_KD_KI,raw_source_assay_and_document_disjoint,488.0,324.0,164.0,0.9127388919751565,0.8654082605640872
kdki_inactive,assay,AFFINITY_KD_KI,raw_source_assay_disjoint,3485.0,2448.0,1037.0,0.8376653215424629,0.6761870959677131
kdki_inactive,assay,ALL_ENDPOINT_UNION,raw_source_assay_and_document_disjoint,1930.0,934.0,996.0,0.6336011576031777,0.6449941450312312
kdki_inactive,assay,ALL_ENDPOINT_UNION,raw_source_assay_disjoint,82109.0,61020.0,21089.0,0.8477941734300739,0.6815634715627246
kdki_inactive,assay,EXPLICIT_INACTIVE,raw_source_assay_and_document_disjoint,362.0,0.0,362.0,,
kdki_inactive,assay,EXPLICIT_INACTIVE,raw_source_assay_disjoint,521.0,0.0,521.0,,
kdki_inactive,balanced,ACTIVITY_EC50,raw_source_assay_and_document_disjoint,188.0,166.0,22.0,0.9392065534482503,0.7508671047827674
kdki_inactive,balanced,ACTIVITY_EC50,raw_source_assay_disjoint,8644.0,5962.0,2682.0,0.7836031222466917,0.6445055156266429
kdki_inactive,balanced,ACTIVITY_IC50,raw_source_assay_and_document_disjoint,994.0,508.0,486.0,0.6982241341168353,0.6839295551019084
kdki_inactive,balanced,ACTIVITY_IC50,raw_source_assay_disjoint,70620.0,53437.0,17183.0,0.850991186601768,0.6754607382949848
kdki_inactive,balanced,AFFINITY_KD_KI,raw_source_assay_and_document_disjoint,488.0,324.0,164.0,0.9086686290379001,0.8658724781692261
