arm,variant,ap_mean,ap_std,auroc_mean,auroc_std,target_macro_ap_mean,target_macro_ap_std,drug_macro_ap_mean,drug_macro_ap_std,balanced_query_ap_mean,balanced_query_ap_std,target_p5_mean,target_p5_std,drug_p5_mean,drug_p5_std,explicit_inactive_fpr_mean,explicit_inactive_fpr_std,validation_selection_score_mean,validation_selection_score_std
all_inactive,assay,0.8956364942907081,0.013582898324388935,0.8419195686727803,0.014361097353322258,0.6805135901427214,0.028853996446172248,0.5667892327573879,0.01597508171296174,0.6236514114500546,0.013201995464899486,0.6156330749354005,0.020234389612870187,0.5123456790123456,0.030839496288387166,0.4757254202272514,0.029009210560281818,0.6676014779026027,0.014019638285172853
all_inactive,balanced,0.8983561394776297,0.0025431328467202755,0.8379429835340061,0.005328720255887842,0.6682143831038186,0.0033499190678162602,0.5163320407279609,0.006325900701038644,0.5922732119158897,0.004150712648339861,0.6042635658914729,0.008139534883720878,0.4950617283950618,0.014968340312323676,0.5108460888346323,0.032382706614599986,0.6642563985356799,0.006846460379547246
all_inactive,regression,0.9053085025212942,0.011517101704367913,0.8468078645836702,0.008856906169620987,0.6774827989086584,0.00760498509052037,0.5392490660314255,0.02499223845975913,0.608365932470042,0.010875855290939882,0.6164082687338501,0.0045256537178648745,0.5160493827160494,0.024660474512886596,0.5069646602184869,0.014392177893530323,0.6574422144437625,0.017785775205233372
all_inactive,rotate150,0.8748293556626358,0.026865894187767483,0.8187738152252728,0.032040701220439206,0.6611246473946734,0.008841599839311475,0.5053506156466662,0.019337373252214737,0.5832376315206699,0.013664029333553684,0.6032299741602067,0.010503327693386464,0.4901234567901234,0.023811483360476504,0.49109462547344046,0.048548372452138576,0.6534003795712336,0.01135919327577269
kdki_inactive,adapt_from_B,0.9077744200202092,0.008220009079022395,0.8533127825104119,0.01138927603190247,0.6752694827483702,0.019677970763303354,0.5754843996092357,0.01716961400764856,0.6253769411788029,0.013174723076946655,0.6144702842377261,0.015764921199303464,0.5382716049382715,0.017503020837972574,0.4502457194728769,0.030345632047054597,0.673131749935839,0.02009381094951953
kdki_inactive,assay,0.9387092698845624,0.013137458564184606,0.8901520872924946,0.014014481724761031,0.7006480081628169,0.010701705962993495,0.5669572757256839,0.02511140461666106,0.6338026419442505,0.01720976891333295,0.6421188630490956,0.009465091941804827,0.5407407407407407,0.01924500897298753,0.4327479888565436,0.030956700487357065,0.6911530911704181,0.01146524168752268
kdki_inactive,balanced,0.9353988824636236,0.008213300203774691,0.8928656372953735,0.01125092549983313,0.6925456236013233,0.013278984170422482,0.5963141906944897,0.0242301040265138,0.6444299071479065,0.016873026486640397,0.6381136950904392,0.0078034464447242664,0.5567901234567901,0.023811483360476383,0.3916799699502301,0.02343634486132118,0.7054942340859586,0.006219807619707932
kdki_inactive,continue_A,0.9367665969729883,0.014710820183400966,0.8886126315335979,0.01802126020519235,0.7010473791296393,0.011176998520426204,0.574320103356572,0.030765213691209558,0.6376837412431057,0.01863606680274041,0.6397932816537467,0.009990180063164395,0.54320987654321,0.01900593125721066,0.4201646476977494,0.02912969148929925,0.6842786684307972,0.012476078450574217
kdki_inactive,regression,0.9262550968445642,0.006883845967130148,0.875451760141432,0.006225345098941879,0.6941846133489822,0.01081400704090437,0.5382043896958612,0.030371267009729818,0.6161945015224216,0.010018401164389259,0.6351421188630492,0.006649668853983326,0.5160493827160494,0.03235887017797813,0.46852599618117513,0.013303578165727447,0.6983078374581027,0.014592754967582132
kdki_inactive,rotate150,0.9236242936422254,0.010678976840029851,0.8803521230203741,0.007691632151781999,0.6983418796741532,0.01595433884493904,0.5682144833308823,0.022623860714798737,0.6332781815025178,0.01812775295712748,0.6392764857881138,0.011242537425223307,0.5395061728395062,0.00855333732132781,0.4284283344288979,0.015177973184825496,0.7053119058258939,0.012172031163593418
