arm,variant,direction,metric,queries,seeds,baseline_value,optimized_value,delta,ci95_low,ci95_high,inference_scope
all_inactive,assay,target,macro_AP,516,3,0.6568858359575498,0.6805135901427215,0.023627754185171667,0.016765441657995917,0.03078053705925475,"paired query bootstrap conditional on three seeds; exploratory, no multiple-comparison correction"
all_inactive,assay,target,P5,516,3,0.6058139534883722,0.6156330749354005,0.009819121447028418,0.0027131782945736364,0.01666666666666666,"paired query bootstrap conditional on three seeds; exploratory, no multiple-comparison correction"
all_inactive,balanced,target,macro_AP,516,3,0.6568858359575498,0.6682143831038186,0.01132854714626878,0.0048589558320499705,0.01755728612622142,"paired query bootstrap conditional on three seeds; exploratory, no multiple-comparison correction"
all_inactive,balanced,target,P5,516,3,0.6058139534883722,0.6042635658914728,-0.001550387596899221,-0.008010335917312658,0.004909560723514217,"paired query bootstrap conditional on three seeds; exploratory, no multiple-comparison correction"
all_inactive,regression,target,macro_AP,516,3,0.6568858359575498,0.6774827989086585,0.020596962951108532,0.013605726764289542,0.02794146066964215,"paired query bootstrap conditional on three seeds; exploratory, no multiple-comparison correction"
all_inactive,regression,target,P5,516,3,0.6058139534883722,0.6164082687338501,0.010594315245478037,0.004389534883720928,0.017445090439276473,"paired query bootstrap conditional on three seeds; exploratory, no multiple-comparison correction"
all_inactive,rotate150,target,macro_AP,516,3,0.6568858359575498,0.6611246473946735,0.004238811437123577,-0.0029400538927061856,0.011077351303419778,"paired query bootstrap conditional on three seeds; exploratory, no multiple-comparison correction"
all_inactive,rotate150,target,P5,516,3,0.6058139534883722,0.6032299741602067,-0.0025839793281653783,-0.009431524547803619,0.004651162790697672,"paired query bootstrap conditional on three seeds; exploratory, no multiple-comparison correction"
kdki_inactive,adapt_from_B,target,macro_AP,516,3,0.6979201832925586,0.6752694827483701,-0.022650700544188388,-0.03373567486271201,-0.01126656686098377,"paired query bootstrap conditional on three seeds; exploratory, no multiple-comparison correction"
kdki_inactive,adapt_from_B,target,P5,516,3,0.6409560723514213,0.6144702842377262,-0.026485788113695088,-0.0372093023255814,-0.01562984496124033,"paired query bootstrap conditional on three seeds; exploratory, no multiple-comparison correction"
kdki_inactive,assay,target,macro_AP,516,3,0.6979201832925586,0.700648008162817,0.002727824870258462,-0.00415791383995719,0.009912307533963797,"paired query bootstrap conditional on three seeds; exploratory, no multiple-comparison correction"
