arm,variant,seed,optimizer_steps,best_step,seconds,nominal_full_pool_passes,unique_binary_fraction
kdki_inactive,balanced,20260921,31000,19000,159.7569402428344,94.03679236899013,1.0
all_inactive,balanced,20260921,30534,4362,150.3598032835871,28.010083581929102,1.0
kdki_inactive,rotate150,20260921,21000,9000,105.25860191043466,63.702343217702996,1.0
all_inactive,rotate150,20260921,65430,39258,335.8919648025185,60.021607675562365,1.0
kdki_inactive,regression,20260921,14000,2000,85.19684328045696,42.468228811802,1.0
all_inactive,regression,20260921,37077,10905,229.85449454840273,34.01224434948534,1.0
kdki_inactive,assay,20260921,26000,14000,219.2454898348078,78.86956779334656,1.0
all_inactive,assay,20260921,58887,32715,611.3334269598126,54.01944690800613,1.0
kdki_inactive,continue_A,20260921,13000,6000,110.20808595046401,39.43478389667328,1.0
kdki_inactive,adapt_from_B,20260921,14000,2000,109.5930561767891,42.468228811802,1.0
kdki_inactive,balanced,20260922,26000,14000,133.3613277822733,78.86956779334656,1.0
all_inactive,balanced,20260922,34896,8724,171.90384658053517,32.01152409363326,1.0
kdki_inactive,rotate150,20260922,24000,12000,130.57939243037254,72.80267796308914,1.0
all_inactive,rotate150,20260922,61068,34896,319.3836283925921,56.020167163858204,1.0
kdki_inactive,regression,20260922,15000,3000,92.08674112800509,45.50167372693071,1.0
all_inactive,regression,20260922,34896,8724,204.69514660350978,32.01152409363326,1.0
kdki_inactive,assay,20260922,16000,4000,135.93979551270604,48.53511864205942,1.0
all_inactive,assay,20260922,39258,13086,405.06203451473266,36.012964605337416,1.0
kdki_inactive,continue_A,20260922,13000,1000,108.54128551017493,39.43478389667328,1.0
kdki_inactive,adapt_from_B,20260922,20000,8000,168.29843149147928,60.668898302574284,1.0
kdki_inactive,balanced,20260923,30000,18000,154.9333283295855,91.00334745386142,1.0
all_inactive,balanced,20260923,30534,4362,150.3362401444465,28.010083581929102,1.0
kdki_inactive,rotate150,20260923,26000,14000,142.56040863972157,78.86956779334656,1.0
all_inactive,rotate150,20260923,32715,6543,170.24094066675752,30.010803837781182,1.0
kdki_inactive,regression,20260923,15000,3000,91.04088278114796,45.50167372693071,1.0
all_inactive,regression,20260923,43620,17448,267.6322631193325,40.014405117041576,1.0
kdki_inactive,assay,20260923,18000,6000,152.86936745606363,54.602008472316854,1.0
all_inactive,assay,20260923,41439,15267,431.83138061128557,38.013684861189496,1.0
kdki_inactive,continue_A,20260923,14000,2000,119.08826649654657,42.468228811802,1.0
kdki_inactive,adapt_from_B,20260923,25000,13000,212.6021480821073,75.83612287821785,1.0
