排名,推荐层级,老药新用类型,药物,原适应症领域,原领域英文,候选靶点,拟新用细分病种,拟新用病种英文,拟新用病种大类,优先级分数,ConPLEx分数,药物内靶点排名,OpenTargets病种分数,实验类型,风险等级,文献状态,PubMed总窗计数,上市后PubMed计数,是否同原适应症领域,是否同已知靶点家族
428,二级复核,同领域新靶点/新病种探索,Apalutamide,肿瘤,Oncology,DNMT3A,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,48.99048393333333,0.43551037,32,0.8577261614555013,酶/表观遗传生化,中高,PubMed pair审计未见明确报道,0,0,是,否
429,二级复核,跨大领域老药新用,Rilpivirine Hydrochloride,感染性疾病,Infectious Disease,CDK6,乳腺癌,breast carcinoma,实体瘤,48.36229650892586,0.36350212,47,0.6103198922485568,激酶生化/细胞,medium,PubMed pair审计未见明确报道,0,0,否,否
430,二级复核,跨大领域老药新用,Tecovirimat,感染性疾病,Infectious Disease,CDK4,乳腺癌,breast cancer,实体瘤,48.215819050717116,0.35052675,77,0.6307216615133534,激酶生化/细胞,medium,PubMed pair审计未见明确报道,0,0,否,否
431,二级复核,跨大领域老药新用,Fulvestrant,肿瘤,Oncology,BRAF,黑色素瘤,melanoma,实体瘤,47.0,0.5593665,21,0.819548256089721,激酶生化/细胞,high,上市后文献有新靶点线索,3,2,否,否
432,二级复核,跨大领域老药新用,Obeticholic Acid,其他,Other,BRAF,黑色素瘤,melanoma,实体瘤,46.34054206666667,0.35729733,48,0.819548256089721,激酶生化/细胞,high,PubMed pair审计未见明确报道,0,0,否,否
433,二级复核,跨大领域老药新用,Lubiprostone,胃肠/消化,Gastroenterology,KRAS,非小细胞肺癌,non-small cell lung carcinoma,实体瘤,46.0730068,0.48013586,11,0.803548887170282,酶/表观遗传生化,high,PubMed pair审计未见明确报道,0,0,否,否
434,二级复核,跨大领域老药新用,Emtricitabine,感染性疾病,Infectious Disease,AKT1,乳腺癌,breast carcinoma,实体瘤,46.064718792884605,0.5004405,40,0.6250986130170937,激酶生化/细胞,中高,上市后文献有新靶点线索,1,1,否,否
435,二级复核,跨大领域老药新用,Hydrocortisone Butyrate,内分泌/代谢,Endocrinology/Metabolic,MAP2K1,黑色素瘤,melanoma,实体瘤,46.06285234073458,0.3846578,29,0.7309105929215368,激酶生化/细胞,high,PubMed pair审计未见明确报道,0,0,否,否
436,二级复核,同领域新靶点/新病种探索,Apalutamide,肿瘤,Oncology,AKT1,乳腺癌,breast carcinoma,实体瘤,45.27115045955127,0.41870925,45,0.6250986130170937,激酶生化/细胞,中高,PubMed pair审计未见明确报道,0,0,是,否
437,二级复核,跨大领域老药新用,Ledipasvir,感染性疾病,Infectious Disease,BRAF,黑色素瘤,melanoma,实体瘤,44.8401616,0.32514632,72,0.819548256089721,激酶生化/细胞,high,PubMed pair审计未见明确报道,0,0,否,否
438,二级复核,同领域新靶点/新病种探索,Apalutamide,肿瘤,Oncology,TOP2A,小细胞肺癌,small cell lung carcinoma,实体瘤,44.803297029365815,0.45195884,15,0.5797874590829253,酶/表观遗传生化,中高,PubMed pair审计未见明确报道,0,0,是,否
439,二级复核,跨领域但同靶点家族扩展,Obeticholic Acid,其他,Other,THRB,心律失常,cardiac arrhythmia,心血管,44.71192309040562,0.3743186,40,0.3812024484624719,核受体/转录因子 reporter,中,上市后文献有新靶点线索,3,3,否,是
440,二级复核,跨领域但同靶点家族扩展,Ulipristal Acetate,内分泌/代谢,Endocrinology/Metabolic,NR3C2,心律失常,cardiac arrhythmia,心血管,44.638180712904884,0.43846512,2,0.2448803753883651,核受体/转录因子 reporter,medium,上市后文献有新靶点线索,1,1,否,是
441,二级复核,跨大领域老药新用,Naloxegol Oxalate,神经/精神,Neurology/Psychiatry,SCN5A,心律失常,cardiac arrhythmia,心血管,44.40941748575999,0.45107484,69,0.7863374052930366,离子通道功能,中高,PubMed pair审计未见明确报道,0,0,否,否
