排名,审计ID,推荐层级,老药新用类型,药物,原适应症领域,原领域英文,候选靶点,拟新用细分病种,拟新用病种英文,拟新用病种大类,优先级分数,ConPLEx分数,药物内靶点排名,OpenTargets病种分数,实验类型,风险等级,文献状态,PubMed总窗计数,上市后PubMed计数,PubMed总窗PMID,上市后PMID,是否同原适应症领域,是否同已知靶点家族
1,strict895_0094,第一轮优先,跨大领域老药新用,Lubiprostone,胃肠/消化,Gastroenterology,TYK2,类风湿关节炎,rheumatoid arthritis,免疫/炎症,91.05800129063823,0.4590447,23,0.75418882773207,激酶生化/细胞,low,PubMed pair审计未见明确报道,0,0,,,否,否
2,strict895_0007,第一轮优先,跨大领域老药新用,Emtricitabine,感染性疾病,Infectious Disease,CDK4,乳腺癌,breast cancer,实体瘤,90.19123738405045,0.5462819,4,0.6307216615133534,激酶生化/细胞,low,PubMed pair审计未见明确报道,0,0,,,否,否
3,strict895_0204,第一轮优先,跨大领域老药新用,Lubiprostone,胃肠/消化,Gastroenterology,DNMT3A,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,90.0,0.51115733,3,0.8577261614555013,酶/表观遗传生化,medium,PubMed pair审计未见明确报道,0,0,,,否,否
4,strict895_0121,第一轮优先,跨大领域老药新用,Emtricitabine,感染性疾病,Infectious Disease,CDK6,乳腺癌,breast carcinoma,实体瘤,89.73219757559252,0.5462819,5,0.6103198922485568,激酶生化/细胞,low,PubMed pair审计未见明确报道,0,0,,,否,否
5,strict895_0082,第一轮优先,跨大领域老药新用,Lubiprostone,胃肠/消化,Gastroenterology,JAK1,类风湿关节炎,rheumatoid arthritis,免疫/炎症,89.42054989950462,0.44509453,34,0.7103468962742798,激酶生化/细胞,low,PubMed pair审计未见明确报道,0,0,,,否,否
6,strict895_0334,第一轮优先,跨大领域老药新用,Emtricitabine,感染性疾病,Infectious Disease,DNMT3A,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,89.08695639999999,0.48043478,52,0.8577261614555013,酶/表观遗传生化,中,PubMed pair审计未见明确报道,0,0,,,否,否
7,strict895_0009,第一轮优先,跨大领域老药新用,Doravirine,未知,,ESR1,乳腺癌,breast cancer,实体瘤,86.55242103915302,0.53315145,7,0.7356631572956897,核受体/转录因子 reporter,low,PubMed pair审计未见明确报道,0,0,,,否,否
8,strict895_0234,第一轮优先,跨大领域老药新用,Emtricitabine,感染性疾病,Infectious Disease,PTPN11,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,86.4770094714397,0.5015137,38,0.6434226431750978,酶/表观遗传生化,medium,PubMed pair审计未见明确报道,0,0,,,否,否
9,strict895_0400,第一轮优先,跨领域但同靶点家族扩展,Infigratinib Phosphate,肿瘤,Oncology,PDGFRA,胃肠道间质瘤,gastrointestinal stromal tumor,实体瘤,86.0,0.64790773,3,0.8245011238749937,酶/表观遗传生化,medium,PubMed pair审计未见明确报道,0,0,,,否,是
10,strict895_0081,第一轮优先,跨大领域老药新用,Lubiprostone,胃肠/消化,Gastroenterology,PRKCD,系统性红斑狼疮,systemic lupus erythematosus,免疫/炎症,84.69712297485918,0.5122682,2,0.3865387988826302,激酶生化/细胞,low,PubMed pair审计未见明确报道,0,0,,,否,否
11,strict895_0414,第一轮优先,跨领域但同靶点家族扩展,Palbociclib,肿瘤,Oncology,TYK2,银屑病,psoriasis,皮肤/免疫,84.36840680984075,0.4810829,37,0.7222757693262555,激酶生化/细胞,medium,PubMed pair审计未见明确报道,0,0,,,否,是
12,strict895_0716,第一轮优先,同领域同靶点家族扩展,Afatinib Dimaleate,肿瘤,Oncology,FLT3,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,84.0,0.63125384,4,0.8354100756215777,激酶生化/细胞,medium,PubMed pair审计未见明确报道,0,0,,,是,是
13,strict895_0041,第一轮优先,跨大领域老药新用,Rilpivirine Hydrochloride,感染性疾病,Infectious Disease,LYN,乳腺癌,breast cancer,实体瘤,83.80990680775645,0.45665708,6,0.4370033959002865,激酶生化/细胞,low,PubMed pair审计未见明确报道,0,0,,,否,否
14,strict895_0764,第一轮优先,同领域同靶点家族扩展,Tucatinib,肿瘤,Oncology,FLT3,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,82.57495493333333,0.46946332,4,0.8354100756215777,激酶生化/细胞,medium,PubMed pair审计未见明确报道,0,0,,,是,是
15,strict895_0059,第一轮优先,跨大领域老药新用,Rilpivirine Hydrochloride,感染性疾病,Infectious Disease,PTK6,食管鳞癌,esophageal squamous cell carcinoma,实体瘤,82.29863784914879,0.49339902,1,0.2936303814436496,激酶生化/细胞,low,PubMed pair审计未见明确报道,0,0,,,否,否
16,strict895_0573,第一轮优先,同领域同靶点家族扩展,Selpercatinib,肿瘤,Oncology,CHEK2,乳腺癌,breast carcinoma,实体瘤,81.95354136071074,0.5460861,32,0.7090462826982556,激酶生化/细胞,中,PubMed pair审计未见明确报道,0,0,,,是,是
17,strict895_0093,第一轮优先,跨大领域老药新用,Emtricitabine,感染性疾病,Infectious Disease,BMPR1A,乳腺癌,breast carcinoma,实体瘤,81.56088906991121,0.5462819,2,0.2915950697738313,酶/表观遗传生化,low,PubMed pair审计未见明确报道,0,0,,,否,否
18,strict895_0156,第一轮优先,跨大领域老药新用,Maraviroc,感染性疾病,Infectious Disease,SLC34A2,肺鳞癌,squamous cell lung carcinoma,实体瘤,81.32386227713619,0.50970215,47,0.3699494345393864,转运体摄取/外排,low,PubMed pair审计未见明确报道,0,0,,,否,否
19,strict895_0657,第一轮优先,跨大领域老药新用,Avibactam Sodium,感染性疾病,Infectious Disease,SLC5A2,慢性肾病,chronic kidney disease,肾脏,81.15657203712217,0.43705928,3,0.6263913616498742,转运体摄取/外排,medium,PubMed pair审计未见明确报道,0,0,,,否,否
20,strict895_0863,第一轮优先,同领域同靶点家族扩展,Pazopanib Hydrochloride,肿瘤,Oncology,FLT3,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,81.0,0.9139769,4,0.8354100756215777,激酶生化/细胞,low,上市后文献有新靶点线索,7,6,34877907;31770593;30194077,34877907;31770593;30194077,是,是
21,strict895_0879,第一轮优先,同领域同靶点家族扩展,Cabozantinib S-Malate,肿瘤,Oncology,FLT3,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,81.0,0.6794778,4,0.8354100756215777,激酶生化/细胞,low,上市后文献有新靶点线索,30,29,41702887;40913959;39383976,41702887;40913959;39383976,是,是
22,strict895_0837,第一轮优先,同领域同靶点家族扩展,Infigratinib Phosphate,肿瘤,Oncology,FLT3,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,81.0,0.62431186,6,0.8354100756215777,激酶生化/细胞,low,上市后文献有新靶点线索,3,1,36185300;31770593;27992319,36185300,是,是
23,strict895_0869,第一轮优先,同领域同靶点家族扩展,Dacomitinib,肿瘤,Oncology,FLT3,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,81.0,0.54986876,4,0.8354100756215777,激酶生化/细胞,low,上市后文献有新靶点线索,2,1,36185300;26462025,36185300,是,是
24,strict895_0864,第一轮优先,同领域同靶点家族扩展,Selpercatinib,肿瘤,Oncology,BRAF,黑色素瘤,melanoma,实体瘤,81.0,0.55524075,30,0.819548256089721,激酶生化/细胞,low,上市后文献有新靶点线索,37,36,42187588;41374970;41255652,42187588;41374970;41255652,是,是
25,strict895_0011,第一轮优先,跨大领域老药新用,Rilpivirine Hydrochloride,感染性疾病,Infectious Disease,FGFR3,头颈鳞癌,head and neck squamous cell carcinoma,实体瘤,80.74593357802763,0.45653036,7,0.3455340790234503,酶/表观遗传生化,low,PubMed pair审计未见明确报道,0,0,,,否,否
26,strict895_0013,第一轮优先,跨大领域老药新用,Rilpivirine Hydrochloride,感染性疾病,Infectious Disease,BTK,肺鳞癌,squamous cell lung carcinoma,实体瘤,80.62874464780435,0.46554467,4,0.2771848910135263,激酶生化/细胞,low,PubMed pair审计未见明确报道,0,0,,,否,否
27,strict895_0418,第一轮优先,跨大领域老药新用,Abiraterone Acetate,肿瘤,Oncology,KCND3,心律失常,cardiac arrhythmia,心血管,80.42538807299101,0.5248671,51,0.5522394699107118,离子通道功能,medium,PubMed pair审计未见明确报道,0,0,,,否,否
28,strict895_0084,第一轮优先,跨大领域老药新用,Rilpivirine Hydrochloride,感染性疾病,Infectious Disease,SYK,弥漫大B细胞淋巴瘤,diffuse large B-cell lymphoma,血液肿瘤/血液病,80.36864805149142,0.44111168,10,0.3163008733996184,激酶生化/细胞,low,PubMed pair审计未见明确报道,0,0,,,否,否
29,strict895_0866,第一轮优先,同领域同靶点家族扩展,Regorafenib,肿瘤,Oncology,FLT3,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,79.452832,0.4668464,1,0.8354100756215777,激酶生化/细胞,low,上市后文献有新靶点线索,8,8,41928486;35062934;33075166,41928486;35062934;33075166,是,是
30,strict895_0097,第一轮优先,跨大领域老药新用,Emtricitabine,感染性疾病,Infectious Disease,MAP2K2,乳腺癌,breast carcinoma,实体瘤,79.41077191136566,0.5275529,21,0.284923196060696,激酶生化/细胞,medium,PubMed pair审计未见明确报道,0,0,,,否,否
31,strict895_0223,第一轮优先,跨大领域老药新用,Naloxegol Oxalate,神经/精神,Neurology/Psychiatry,KCNK3,肺动脉高压,pulmonary arterial hypertension,心血管,79.26503418496569,0.611532,32,0.5006681859984753,离子通道功能,medium,PubMed pair审计未见明确报道,0,0,,,否,否
32,strict895_0188,第一轮优先,跨大领域老药新用,Maraviroc,感染性疾病,Infectious Disease,KCNK3,肺动脉高压,pulmonary arterial hypertension,心血管,79.26503418496569,0.59478486,31,0.5006681859984753,离子通道功能,medium,PubMed pair审计未见明确报道,0,0,,,否,否
33,strict895_0143,第一轮优先,跨大领域老药新用,Abiraterone Acetate,肿瘤,Oncology,KCNK3,肺动脉高压,pulmonary arterial hypertension,心血管,79.26503418496569,0.55425024,36,0.5006681859984753,离子通道功能,medium,PubMed pair审计未见明确报道,0,0,,,否,否
34,strict895_0481,第一轮优先,跨大领域老药新用,Tecovirimat,感染性疾病,Infectious Disease,PTPN11,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,78.35483140477304,0.36881047,58,0.6434226431750978,酶/表观遗传生化,低,PubMed pair审计未见明确报道,0,0,,,否,否
35,strict895_0566,第一轮优先,同领域同靶点家族扩展,Larotrectinib Sulfate,肿瘤,Oncology,TYK2,银屑病,psoriasis,皮肤/免疫,78.20983020984075,0.47768483,42,0.7222757693262555,激酶生化/细胞,中高,PubMed pair审计未见明确报道,0,0,,,是,是
36,strict895_0682,第一轮优先,同领域同靶点家族扩展,Neratinib Maleate,肿瘤,Oncology,EGFR,非小细胞肺癌,non-small cell lung carcinoma,实体瘤,78.0,0.9149978,1,0.8525670184292347,激酶生化/细胞,medium,上市后文献有新靶点线索,281,221,42322571;42226887;41917341,42322571;42226887;41917341,是,是
37,strict895_0649,第一轮优先,同领域同靶点家族扩展,Tucatinib,肿瘤,Oncology,EGFR,非小细胞肺癌,non-small cell lung carcinoma,实体瘤,78.0,0.73007804,1,0.8525670184292347,激酶生化/细胞,medium,上市后文献有新靶点线索,116,115,42322571;42316998;42310133,42322571;42316998;42310133,是,是
38,strict895_0104,第一轮优先,跨大领域老药新用,Rilpivirine Hydrochloride,感染性疾病,Infectious Disease,AXL,乳腺癌,breast cancer,实体瘤,77.8434065130005,0.47338057,3,0.1371398479852076,激酶生化/细胞,low,PubMed pair审计未见明确报道,0,0,,,否,否
39,strict895_0043,第一轮优先,跨大领域老药新用,Rilpivirine Hydrochloride,感染性疾病,Infectious Disease,JAK1,浆细胞骨髓瘤,plasma cell myeloma,血液肿瘤/血液病,77.38448731065525,0.3813838,27,0.3075515545476405,激酶生化/细胞,low,PubMed pair审计未见明确报道,0,0,,,否,否
40,strict895_0165,第一轮优先,跨大领域老药新用,Dasabuvir Sodium,感染性疾病,Infectious Disease,DDR2,胃肠道间质瘤,gastrointestinal stromal tumor,实体瘤,77.24219808324096,0.3523357,1,0.4059199444403396,酶/表观遗传生化,low,PubMed pair审计未见明确报道,0,0,,,否,否
41,strict895_0252,第一轮优先,跨大领域老药新用,Atazanavir Sulfate,感染性疾病,Infectious Disease,MMP14,前列腺癌,prostate cancer,实体瘤,77.22790866187418,0.46698534,5,0.3008263464536673,酶/表观遗传生化,medium,PubMed pair审计未见明确报道,0,0,,,否,否
42,strict895_0461,第一轮优先,跨大领域老药新用,Avibactam Sodium,感染性疾病,Infectious Disease,SLC22A12,痛风,gout,肾脏,77.13934347764062,0.31498727,51,0.7899231501173613,转运体摄取/外排,低,PubMed pair审计未见明确报道,0,0,,,否,否
43,strict895_0019,第一轮优先,跨大领域老药新用,Doravirine And Islatravir,感染性疾病,Infectious Disease,EZH2,乳腺癌,breast cancer,实体瘤,77.12117383375575,0.46058482,16,0.1760243955743292,酶/表观遗传生化,low,PubMed pair审计未见明确报道,0,0,,,否,否
44,strict895_0020,第一轮优先,跨大领域老药新用,Doravirine,未知,,EZH2,乳腺癌,breast cancer,实体瘤,77.12117383375575,0.46058482,16,0.1760243955743292,酶/表观遗传生化,low,PubMed pair审计未见明确报道,0,0,,,否,否
45,strict895_0076,第一轮优先,跨大领域老药新用,Doravirine,未知,,MALT1,乳腺癌,breast carcinoma,实体瘤,77.08499554356675,0.40451086,29,0.2907180182325965,酶/表观遗传生化,low,PubMed pair审计未见明确报道,0,0,,,否,否
46,strict895_0077,第一轮优先,跨大领域老药新用,Doravirine And Islatravir,感染性疾病,Infectious Disease,MALT1,乳腺癌,breast carcinoma,实体瘤,77.08499554356675,0.40451086,29,0.2907180182325965,酶/表观遗传生化,low,PubMed pair审计未见明确报道,0,0,,,否,否
47,strict895_0676,第一轮优先,同领域同靶点家族扩展,Pazopanib Hydrochloride,肿瘤,Oncology,PDGFRA,胃肠道间质瘤,gastrointestinal stromal tumor,实体瘤,77.0,0.9183604,3,0.8245011238749937,酶/表观遗传生化,medium,上市后文献有新靶点线索,18,16,40733131;39113850;33513648,40733131;39113850;33513648,是,是
48,strict895_0712,第一轮优先,同领域同靶点家族扩展,Cabozantinib S-Malate,肿瘤,Oncology,PDGFRA,胃肠道间质瘤,gastrointestinal stromal tumor,实体瘤,77.0,0.71761274,1,0.8245011238749937,酶/表观遗传生化,medium,上市后文献有新靶点线索,7,7,38143440;35061196;33419029,38143440;35061196;33419029,是,是
49,strict895_0677,第一轮优先,同领域同靶点家族扩展,Afatinib Dimaleate,肿瘤,Oncology,PDGFRA,胃肠道间质瘤,gastrointestinal stromal tumor,实体瘤,77.0,0.5916499,5,0.8245011238749937,酶/表观遗传生化,medium,上市后文献有新靶点线索,1,1,27105424,27105424,是,是
50,strict895_0111,第一轮优先,跨大领域老药新用,Nevirapine,感染性疾病,Infectious Disease,KCNN4,乳腺癌,breast cancer,实体瘤,76.90269837636052,0.64107674,3,0.2623421500604675,离子通道功能,low,PubMed pair审计未见明确报道,0,0,,,否,否
51,strict895_0061,第一轮优先,跨大领域老药新用,Rilpivirine Hydrochloride,感染性疾病,Infectious Disease,ITK,前列腺癌,prostate cancer,实体瘤,76.67696979766215,0.463059,5,0.106705916933133,激酶生化/细胞,low,PubMed pair审计未见明确报道,0,0,,,否,否
52,strict895_0865,第一轮优先,同领域同靶点家族扩展,Selpercatinib,肿瘤,Oncology,PTPN11,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,76.4770094714397,0.56070846,26,0.6434226431750978,酶/表观遗传生化,low,上市后文献有新靶点线索,1,1,40502048,40502048,是,是
53,strict895_0060,第一轮优先,跨大领域老药新用,Rilpivirine Hydrochloride,感染性疾病,Infectious Disease,JAK2,骨髓增殖性肿瘤,myeloproliferative neoplasm,实体瘤,76.30351678053488,0.36753774,40,0.2882261739496983,激酶生化/细胞,low,PubMed pair审计未见明确报道,0,0,,,否,否
