panel,scope,direction,model,ap,auroc,reciprocal_rank,precision_at_1,recall_at_1,ndcg_at_1,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,precision_at_20,recall_at_20,ndcg_at_20,queries,queries_at_20
ACTIVITY_EC50,all,drug_to_target,all_inactive,0.9444444444444443,0.9833333333333334,0.9583333333333334,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.25,1.0,0.9642201432462767,0.125,1.0,0.9642201432462767,,,,4.0,0.0
ACTIVITY_EC50,all,drug_to_target,kdki_inactive,0.18495462870462873,0.3664351851851852,0.1828216921966922,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.03333333333333333,0.125,0.10533901021438258,0.05833333333333334,0.4166666666666667,0.20369908116688415,,,,4.0,0.0
ACTIVITY_EC50,all,drug_to_target,old_production,0.39217171717171717,0.6541666666666667,0.38383838383838387,0.25,0.25,0.25,0.15000000000000002,0.5,0.38594282728800633,0.1,0.75,0.46120032620400164,,,,4.0,0.0
ACTIVITY_EC50,all,target_to_drug,all_inactive,0.8500229528322053,0.7946931869359046,0.8945034161679098,0.8380414312617702,0.0698620065921114,0.8380414312617702,0.8195856873822974,0.29188178519633173,0.8579717236324521,0.7821092278719398,0.4931363660341963,0.8738092203381127,0.8554166666666667,0.5508885654038583,0.9130795353696729,177.0,120.0
ACTIVITY_EC50,all,target_to_drug,kdki_inactive,0.7606779008459567,0.5904290459469913,0.8043676475888897,0.7080979284369114,0.05304553092997542,0.7080979284369114,0.7227871939736347,0.2301169857864834,0.7425785524522267,0.715819209039548,0.43291411137939284,0.7736802040830972,0.7908333333333332,0.5087842513168024,0.8250585142804311,177.0,120.0
ACTIVITY_EC50,all,target_to_drug,old_production,0.7609267247075328,0.612182739511738,0.8159608543789335,0.7231638418079096,0.04969890728205531,0.7231638418079096,0.7175141242937854,0.2528538010486857,0.7474817058462152,0.7112994350282487,0.4497851081348357,0.778338549358262,0.7795833333333333,0.5013721298048022,0.8175761250921885,177.0,120.0
ACTIVITY_EC50,old_train_pair_unseen,drug_to_target,all_inactive,0.9444444444444443,0.9833333333333334,0.9583333333333334,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.25,1.0,0.9642201432462767,0.125,1.0,0.9642201432462767,,,,4.0,0.0
ACTIVITY_EC50,old_train_pair_unseen,drug_to_target,kdki_inactive,0.18495462870462873,0.3664351851851852,0.1828216921966922,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.03333333333333333,0.125,0.10533901021438258,0.05833333333333334,0.4166666666666667,0.20369908116688415,,,,4.0,0.0
ACTIVITY_EC50,old_train_pair_unseen,drug_to_target,old_production,0.39217171717171717,0.6541666666666667,0.38383838383838387,0.25,0.25,0.25,0.15000000000000002,0.5,0.38594282728800633,0.1,0.75,0.46120032620400164,,,,4.0,0.0
ACTIVITY_EC50,old_train_pair_unseen,target_to_drug,all_inactive,0.8461917000337097,0.7944470140845903,0.8901374065224665,0.8304431599229286,0.06564050393297825,0.8304431599229286,0.8204238921001927,0.29378346968146785,0.8538206191739323,0.7820809248554914,0.5009773806235219,0.8694708653617919,0.855028735632184,0.5610961234796453,0.9141550148054084,173.0,116.0
ACTIVITY_EC50,old_train_pair_unseen,target_to_drug,kdki_inactive,0.7555644361561601,0.5877242578395937,0.8027131209221374,0.7071290944123314,0.04866046607582627,0.7071290944123314,0.7213872832369942,0.22969169481031385,0.738012570580529,0.7154142581888246,0.4379912718428323,0.7692508271426126,0.7892241379310345,0.5163651726183083,0.8251358958203273,173.0,116.0
ACTIVITY_EC50,old_train_pair_unseen,target_to_drug,old_production,0.7531832841000532,0.6060939508009449,0.8070813365611054,0.7109826589595376,0.04460453456793068,0.7109826589595376,0.7132947976878613,0.25240547517834316,0.7380521034392298,0.708092485549133,0.4564834807139603,0.7697016184304302,0.775,0.5072717304923801,0.8127497649808305,173.0,116.0
ACTIVITY_IC50,all,drug_to_target,all_inactive,0.75893993612713,0.8306329450525336,0.8111681145389508,0.7269076305220884,0.27279461889480916,0.7269076305220884,0.5349397590361445,0.67672409849011,0.7605419311201974,0.40120481927710844,0.9015768016243603,0.8092199097181187,0.26666666666666666,0.9042095980692473,0.7310462784573241,83.0,18.0
ACTIVITY_IC50,all,drug_to_target,kdki_inactive,0.5955527271988797,0.6615278777711355,0.6432739168942807,0.5140562248995985,0.13811926524355186,0.5140562248995985,0.4522088353413655,0.5338317498748698,0.582910656513199,0.3811244979919679,0.8449096416043149,0.6699999889270303,0.25833333333333336,0.79633748723661,0.6239373881708749,83.0,18.0
ACTIVITY_IC50,all,drug_to_target,old_production,0.7055779195164391,0.7753351994035939,0.7812054745789686,0.6746987951807228,0.23247142134269594,0.6746987951807228,0.5253012048192771,0.6798413293181841,0.7332136421112146,0.39759036144578314,0.8792992201203996,0.7711882182381212,0.2833333333333334,0.9521164021164021,0.7441077348737671,83.0,18.0
