model,scenario,pair_id,ligand_inchikey,drug_names,gene_symbol,target_chembl_id,selection_score,in_frozen384,reviewed_in_original574,latest_exact_evidence,kdki_inactive_training_seen,all_inactive_training_seen
all_inactive_consensus,fixed112_frozen_evidence,YALNUENQHAQXEA-UHFFFAOYSA-N__CHEMBL1808,YALNUENQHAQXEA-UHFFFAOYSA-N,givinostat,ACE,CHEMBL1808,0.7137069,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,YALNUENQHAQXEA-UHFFFAOYSA-N__CHEMBL283,YALNUENQHAQXEA-UHFFFAOYSA-N,givinostat,MMP3,CHEMBL283,0.66815495,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,YBBLVLTVTVSKRW-UHFFFAOYSA-N__CHEMBL5145,YBBLVLTVTVSKRW-UHFFFAOYSA-N,anastrozole,BRAF,CHEMBL5145,0.8733296,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,YIBOMRUWOWDFLG-ONEGZZNKSA-N__CHEMBL1841,YIBOMRUWOWDFLG-ONEGZZNKSA-N,rilpivirine,FYN,CHEMBL1841,0.60269713,True,True,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,YIBOMRUWOWDFLG-ONEGZZNKSA-N__CHEMBL258,YIBOMRUWOWDFLG-ONEGZZNKSA-N,rilpivirine,LCK,CHEMBL258,0.66984683,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,YIQPUIGJQJDJOS-UHFFFAOYSA-N__CHEMBL4898,YIQPUIGJQJDJOS-UHFFFAOYSA-N,plerixafor,NTRK2,CHEMBL4898,0.76420975,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,YQNWZWMKLDQSAC-UHFFFAOYSA-N__CHEMBL3729,YQNWZWMKLDQSAC-UHFFFAOYSA-N,vortioxetine,CA4,CHEMBL3729,0.6811077,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,YTFHCXIPDIHOIA-DHZHZOJOSA-N__CHEMBL1994,YTFHCXIPDIHOIA-DHZHZOJOSA-N,palovarotene,NR3C2,CHEMBL1994,0.88833565,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,YTFHCXIPDIHOIA-DHZHZOJOSA-N__CHEMBL206,YTFHCXIPDIHOIA-DHZHZOJOSA-N,palovarotene,ESR1,CHEMBL206,0.8023231,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,YTFHCXIPDIHOIA-DHZHZOJOSA-N__CHEMBL208,YTFHCXIPDIHOIA-DHZHZOJOSA-N,palovarotene,PGR,CHEMBL208,0.88271195,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,ZBGXUVOIWDMMJE-QHNZEKIYSA-N__CHEMBL1947,ZBGXUVOIWDMMJE-QHNZEKIYSA-N,vorapaxar,THRB,CHEMBL1947,0.6064969,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,ZBGXUVOIWDMMJE-QHNZEKIYSA-N__CHEMBL2695,ZBGXUVOIWDMMJE-QHNZEKIYSA-N,vorapaxar,PTK2,CHEMBL2695,0.6363823,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,ZBGXUVOIWDMMJE-QHNZEKIYSA-N__CHEMBL402,ZBGXUVOIWDMMJE-QHNZEKIYSA-N,vorapaxar,HMGCR,CHEMBL402,0.9324153,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,ZBGXUVOIWDMMJE-QHNZEKIYSA-N__CHEMBL4142,ZBGXUVOIWDMMJE-QHNZEKIYSA-N,vorapaxar,FGFR2,CHEMBL4142,0.9441355,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,ZBNZXTGUTAYRHI-UHFFFAOYSA-N__CHEMBL202,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,dasatinib,DHFR,CHEMBL202,0.68923545,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,ZBNZXTGUTAYRHI-UHFFFAOYSA-N__CHEMBL3310,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,dasatinib,HDAC11,CHEMBL3310,0.49781406,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,ZBNZXTGUTAYRHI-UHFFFAOYSA-N__CHEMBL5366,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,dasatinib,PARP2,CHEMBL5366,0.7137206,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,ZEUITGRIYCTCEM-KRWDZBQOSA-N__CHEMBL2208,ZEUITGRIYCTCEM-KRWDZBQOSA-N,duloxetine,MAPKAPK2,CHEMBL2208,0.542367,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,ZKIAIYBUSXZPLP-UHFFFAOYSA-N__CHEMBL2039,ZKIAIYBUSXZPLP-UHFFFAOYSA-N,brexpiprazole,MAOB,CHEMBL2039,0.63743645,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,ZPUCINDJVBIVPJ-LJISPDSOSA-N__CHEMBL2252,ZPUCINDJVBIVPJ-LJISPDSOSA-N,cocaine,CTSC,CHEMBL2252,0.4952332,False,False,False,False,False
