panel,scope,direction,model,seed,ap,auroc,reciprocal_rank,precision_at_1,recall_at_1,ndcg_at_1,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,precision_at_20,recall_at_20,ndcg_at_20,queries,queries_at_20
ACTIVITY_EC50,all,drug_to_target,all_inactive,20260921,0.8958333333333333,0.975,0.875,0.75,0.75,0.75,0.25,1.0,0.9233566009043177,0.125,1.0,0.9233566009043177,,,,4,0
ACTIVITY_EC50,all,drug_to_target,all_inactive,20260922,1.0,1.0,1.0,1.0,0.875,1.0,0.25,1.0,1.0,0.125,1.0,1.0,,,,4,0
ACTIVITY_EC50,all,drug_to_target,all_inactive,20260923,0.9375,0.975,1.0,1.0,0.875,1.0,0.25,1.0,0.9693038288345124,0.125,1.0,0.9693038288345124,,,,4,0
ACTIVITY_EC50,all,drug_to_target,kdki_inactive,20260921,0.33641774891774895,0.49270833333333336,0.3334415584415585,0.25,0.25,0.25,0.05,0.25,0.25,0.07500000000000001,0.625,0.3733618059765935,,,,4,0
ACTIVITY_EC50,all,drug_to_target,kdki_inactive,20260922,0.09924970862470862,0.2847222222222222,0.0940413752913753,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.125,0.048356600904317704,,,,4,0
ACTIVITY_EC50,all,drug_to_target,kdki_inactive,20260923,0.11919642857142856,0.321875,0.12098214285714286,0.0,0.0,0.0,0.05,0.125,0.06601703064314772,0.07500000000000001,0.5,0.1893788366197412,,,,4,0
ACTIVITY_EC50,all,drug_to_target,old_production,0,0.39217171717171717,0.6541666666666667,0.38383838383838387,0.25,0.25,0.25,0.15000000000000002,0.5,0.38594282728800633,0.1,0.75,0.46120032620400164,,,,4,0
ACTIVITY_EC50,all,target_to_drug,all_inactive,20260921,0.8500540525007484,0.8057811321263567,0.8871625863151287,0.8248587570621468,0.06367051802260854,0.8248587570621468,0.8282485875706215,0.30696867392537014,0.8608949080389868,0.788135593220339,0.5025555099943895,0.8767204395562171,0.8529166666666667,0.5543875179915594,0.9122518382529292,177,120
ACTIVITY_EC50,all,target_to_drug,all_inactive,20260922,0.8561888020379332,0.8006495633813754,0.9092142212416007,0.8531073446327684,0.07468705630029093,0.8531073446327684,0.8214689265536723,0.29260205594954525,0.8686242598016857,0.78135593220339,0.4898352371206984,0.8803838751586389,0.85625,0.5468774645341389,0.9140328064609339,177,120
ACTIVITY_EC50,all,target_to_drug,all_inactive,20260923,0.8438260039579345,0.7776488652999819,0.8871334409470003,0.8361581920903954,0.07122844545343476,0.8361581920903954,0.8090395480225988,0.2760746257140798,0.8443960030566837,0.7768361581920904,0.48701835098750107,0.8643233462994819,0.8570833333333333,0.5514007136858766,0.9129539613951558,177,120
