model,scenario,pair_id,ligand_inchikey,drug_names,gene_symbol,target_chembl_id,selection_score,in_frozen384,reviewed_in_original574,latest_exact_evidence,kdki_inactive_training_seen,all_inactive_training_seen
kdki_inactive_consensus,fixed112_frozen_evidence,AOMXMOCNKJTRQP-UHFFFAOYSA-N__CHEMBL1908,AOMXMOCNKJTRQP-UHFFFAOYSA-N,relugolix,CYP11B1,CHEMBL1908,0.8399396,False,False,False,False,False
kdki_inactive_consensus,fixed112_frozen_evidence,AOMXMOCNKJTRQP-UHFFFAOYSA-N__CHEMBL202,AOMXMOCNKJTRQP-UHFFFAOYSA-N,relugolix,DHFR,CHEMBL202,0.9078827,False,False,False,False,False
kdki_inactive_consensus,fixed112_frozen_evidence,AOMXMOCNKJTRQP-UHFFFAOYSA-N__CHEMBL2722,AOMXMOCNKJTRQP-UHFFFAOYSA-N,relugolix,CYP11B2,CHEMBL2722,0.8161659,False,False,False,False,False
kdki_inactive_consensus,fixed112_frozen_evidence,AOMXMOCNKJTRQP-UHFFFAOYSA-N__CHEMBL5216,AOMXMOCNKJTRQP-UHFFFAOYSA-N,relugolix,UMPS,CHEMBL5216,0.91380817,False,False,False,False,False
kdki_inactive_consensus,fixed112_frozen_evidence,ASOADIZOVZTJSR-UHFFFAOYSA-N__CHEMBL4523510,ASOADIZOVZTJSR-UHFFFAOYSA-N,opicapone,CYP46A1,CHEMBL4523510,0.90313035,False,False,False,False,False
kdki_inactive_consensus,fixed112_frozen_evidence,ASUTZQLVASHGKV-JDFRZJQESA-N__CHEMBL2023,ASUTZQLVASHGKV-JDFRZJQESA-N,galantamine,COMT,CHEMBL2023,0.8318694,False,False,False,False,False
kdki_inactive_consensus,fixed112_frozen_evidence,ASUTZQLVASHGKV-JDFRZJQESA-N__CHEMBL2179,ASUTZQLVASHGKV-JDFRZJQESA-N,galantamine,GBA1,CHEMBL2179,0.8971877,False,False,False,False,False
kdki_inactive_consensus,fixed112_frozen_evidence,ASUTZQLVASHGKV-JDFRZJQESA-N__CHEMBL3535,ASUTZQLVASHGKV-JDFRZJQESA-N,galantamine,PDE9A,CHEMBL3535,0.9057842,False,False,False,False,False
kdki_inactive_consensus,fixed112_frozen_evidence,ASUTZQLVASHGKV-JDFRZJQESA-N__CHEMBL4791,ASUTZQLVASHGKV-JDFRZJQESA-N,galantamine,ECE1,CHEMBL4791,0.6406415,False,False,False,False,False
kdki_inactive_consensus,fixed112_frozen_evidence,AURFZBICLPNKBZ-SYBPFIFISA-N__CHEMBL205,AURFZBICLPNKBZ-SYBPFIFISA-N,brexanolone,CA2,CHEMBL205,0.9043102,False,False,False,False,False
kdki_inactive_consensus,fixed112_frozen_evidence,AVAACINZEOAHHE-VFZPANTDSA-N__CHEMBL4588,AVAACINZEOAHHE-VFZPANTDSA-N,doripenem,MMP8,CHEMBL4588,0.8791588,False,False,False,False,False
kdki_inactive_consensus,fixed112_frozen_evidence,BCEHBSKCWLPMDN-MGPLVRAMSA-N__CHEMBL4073,BCEHBSKCWLPMDN-MGPLVRAMSA-N,voriconazole,MMP7,CHEMBL4073,0.83859015,False,False,False,False,False
kdki_inactive_consensus,fixed112_frozen_evidence,BCEHBSKCWLPMDN-MGPLVRAMSA-N__CHEMBL4588,BCEHBSKCWLPMDN-MGPLVRAMSA-N,voriconazole,MMP8,CHEMBL4588,0.86418563,False,False,False,False,False
