model,scenario,pair_id,ligand_inchikey,drug_names,gene_symbol,target_chembl_id,selection_score,in_frozen384,reviewed_in_original574,latest_exact_evidence,kdki_inactive_training_seen,all_inactive_training_seen
old_production,fixed112_frozen_evidence,ACRHBAYQBXXRTO-OAQYLSRUSA-N__CHEMBL2722,ACRHBAYQBXXRTO-OAQYLSRUSA-N,ivabradine,CYP11B2,CHEMBL2722,-3.076779,True,True,False,False,False
old_production,fixed112_frozen_evidence,ADEBPBSSDYVVLD-UHFFFAOYSA-N__CHEMBL2023,ADEBPBSSDYVVLD-UHFFFAOYSA-N,donepezil,COMT,CHEMBL2023,2.5209067,True,True,False,False,False
old_production,fixed112_frozen_evidence,ADEBPBSSDYVVLD-UHFFFAOYSA-N__CHEMBL205,ADEBPBSSDYVVLD-UHFFFAOYSA-N,donepezil,CA2,CHEMBL205,-0.14952551,False,False,False,False,False
old_production,fixed112_frozen_evidence,ADEBPBSSDYVVLD-UHFFFAOYSA-N__CHEMBL2179,ADEBPBSSDYVVLD-UHFFFAOYSA-N,donepezil,GBA1,CHEMBL2179,3.3397164,False,False,False,False,False
old_production,fixed112_frozen_evidence,ADEBPBSSDYVVLD-UHFFFAOYSA-N__CHEMBL261,ADEBPBSSDYVVLD-UHFFFAOYSA-N,donepezil,CA1,CHEMBL261,0.003641788,False,False,False,False,False
old_production,fixed112_frozen_evidence,AHJRHEGDXFFMBM-UHFFFAOYSA-N__CHEMBL3310,AHJRHEGDXFFMBM-UHFFFAOYSA-N,palbociclib,HDAC11,CHEMBL3310,-3.2901347,False,False,False,False,False
old_production,fixed112_frozen_evidence,AHOUBRCZNHFOSL-YOEHRIQHSA-N__CHEMBL2039,AHOUBRCZNHFOSL-YOEHRIQHSA-N,paroxetine,MAOB,CHEMBL2039,2.3730695,True,True,False,False,False
old_production,fixed112_frozen_evidence,AOMXMOCNKJTRQP-UHFFFAOYSA-N__CHEMBL1827,AOMXMOCNKJTRQP-UHFFFAOYSA-N,relugolix,PDE5A,CHEMBL1827,-4.1017094,False,False,False,False,False
old_production,fixed112_frozen_evidence,AOMXMOCNKJTRQP-UHFFFAOYSA-N__CHEMBL3045,AOMXMOCNKJTRQP-UHFFFAOYSA-N,relugolix,PRKCB,CHEMBL3045,-10.304005,False,False,False,False,False
old_production,fixed112_frozen_evidence,ASUTZQLVASHGKV-JDFRZJQESA-N__CHEMBL2023,ASUTZQLVASHGKV-JDFRZJQESA-N,galantamine,COMT,CHEMBL2023,-8.817215,False,False,False,False,False
