panel,scope,direction,model,metric,queries,delta_new_minus_old,ci95_low,ci95_high
ACTIVITY_EC50,all,drug_to_target,kdki_inactive,ap,4,-0.20721708846708847,-0.4593545343545343,-0.016078019203019198
ACTIVITY_EC50,all,drug_to_target,kdki_inactive,precision_at_5,4,-0.11666666666666668,-0.25,0.0
ACTIVITY_EC50,all,drug_to_target,all_inactive,ap,4,0.5522727272727272,0.2055555555555555,0.904040404040404
ACTIVITY_EC50,all,drug_to_target,all_inactive,precision_at_5,4,0.10000000000000005,4.163336342344337e-17,0.20000000000000004
ACTIVITY_EC50,all,target_to_drug,kdki_inactive,ap,177,-0.00024882386157622065,-0.024184172745977457,0.021066351648314316
ACTIVITY_EC50,all,target_to_drug,kdki_inactive,precision_at_5,177,0.00527306967984933,-0.02750470809792845,0.03728813559322032
ACTIVITY_EC50,all,target_to_drug,kdki_inactive,recall_at_20,120,0.007412121512000162,-0.010765778424890803,0.027447586682026622
ACTIVITY_EC50,all,target_to_drug,kdki_inactive,ndcg_at_20,120,0.007482389188242617,-0.016572595336736794,0.03379629148260802
ACTIVITY_EC50,all,target_to_drug,all_inactive,ap,177,0.08909622812467265,0.06500748544774959,0.11578127145574836
ACTIVITY_EC50,all,target_to_drug,all_inactive,precision_at_5,177,0.10207156308851222,0.07080037664783427,0.13484934086629002
ACTIVITY_EC50,all,target_to_drug,all_inactive,recall_at_20,120,0.04951643559905608,0.03329424846674637,0.06854535831743723
ACTIVITY_EC50,all,target_to_drug,all_inactive,ndcg_at_20,120,0.09550341027748448,0.06801182949566088,0.12539060193476073
ACTIVITY_EC50,old_train_pair_unseen,drug_to_target,kdki_inactive,ap,4,-0.20721708846708847,-0.4593545343545343,-0.016078019203019198
ACTIVITY_EC50,old_train_pair_unseen,drug_to_target,kdki_inactive,precision_at_5,4,-0.11666666666666668,-0.25,0.0
ACTIVITY_EC50,old_train_pair_unseen,drug_to_target,all_inactive,ap,4,0.5522727272727272,0.2055555555555555,0.904040404040404
ACTIVITY_EC50,old_train_pair_unseen,drug_to_target,all_inactive,precision_at_5,4,0.10000000000000005,4.163336342344337e-17,0.20000000000000004
ACTIVITY_EC50,old_train_pair_unseen,target_to_drug,kdki_inactive,ap,173,0.0023811520561067114,-0.023428543837829923,0.025552545198525588
