model_id,operating_point,threshold,threshold_scale,explicit_inactive_rows,false_positive_count,explicit_inactive_fpr,kdki_positive_rows,kdki_true_positive_count,kdki_recall,kdki_precision,kdki_negative_fpr,diagnostic_validation_only
biomaster_binding,frozen_maxF1,0.6002112546725631,calibrated_probability,11719,4149,0.35404044713712773,24419,22346,0.9151070887423728,0.9046597303752885,0.22939801285797778,True
biomaster_binding,validation_inactive_FPR_le_5%,10.625000000000002,raw_score,11719,570,0.0486389623688028,24419,14511,0.5942503788033908,0.9797447842819526,0.029222676797194622,True
biomaster_binding,validation_inactive_FPR_le_1%,11.968750000000002,raw_score,11719,112,0.009557129447905112,24419,6363,0.2605757811540194,0.9909671390749104,0.005649717514124294,True
biomaster_binding,validation_KdKi_recall_ge_90%,3.2890625,raw_score,11719,3560,0.3037801860226982,24419,21979,0.9000778082640567,0.9178568445669423,0.19160335086693941,True
biomaster_binding,validation_KdKi_recall_ge_95%,-2.9765625,raw_score,11719,6020,0.5136957078248997,24419,23201,0.9501208075678774,0.8630361194807127,0.3586596532242353,True
biomaster_ranking,frozen_maxF1,0.598329827455457,calibrated_probability,11719,3826,0.3264783684614728,24419,22397,0.9171956263565256,0.8964178507104262,0.2520942918371323,True
biomaster_ranking,validation_inactive_FPR_le_5%,9.937500000000002,raw_score,11719,584,0.04983360354979094,24419,17037,0.6976944182808469,0.9663641520136131,0.05776349113578804,True
biomaster_ranking,validation_inactive_FPR_le_1%,11.812500000000002,raw_score,11719,117,0.009983787012543733,24419,9201,0.37679675662394035,0.9867024128686327,0.01207870640950711,True
biomaster_ranking,validation_KdKi_recall_ge_90%,3.6796875,raw_score,11719,3195,0.27263418380407883,24419,21979,0.9000778082640567,0.9073982330113121,0.21848821352035847,True
biomaster_ranking,validation_KdKi_recall_ge_95%,-2.2265625,raw_score,11719,5466,0.46642204966294054,24419,23199,0.9500389041320283,0.862031807372176,0.3616793298266121,True
biomaster_activity,frozen_maxF1,0.44077160730648174,calibrated_probability,11719,5683,0.4849389879682567,24419,22699,0.9295630451697449,0.8570511610345478,0.36879018118059614,True
biomaster_activity,validation_inactive_FPR_le_5%,7.015625000000001,raw_score,11719,581,0.049577609011007766,24419,9209,0.3771243703673369,0.9595706991768261,0.03779466199103838,True
biomaster_activity,validation_inactive_FPR_le_1%,8.250000000000002,raw_score,11719,107,0.00913047188326649,24419,4195,0.1717924566935583,0.9831263182563862,0.0070134424313267095,True
biomaster_activity,validation_KdKi_recall_ge_90%,-0.05029296875,raw_score,11719,4741,0.40455670279034045,24419,21978,0.9000368565461321,0.8770151636073423,0.3002142996298461,True
