stage,arm,variant,panel,pairs,positive,negative,ap,auroc
legacy,legacy,mean_logits,AFFINITY_KD_KI,34327.0,23190.0,11137.0,0.8884596473624777,0.7914427366125673
legacy,legacy,mean_logits,ALL_ENDPOINT_UNION,132331.0,93249.0,39082.0,0.9014099266291904,0.7997515467622556
multitask,all_inactive,binary,ACTIVITY_EC50,11957.0,8543.0,3414.0,0.9633638587620402,0.9290193642997827
multitask,all_inactive,binary,ACTIVITY_IC50,85704.0,65173.0,20531.0,0.9823944289903163,0.9511029222012802
multitask,all_inactive,binary,AFFINITY_KD_KI,34327.0,23190.0,11137.0,0.917034670291831,0.8623364146273982
multitask,all_inactive,binary,ALL_ENDPOINT_UNION,132331.0,93249.0,39082.0,0.9613064287539602,0.9225065741982976
multitask,all_inactive,joint,ACTIVITY_EC50,11957.0,8543.0,3414.0,0.9625616621712321,0.9258837799145726
multitask,all_inactive,joint,ACTIVITY_IC50,85704.0,65173.0,20531.0,0.9798671135230369,0.9471093234399403
multitask,all_inactive,joint,AFFINITY_KD_KI,34327.0,23190.0,11137.0,0.915149164198191,0.8603248009111604
multitask,all_inactive,joint,ALL_ENDPOINT_UNION,132331.0,93249.0,39082.0,0.957432646260952,0.9172589180805023
multitask,all_inactive,rank,ACTIVITY_EC50,11957.0,8543.0,3414.0,0.9629152162943306,0.9264862834905072
multitask,all_inactive,rank,ACTIVITY_IC50,85704.0,65173.0,20531.0,0.9811433582528969,0.948993655035309
multitask,all_inactive,rank,AFFINITY_KD_KI,34327.0,23190.0,11137.0,0.9152911026719709,0.8674814125519622
multitask,all_inactive,rank,ALL_ENDPOINT_UNION,132331.0,93249.0,39082.0,0.9563775273984799,0.9169334288294185
multitask,all_inactive,regression,ACTIVITY_EC50,11957.0,8543.0,3414.0,0.9646325514258852,0.9277840362490289
multitask,all_inactive,regression,ACTIVITY_IC50,85704.0,65173.0,20531.0,0.9810797754361334,0.9485715394826774
multitask,all_inactive,regression,AFFINITY_KD_KI,34327.0,23190.0,11137.0,0.9159388110310762,0.8587557175480999
multitask,all_inactive,regression,ALL_ENDPOINT_UNION,132331.0,93249.0,39082.0,0.9604430753144455,0.9205285979718908
multitask,kdki_inactive,binary,ACTIVITY_EC50,11957.0,8543.0,3414.0,0.8353236019429578,0.686419103670342
multitask,kdki_inactive,binary,ACTIVITY_IC50,85704.0,65173.0,20531.0,0.8636428960178746,0.6944002542220743
multitask,kdki_inactive,binary,AFFINITY_KD_KI,34327.0,23190.0,11137.0,0.9555030741111114,0.9151169231060322
multitask,kdki_inactive,binary,ALL_ENDPOINT_UNION,132331.0,93249.0,39082.0,0.8748644413646073,0.7610305070430572
multitask,kdki_inactive,joint,ACTIVITY_EC50,11957.0,8543.0,3414.0,0.8329326608146951,0.6808391553916467
multitask,kdki_inactive,joint,ACTIVITY_IC50,85704.0,65173.0,20531.0,0.8677126788819732,0.691901119144597
multitask,kdki_inactive,joint,AFFINITY_KD_KI,34327.0,23190.0,11137.0,0.9468223680616027,0.903524356167336
multitask,kdki_inactive,joint,ALL_ENDPOINT_UNION,132331.0,93249.0,39082.0,0.869376360688753,0.7495845354906222
multitask,kdki_inactive,rank,ACTIVITY_EC50,11957.0,8543.0,3414.0,0.8355438748442138,0.6873068328448503
multitask,kdki_inactive,rank,ACTIVITY_IC50,85704.0,65173.0,20531.0,0.8645396585532495,0.695946405034021
multitask,kdki_inactive,rank,AFFINITY_KD_KI,34327.0,23190.0,11137.0,0.9286203860281527,0.8847988720563107
multitask,kdki_inactive,rank,ALL_ENDPOINT_UNION,132331.0,93249.0,39082.0,0.860390148619295,0.7474185108408413
multitask,kdki_inactive,regression,ACTIVITY_EC50,11957.0,8543.0,3414.0,0.8348606363396073,0.685912351504455
multitask,kdki_inactive,regression,ACTIVITY_IC50,85704.0,65173.0,20531.0,0.8698194675030749,0.7013864325104358
multitask,kdki_inactive,regression,AFFINITY_KD_KI,34327.0,23190.0,11137.0,0.945573734571855,0.9028962898077492
multitask,kdki_inactive,regression,ALL_ENDPOINT_UNION,132331.0,93249.0,39082.0,0.8733610689638085,0.7595179295062217
