model_id,stage,arm,variant,seed,panel,pairs,positive,negative,ap,auroc
multitask__kdki_inactive__regression__20260923,multitask,kdki_inactive,regression,20260923,AFFINITY_KD_KI,34327,23190,11137,0.9500255645419012,0.9086075911431667
multitask__kdki_inactive__regression__20260923,multitask,kdki_inactive,regression,20260923,ACTIVITY_IC50,85704,65173,20531,0.8720585132970409,0.7063167253697995
multitask__kdki_inactive__regression__20260923,multitask,kdki_inactive,regression,20260923,ACTIVITY_EC50,11957,8543,3414,0.8329062336760618,0.6854339544648901
multitask__kdki_inactive__regression__20260923,multitask,kdki_inactive,regression,20260923,ALL_ENDPOINT_UNION,132331,93249,39082,0.8740351271551875,0.7617536881230238
assay_aware__all_inactive__assay__20260921,assay_aware,all_inactive,assay,20260921,AFFINITY_KD_KI,34327,23190,11137,0.8972546543347302,0.8454855948899093
assay_aware__all_inactive__assay__20260921,assay_aware,all_inactive,assay,20260921,ACTIVITY_IC50,85704,65173,20531,0.975020184093532,0.9380694718691349
assay_aware__all_inactive__assay__20260921,assay_aware,all_inactive,assay,20260921,ACTIVITY_EC50,11957,8543,3414,0.955137934756974,0.9162104474274357
assay_aware__all_inactive__assay__20260921,assay_aware,all_inactive,assay,20260921,ALL_ENDPOINT_UNION,132331,93249,39082,0.948837990255417,0.9072533491554478
assay_aware__all_inactive__assay__20260922,assay_aware,all_inactive,assay,20260922,AFFINITY_KD_KI,34327,23190,11137,0.9083378286015232,0.8541616655443786
assay_aware__all_inactive__assay__20260922,assay_aware,all_inactive,assay,20260922,ACTIVITY_IC50,85704,65173,20531,0.9790035722548507,0.9446607687944814
assay_aware__all_inactive__assay__20260922,assay_aware,all_inactive,assay,20260922,ACTIVITY_EC50,11957,8543,3414,0.9627291499325388,0.9233510534015146
assay_aware__all_inactive__assay__20260922,assay_aware,all_inactive,assay,20260922,ALL_ENDPOINT_UNION,132331,93249,39082,0.9554793888059467,0.9137257691995128
assay_aware__all_inactive__assay__20260923,assay_aware,all_inactive,assay,20260923,AFFINITY_KD_KI,34327,23190,11137,0.8813169999358709,0.826111445584053
assay_aware__all_inactive__assay__20260923,assay_aware,all_inactive,assay,20260923,ACTIVITY_IC50,85704,65173,20531,0.9783841401128487,0.9440834131171516
assay_aware__all_inactive__assay__20260923,assay_aware,all_inactive,assay,20260923,ACTIVITY_EC50,11957,8543,3414,0.9574397469065701,0.9196750015651893
assay_aware__all_inactive__assay__20260923,assay_aware,all_inactive,assay,20260923,ALL_ENDPOINT_UNION,132331,93249,39082,0.946943917425756,0.9035955004674572
assay_aware__all_inactive__balanced__20260921,assay_aware,all_inactive,balanced,20260921,AFFINITY_KD_KI,34327,23190,11137,0.9001689207513429,0.8439894825135055
assay_aware__all_inactive__balanced__20260921,assay_aware,all_inactive,balanced,20260921,ACTIVITY_IC50,85704,65173,20531,0.9791387189941021,0.941563873852543
assay_aware__all_inactive__balanced__20260921,assay_aware,all_inactive,balanced,20260921,ACTIVITY_EC50,11957,8543,3414,0.9606365075085119,0.9190742294691571
assay_aware__all_inactive__balanced__20260921,assay_aware,all_inactive,balanced,20260921,ALL_ENDPOINT_UNION,132331,93249,39082,0.9513862059717116,0.9052011204242426
assay_aware__all_inactive__balanced__20260922,assay_aware,all_inactive,balanced,20260922,AFFINITY_KD_KI,34327,23190,11137,0.8994504718891545,0.8359072294283943
assay_aware__all_inactive__balanced__20260922,assay_aware,all_inactive,balanced,20260922,ACTIVITY_IC50,85704,65173,20531,0.9787300312399816,0.9443045635007254
assay_aware__all_inactive__balanced__20260922,assay_aware,all_inactive,balanced,20260922,ACTIVITY_EC50,11957,8543,3414,0.9618401617019182,0.9237887406627803
assay_aware__all_inactive__balanced__20260922,assay_aware,all_inactive,balanced,20260922,ALL_ENDPOINT_UNION,132331,93249,39082,0.9557317551448383,0.913498962685992
assay_aware__all_inactive__balanced__20260923,assay_aware,all_inactive,balanced,20260923,AFFINITY_KD_KI,34327,23190,11137,0.8954490257923919,0.8339322386601185
assay_aware__all_inactive__balanced__20260923,assay_aware,all_inactive,balanced,20260923,ACTIVITY_IC50,85704,65173,20531,0.9790979497226958,0.9416699559953156
assay_aware__all_inactive__balanced__20260923,assay_aware,all_inactive,balanced,20260923,ACTIVITY_EC50,11957,8543,3414,0.961673505762502,0.9204255381010953
assay_aware__all_inactive__balanced__20260923,assay_aware,all_inactive,balanced,20260923,ALL_ENDPOINT_UNION,132331,93249,39082,0.9534737311196382,0.9081980119876375
assay_aware__all_inactive__regression__20260921,assay_aware,all_inactive,regression,20260921,AFFINITY_KD_KI,34327,23190,11137,0.8950272470274172,0.8410793220489662
assay_aware__all_inactive__regression__20260921,assay_aware,all_inactive,regression,20260921,ACTIVITY_IC50,85704,65173,20531,0.9790666098475169,0.9446835740823514
assay_aware__all_inactive__regression__20260921,assay_aware,all_inactive,regression,20260921,ACTIVITY_EC50,11957,8543,3414,0.9616088676472583,0.9209043351525187
assay_aware__all_inactive__regression__20260921,assay_aware,all_inactive,regression,20260921,ALL_ENDPOINT_UNION,132331,93249,39082,0.9537394502072799,0.9115046753078926
assay_aware__all_inactive__regression__20260922,assay_aware,all_inactive,regression,20260922,AFFINITY_KD_KI,34327,23190,11137,0.9177542976702142,0.8570092086473446
assay_aware__all_inactive__regression__20260922,assay_aware,all_inactive,regression,20260922,ACTIVITY_IC50,85704,65173,20531,0.9800680358103279,0.9456898395667093
assay_aware__all_inactive__regression__20260922,assay_aware,all_inactive,regression,20260922,ACTIVITY_EC50,11957,8543,3414,0.962846892779859,0.9237844891081686
assay_aware__all_inactive__regression__20260922,assay_aware,all_inactive,regression,20260922,ALL_ENDPOINT_UNION,132331,93249,39082,0.9601184295028652,0.9181458134356897
assay_aware__all_inactive__regression__20260923,assay_aware,all_inactive,regression,20260923,AFFINITY_KD_KI,34327,23190,11137,0.9031439628662516,0.8423350630546996
assay_aware__all_inactive__regression__20260923,assay_aware,all_inactive,regression,20260923,ACTIVITY_IC50,85704,65173,20531,0.9783694794682164,0.943593257491797
assay_aware__all_inactive__regression__20260923,assay_aware,all_inactive,regression,20260923,ACTIVITY_EC50,11957,8543,3414,0.9635971909294134,0.9283125490600259
assay_aware__all_inactive__regression__20260923,assay_aware,all_inactive,regression,20260923,ALL_ENDPOINT_UNION,132331,93249,39082,0.9483739852167303,0.9040960526336608
assay_aware__all_inactive__rotate150__20260921,assay_aware,all_inactive,rotate150,20260921,AFFINITY_KD_KI,34327,23190,11137,0.8905757799460446,0.8335554387255703
assay_aware__all_inactive__rotate150__20260921,assay_aware,all_inactive,rotate150,20260921,ACTIVITY_IC50,85704,65173,20531,0.9743206217163244,0.9363657251707906
assay_aware__all_inactive__rotate150__20260921,assay_aware,all_inactive,rotate150,20260921,ACTIVITY_EC50,11957,8543,3414,0.9497264960393689,0.9105775661509325
assay_aware__all_inactive__rotate150__20260921,assay_aware,all_inactive,rotate150,20260921,ALL_ENDPOINT_UNION,132331,93249,39082,0.9420149147477579,0.896177570116697
assay_aware__all_inactive__rotate150__20260922,assay_aware,all_inactive,rotate150,20260922,AFFINITY_KD_KI,34327,23190,11137,0.890103797013747,0.8407553414773847
assay_aware__all_inactive__rotate150__20260922,assay_aware,all_inactive,rotate150,20260922,ACTIVITY_IC50,85704,65173,20531,0.971417806158499,0.9332661192283036
assay_aware__all_inactive__rotate150__20260922,assay_aware,all_inactive,rotate150,20260922,ACTIVITY_EC50,11957,8543,3414,0.9509699594451224,0.9102151725503724
assay_aware__all_inactive__rotate150__20260922,assay_aware,all_inactive,rotate150,20260922,ALL_ENDPOINT_UNION,132331,93249,39082,0.9418405096115277,0.9016193828220171
assay_aware__all_inactive__rotate150__20260923,assay_aware,all_inactive,rotate150,20260923,AFFINITY_KD_KI,34327,23190,11137,0.8438084900281153,0.7820106654728634
assay_aware__all_inactive__rotate150__20260923,assay_aware,all_inactive,rotate150,20260923,ACTIVITY_IC50,85704,65173,20531,0.9715628487695513,0.9280390889554524
assay_aware__all_inactive__rotate150__20260923,assay_aware,all_inactive,rotate150,20260923,ACTIVITY_EC50,11957,8543,3414,0.9497076296662159,0.9054405052876654
assay_aware__all_inactive__rotate150__20260923,assay_aware,all_inactive,rotate150,20260923,ALL_ENDPOINT_UNION,132331,93249,39082,0.9337991776930956,0.8824027994940205
assay_aware__kdki_inactive__adapt_from_B__20260921,assay_aware,kdki_inactive,adapt_from_B,20260921,AFFINITY_KD_KI,34327,23190,11137,0.9089328526783556,0.8530776963672058
assay_aware__kdki_inactive__adapt_from_B__20260921,assay_aware,kdki_inactive,adapt_from_B,20260921,ACTIVITY_IC50,85704,65173,20531,0.9711211580811888,0.9305271802400206
assay_aware__kdki_inactive__adapt_from_B__20260921,assay_aware,kdki_inactive,adapt_from_B,20260921,ACTIVITY_EC50,11957,8543,3414,0.9541423061649115,0.9123264122824395
assay_aware__kdki_inactive__adapt_from_B__20260921,assay_aware,kdki_inactive,adapt_from_B,20260921,ALL_ENDPOINT_UNION,132331,93249,39082,0.9451016184516421,0.901800601463399
assay_aware__kdki_inactive__adapt_from_B__20260922,assay_aware,kdki_inactive,adapt_from_B,20260922,AFFINITY_KD_KI,34327,23190,11137,0.9153537620559218,0.8648177818128779
assay_aware__kdki_inactive__adapt_from_B__20260922,assay_aware,kdki_inactive,adapt_from_B,20260922,ACTIVITY_IC50,85704,65173,20531,0.9711018572988652,0.9286433932113599
assay_aware__kdki_inactive__adapt_from_B__20260922,assay_aware,kdki_inactive,adapt_from_B,20260922,ACTIVITY_EC50,11957,8543,3414,0.9504452438756974,0.8995113352274694
assay_aware__kdki_inactive__adapt_from_B__20260922,assay_aware,kdki_inactive,adapt_from_B,20260922,ALL_ENDPOINT_UNION,132331,93249,39082,0.9461646231507111,0.9008222712418927
assay_aware__kdki_inactive__adapt_from_B__20260923,assay_aware,kdki_inactive,adapt_from_B,20260923,AFFINITY_KD_KI,34327,23190,11137,0.8990366453263503,0.8420428693511518
