model_id,stage,arm,variant,seed,panel,pairs,positive,negative,ap,auroc
assay_aware__kdki_inactive__adapt_from_B__20260923,assay_aware,kdki_inactive,adapt_from_B,20260923,ACTIVITY_IC50,85704,65173,20531,0.9730149807811769,0.931481164704697
assay_aware__kdki_inactive__adapt_from_B__20260923,assay_aware,kdki_inactive,adapt_from_B,20260923,ACTIVITY_EC50,11957,8543,3414,0.9443390673085196,0.896004916991482
assay_aware__kdki_inactive__adapt_from_B__20260923,assay_aware,kdki_inactive,adapt_from_B,20260923,ALL_ENDPOINT_UNION,132331,93249,39082,0.943495495681147,0.8962538912532096
assay_aware__kdki_inactive__assay__20260921,assay_aware,kdki_inactive,assay,20260921,AFFINITY_KD_KI,34327,23190,11137,0.9518077187710949,0.9052830649734889
assay_aware__kdki_inactive__assay__20260921,assay_aware,kdki_inactive,assay,20260921,ACTIVITY_IC50,85704,65173,20531,0.8751007775850468,0.7084823365063784
assay_aware__kdki_inactive__assay__20260921,assay_aware,kdki_inactive,assay,20260921,ACTIVITY_EC50,11957,8543,3414,0.8472590853518418,0.6958952817412667
assay_aware__kdki_inactive__assay__20260921,assay_aware,kdki_inactive,assay,20260921,ALL_ENDPOINT_UNION,132331,93249,39082,0.8798185326046172,0.7666731766483394
assay_aware__kdki_inactive__assay__20260922,assay_aware,kdki_inactive,assay,20260922,AFFINITY_KD_KI,34327,23190,11137,0.9387869447992792,0.8875560887504689
assay_aware__kdki_inactive__assay__20260922,assay_aware,kdki_inactive,assay,20260922,ACTIVITY_IC50,85704,65173,20531,0.8653275059890531,0.6985744089830285
assay_aware__kdki_inactive__assay__20260922,assay_aware,kdki_inactive,assay,20260922,ACTIVITY_EC50,11957,8543,3414,0.8481076867245434,0.7032006697432835
assay_aware__kdki_inactive__assay__20260922,assay_aware,kdki_inactive,assay,20260922,ALL_ENDPOINT_UNION,132331,93249,39082,0.8683346639784536,0.7538971497224315
assay_aware__kdki_inactive__assay__20260923,assay_aware,kdki_inactive,assay,20260923,AFFINITY_KD_KI,34327,23190,11137,0.9255331460833129,0.8776171081535262
assay_aware__kdki_inactive__assay__20260923,assay_aware,kdki_inactive,assay,20260923,ACTIVITY_IC50,85704,65173,20531,0.8649415036857673,0.699918932601203
assay_aware__kdki_inactive__assay__20260923,assay_aware,kdki_inactive,assay,20260923,ACTIVITY_EC50,11957,8543,3414,0.8298995606326223,0.688164618274512
assay_aware__kdki_inactive__assay__20260923,assay_aware,kdki_inactive,assay,20260923,ALL_ENDPOINT_UNION,132331,93249,39082,0.8583408497297521,0.7456513992228848
assay_aware__kdki_inactive__balanced__20260921,assay_aware,kdki_inactive,balanced,20260921,AFFINITY_KD_KI,34327,23190,11137,0.9448339842209418,0.9058162786012601
assay_aware__kdki_inactive__balanced__20260921,assay_aware,kdki_inactive,balanced,20260921,ACTIVITY_IC50,85704,65173,20531,0.8578784123417661,0.686920490982968
assay_aware__kdki_inactive__balanced__20260921,assay_aware,kdki_inactive,balanced,20260921,ACTIVITY_EC50,11957,8543,3414,0.8269147968457349,0.6761246613413887
assay_aware__kdki_inactive__balanced__20260921,assay_aware,kdki_inactive,balanced,20260921,ALL_ENDPOINT_UNION,132331,93249,39082,0.8613392919998784,0.7492209040787339
assay_aware__kdki_inactive__balanced__20260922,assay_aware,kdki_inactive,balanced,20260922,AFFINITY_KD_KI,34327,23190,11137,0.92984920097075,0.887281378889129
assay_aware__kdki_inactive__balanced__20260922,assay_aware,kdki_inactive,balanced,20260922,ACTIVITY_IC50,85704,65173,20531,0.8582865831410421,0.6911437967506112
assay_aware__kdki_inactive__balanced__20260922,assay_aware,kdki_inactive,balanced,20260922,ACTIVITY_EC50,11957,8543,3414,0.8335848769098552,0.6861198262266198
assay_aware__kdki_inactive__balanced__20260922,assay_aware,kdki_inactive,balanced,20260922,ALL_ENDPOINT_UNION,132331,93249,39082,0.8602797466195551,0.7464211104993215
assay_aware__kdki_inactive__balanced__20260923,assay_aware,kdki_inactive,balanced,20260923,AFFINITY_KD_KI,34327,23190,11137,0.931513462199179,0.8854992543957314
assay_aware__kdki_inactive__balanced__20260923,assay_aware,kdki_inactive,balanced,20260923,ACTIVITY_IC50,85704,65173,20531,0.8617093578709062,0.687683798503872
assay_aware__kdki_inactive__balanced__20260923,assay_aware,kdki_inactive,balanced,20260923,ACTIVITY_EC50,11957,8543,3414,0.8264447995511354,0.6821533486375584
assay_aware__kdki_inactive__balanced__20260923,assay_aware,kdki_inactive,balanced,20260923,ALL_ENDPOINT_UNION,132331,93249,39082,0.8573653462333073,0.7388824465185868
assay_aware__kdki_inactive__continue_A__20260921,assay_aware,kdki_inactive,continue_A,20260921,AFFINITY_KD_KI,34327,23190,11137,0.9530303201966223,0.9090567851421066
assay_aware__kdki_inactive__continue_A__20260921,assay_aware,kdki_inactive,continue_A,20260921,ACTIVITY_IC50,85704,65173,20531,0.8712364008630671,0.7014919732004454
assay_aware__kdki_inactive__continue_A__20260921,assay_aware,kdki_inactive,continue_A,20260921,ACTIVITY_EC50,11957,8543,3414,0.843559138903687,0.6890228837184041
assay_aware__kdki_inactive__continue_A__20260921,assay_aware,kdki_inactive,continue_A,20260921,ALL_ENDPOINT_UNION,132331,93249,39082,0.8752393617232719,0.7605902886498934
assay_aware__kdki_inactive__continue_A__20260922,assay_aware,kdki_inactive,continue_A,20260922,AFFINITY_KD_KI,34327,23190,11137,0.9328805227613037,0.8817510988529972
assay_aware__kdki_inactive__continue_A__20260922,assay_aware,kdki_inactive,continue_A,20260922,ACTIVITY_IC50,85704,65173,20531,0.8619935868922026,0.6946418977270497
assay_aware__kdki_inactive__continue_A__20260922,assay_aware,kdki_inactive,continue_A,20260922,ACTIVITY_EC50,11957,8543,3414,0.8451244310086187,0.700641199580248
assay_aware__kdki_inactive__continue_A__20260922,assay_aware,kdki_inactive,continue_A,20260922,ALL_ENDPOINT_UNION,132331,93249,39082,0.8647555651618836,0.7505989103838223
assay_aware__kdki_inactive__continue_A__20260923,assay_aware,kdki_inactive,continue_A,20260923,AFFINITY_KD_KI,34327,23190,11137,0.9243889479610385,0.8750300106056899
assay_aware__kdki_inactive__continue_A__20260923,assay_aware,kdki_inactive,continue_A,20260923,ACTIVITY_IC50,85704,65173,20531,0.8627531637308863,0.6969622847614005
assay_aware__kdki_inactive__continue_A__20260923,assay_aware,kdki_inactive,continue_A,20260923,ACTIVITY_EC50,11957,8543,3414,0.8258241119621628,0.680523734612201
assay_aware__kdki_inactive__continue_A__20260923,assay_aware,kdki_inactive,continue_A,20260923,ALL_ENDPOINT_UNION,132331,93249,39082,0.8554037001436693,0.7424650081343915
assay_aware__kdki_inactive__regression__20260921,assay_aware,kdki_inactive,regression,20260921,AFFINITY_KD_KI,34327,23190,11137,0.9277532233419599,0.8750957603841265
assay_aware__kdki_inactive__regression__20260921,assay_aware,kdki_inactive,regression,20260921,ACTIVITY_IC50,85704,65173,20531,0.8727140942240958,0.7138167922778909
assay_aware__kdki_inactive__regression__20260921,assay_aware,kdki_inactive,regression,20260921,ACTIVITY_EC50,11957,8543,3414,0.833547551271294,0.6906707382845155
assay_aware__kdki_inactive__regression__20260921,assay_aware,kdki_inactive,regression,20260921,ALL_ENDPOINT_UNION,132331,93249,39082,0.8672325752904402,0.7585665351718255
assay_aware__kdki_inactive__regression__20260922,assay_aware,kdki_inactive,regression,20260922,AFFINITY_KD_KI,34327,23190,11137,0.9322665105056358,0.8818474661670909
assay_aware__kdki_inactive__regression__20260922,assay_aware,kdki_inactive,regression,20260922,ACTIVITY_IC50,85704,65173,20531,0.8722498926172714,0.7124408520682424
assay_aware__kdki_inactive__regression__20260922,assay_aware,kdki_inactive,regression,20260922,ACTIVITY_EC50,11957,8543,3414,0.8405576311336862,0.6945608936109489
assay_aware__kdki_inactive__regression__20260922,assay_aware,kdki_inactive,regression,20260922,ALL_ENDPOINT_UNION,132331,93249,39082,0.8673968584365279,0.7553995357049252
assay_aware__kdki_inactive__regression__20260923,assay_aware,kdki_inactive,regression,20260923,AFFINITY_KD_KI,34327,23190,11137,0.918745556686097,0.8694120538730785
assay_aware__kdki_inactive__regression__20260923,assay_aware,kdki_inactive,regression,20260923,ACTIVITY_IC50,85704,65173,20531,0.8660521882594696,0.6978648902539932
assay_aware__kdki_inactive__regression__20260923,assay_aware,kdki_inactive,regression,20260923,ACTIVITY_EC50,11957,8543,3414,0.832213782313739,0.6844919093944339
assay_aware__kdki_inactive__regression__20260923,assay_aware,kdki_inactive,regression,20260923,ALL_ENDPOINT_UNION,132331,93249,39082,0.8558593478814449,0.7407193356411893
assay_aware__kdki_inactive__rotate150__20260921,assay_aware,kdki_inactive,rotate150,20260921,AFFINITY_KD_KI,34327,23190,11137,0.934532395328174,0.8880749102972996
assay_aware__kdki_inactive__rotate150__20260921,assay_aware,kdki_inactive,rotate150,20260921,ACTIVITY_IC50,85704,65173,20531,0.8550719046722919,0.6837974721596555
assay_aware__kdki_inactive__rotate150__20260921,assay_aware,kdki_inactive,rotate150,20260921,ACTIVITY_EC50,11957,8543,3414,0.8242680425449922,0.6751454323114447
assay_aware__kdki_inactive__rotate150__20260921,assay_aware,kdki_inactive,rotate150,20260921,ALL_ENDPOINT_UNION,132331,93249,39082,0.8577452295912076,0.744011052567951
assay_aware__kdki_inactive__rotate150__20260922,assay_aware,kdki_inactive,rotate150,20260922,AFFINITY_KD_KI,34327,23190,11137,0.9231502563089367,0.8802894295102243
assay_aware__kdki_inactive__rotate150__20260922,assay_aware,kdki_inactive,rotate150,20260922,ACTIVITY_IC50,85704,65173,20531,0.8598449459829557,0.6877134229576986
assay_aware__kdki_inactive__rotate150__20260922,assay_aware,kdki_inactive,rotate150,20260922,ACTIVITY_EC50,11957,8543,3414,0.8149263483327656,0.6705867371656709
assay_aware__kdki_inactive__rotate150__20260922,assay_aware,kdki_inactive,rotate150,20260922,ALL_ENDPOINT_UNION,132331,93249,39082,0.8550780930284836,0.7426173352626961
assay_aware__kdki_inactive__rotate150__20260923,assay_aware,kdki_inactive,rotate150,20260923,AFFINITY_KD_KI,34327,23190,11137,0.9131902292895657,0.8726920292535985
assay_aware__kdki_inactive__rotate150__20260923,assay_aware,kdki_inactive,rotate150,20260923,ACTIVITY_IC50,85704,65173,20531,0.8591263985332517,0.6881580401262803
assay_aware__kdki_inactive__rotate150__20260923,assay_aware,kdki_inactive,rotate150,20260923,ACTIVITY_EC50,11957,8543,3414,0.8187691285215459,0.6681990435236446
assay_aware__kdki_inactive__rotate150__20260923,assay_aware,kdki_inactive,rotate150,20260923,ALL_ENDPOINT_UNION,132331,93249,39082,0.8530537175294003,0.7402364994925423
legacy_production,legacy,legacy,mean_logits,0,AFFINITY_KD_KI,34327,23190,11137,0.8884596473624777,0.7914427366125673
legacy_production,legacy,legacy,mean_logits,0,ACTIVITY_IC50,85704,65173,20531,0.9171178743359969,0.7841716460622044
legacy_production,legacy,legacy,mean_logits,0,ACTIVITY_EC50,11957,8543,3414,0.7863777473097113,0.5877853796031394
legacy_production,legacy,legacy,mean_logits,0,ALL_ENDPOINT_UNION,132331,93249,39082,0.9014099266291904,0.7997515467622556
