model_id,stage,arm,variant,seed,status,checkpoint,checkpoint_sha256,optimizer_steps,best_step,train_pairs,validation_binding_ap,validation_balanced_query_ap,validation_activity_ap,pairs,positive,negative,ap,auroc,target_queries,target_macro_ap,target_p5,target_p20,drug_queries,drug_macro_ap,drug_p5,drug_p20,balanced_query_ap
fixed_6000__all_inactive__binary__20260921,fixed_6000,all_inactive,binary,20260921,COMPLETE,outputs/biomaster_endpoint_ablation_20260911/all_inactive_seed_20260921/model.pt,afb20adcdd571cde1c5847cb74ebaff3ecef04b6b98487ec2f33e281bf2d303e,6000.0,,1116270,,,,34327,23190,11137,0.9110027216558352,0.8596462506267254,516,0.6560832841964288,0.6077519379844961,0.5715346534653465,54,0.5265805017493803,0.48518518518518516,0.21333333333333332,0.5913318929729046
fixed_6000__all_inactive__binary__20260922,fixed_6000,all_inactive,binary,20260922,COMPLETE,outputs/biomaster_endpoint_ablation_20260911/all_inactive_seed_20260922/model.pt,b3fbc32b11fb48a82d517755052416364f779aeb62bcd1d462973d1d9d1c826d,6000.0,,1116270,,,,34327,23190,11137,0.905213274423655,0.839997902558449,516,0.6527372028366643,0.5941860465116279,0.5648514851485148,54,0.5809783677093792,0.5481481481481482,0.24166666666666667,0.6168577852730217
fixed_6000__all_inactive__binary__20260923,fixed_6000,all_inactive,binary,20260923,COMPLETE,outputs/biomaster_endpoint_ablation_20260911/all_inactive_seed_20260923/model.pt,3a07dc1ef3b518822442861e9887a2e69ab955ff341cf72348fb25dab4701e88,6000.0,,1116270,,,,34327,23190,11137,0.909925938078004,0.8485675717105664,516,0.6663695035001743,0.603875968992248,0.5642326732673267,54,0.5737108301143824,0.5333333333333333,0.21499999999999997,0.6200401668072784
fixed_6000__kdki_inactive__binary__20260921,fixed_6000,kdki_inactive,binary,20260921,COMPLETE,outputs/biomaster_endpoint_ablation_20260911/kdki_inactive_seed_20260921/model.pt,a356cbe3e89db97fc90dc72cefe8274d03c7694bf14e11759c1dd0f10ffc9dae,6000.0,,337570,,,,34327,23190,11137,0.9430098651298219,0.8959657839407531,516,0.6966019171624845,0.6368217054263566,0.573019801980198,54,0.6038730982235562,0.5703703703703704,0.2533333333333333,0.6502375076930204
fixed_6000__kdki_inactive__binary__20260922,fixed_6000,kdki_inactive,binary,20260922,COMPLETE,outputs/biomaster_endpoint_ablation_20260911/kdki_inactive_seed_20260922/model.pt,777026cf6bf6d18cd1f995d10be831d863021d555537c11da5fef0725107ae7f,6000.0,,337570,,,,34327,23190,11137,0.9332532680422267,0.8814109083145456,516,0.6713623736929007,0.6170542635658914,0.5706683168316832,54,0.5618869990572899,0.5222222222222223,0.22666666666666663,0.6166246863750953
fixed_6000__kdki_inactive__binary__20260923,fixed_6000,kdki_inactive,binary,20260923,COMPLETE,outputs/biomaster_endpoint_ablation_20260911/kdki_inactive_seed_20260923/model.pt,d6b4e1c477b3f99423be1e03763d3284c6de6abef8304808f03293dd9707275e,6000.0,,337570,,,,34327,23190,11137,0.9307642626718825,0.8847083907690425,516,0.6706894678558962,0.6232558139534884,0.570049504950495,54,0.5623127133053158,0.5518518518518518,0.22666666666666666,0.6165010905806061
multitask__all_inactive__binary__20260921,multitask,all_inactive,binary,20260921,CONVERGED_VALIDATION_PLATEAU,outputs/biomaster_endpoint_multitask_20260911/all_inactive__binary__seed_20260921/model.pt,caf875dde9bc4b49164cfdb4e21ac64dfd1072e63747e9af6f1348e6e9473334,34896.0,8724.0,1116270,0.9350956303380317,0.665287234128658,0.9713728348691912,34327,23190,11137,0.9043001707459516,0.8592877844299367,516,0.6596361979451524,0.610077519379845,0.5685643564356435,54,0.5369928725592201,0.5222222222222223,0.2533333333333333,0.5983145352521863
multitask__all_inactive__binary__20260922,multitask,all_inactive,binary,20260922,CONVERGED_VALIDATION_PLATEAU,outputs/biomaster_endpoint_multitask_20260911/all_inactive__binary__seed_20260922/model.pt,29011320c118fa7d91959b4433ba5b5259eb1f838247518ed91e18be218483e1,34896.0,8724.0,1116270,0.9401469461774246,0.6774727097464542,0.9714743829745486,34327,23190,11137,0.92118760586681,0.8596920326996442,516,0.654308831391991,0.6034883720930232,0.561509900990099,54,0.5493188713030752,0.5111111111111112,0.22666666666666666,0.6018138513475331
multitask__all_inactive__binary__20260923,multitask,all_inactive,binary,20260923,CONVERGED_VALIDATION_PLATEAU,outputs/biomaster_endpoint_multitask_20260911/all_inactive__binary__seed_20260923/model.pt,d7064c7171ad55a5cf670cc7c16b5fdc69a037ebc8dbc6c631deacf59be8dafe,30534.0,4362.0,1116270,0.9494741518234118,0.6665435809501489,0.9708090275041912,34327,23190,11137,0.9256162342627311,0.8680294267526134,516,0.6567124785355061,0.6038759689922482,0.5691831683168317,54,0.5432855657735974,0.5259259259259259,0.23166666666666663,0.5999990221545517
multitask__all_inactive__joint__20260921,multitask,all_inactive,joint,20260921,CONVERGED_VALIDATION_PLATEAU,outputs/biomaster_endpoint_multitask_20260911/all_inactive__joint__seed_20260921/model.pt,667c437dd4363b71b060c575a9d6b018770520e0ab26a00c91f99b1c3e100ddf,45801.0,19629.0,1116270,0.9419228591985765,0.6875840468621404,0.9691675148297717,34327,23190,11137,0.9017239772606942,0.844918178290121,516,0.6553226593866169,0.6127906976744187,0.5650990099009902,54,0.5484963288891698,0.5111111111111112,0.2333333333333333,0.6019094941378933
