model_id,stage,arm,variant,seed,scope,pairs,positive,negative,ap,auroc,target_queries,target_macro_ap,target_p5,target_p20,drug_queries,drug_macro_ap,drug_p5,drug_p20,balanced_query_ap
multitask__all_inactive__binary__20260921,multitask,all_inactive,binary,20260921,neither_arm_target_supervised,870,599,271,0.6893513089915742,0.4866413271812184,0,,,,1,0.6859673480430146,0.8,0.7,
multitask__all_inactive__binary__20260921,multitask,all_inactive,binary,20260921,wetlab112_old_pair_unseen,1390,848,542,0.9539682877797067,0.9252332381814383,31,0.9302535606404712,0.8709677419354839,0.7472222222222221,3,0.6237891737891738,0.26666666666666666,0.05,0.7770213672148225
multitask__all_inactive__binary__20260922,multitask,all_inactive,binary,20260922,all,34327,23190,11137,0.92118760586681,0.8596920326996442,516,0.654308831391991,0.6034883720930232,0.561509900990099,54,0.5493188713030752,0.5111111111111112,0.22666666666666666,0.6018138513475331
multitask__all_inactive__binary__20260922,multitask,all_inactive,binary,20260922,old_training_pair_unseen,27439,18074,9365,0.9183245398486,0.8604420511014191,423,0.6501672570170057,0.5947990543735225,0.5371710526315789,46,0.46774140666226355,0.38260869565217387,0.16071428571428575,0.5589543318396346
multitask__all_inactive__binary__20260922,multitask,all_inactive,binary,20260922,document_disjoint,503,331,172,0.9156205726560845,0.8640571207756623,2,0.6018778280542986,0.6,0.2,0,,,,
multitask__all_inactive__binary__20260922,multitask,all_inactive,binary,20260922,raw_assay_and_document_disjoint,488,324,164,0.9197972026299642,0.8684601776573321,2,0.6018778280542986,0.6,0.2,0,,,,
multitask__all_inactive__binary__20260922,multitask,all_inactive,binary,20260922,neither_arm_target_supervised,870,599,271,0.6889900593732947,0.5157303993741106,0,,,,1,0.6844362414720258,0.2,0.5,
multitask__all_inactive__binary__20260922,multitask,all_inactive,binary,20260922,wetlab112_old_pair_unseen,1390,848,542,0.9569524086944186,0.9289036935180672,31,0.9458424157433737,0.8645161290322579,0.7333333333333332,3,0.624074074074074,0.26666666666666666,0.05,0.7849582449087238
multitask__all_inactive__binary__20260923,multitask,all_inactive,binary,20260923,all,34327,23190,11137,0.9256162342627311,0.8680294267526134,516,0.6567124785355061,0.6038759689922482,0.5691831683168317,54,0.5432855657735974,0.5259259259259259,0.23166666666666663,0.5999990221545517
multitask__all_inactive__binary__20260923,multitask,all_inactive,binary,20260923,old_training_pair_unseen,27439,18074,9365,0.9224016862834438,0.8703720293051624,423,0.6583011821161381,0.6004728132387707,0.5444078947368421,46,0.44376666964737277,0.40869565217391307,0.1732142857142857,0.5510339258817554
multitask__all_inactive__binary__20260923,multitask,all_inactive,binary,20260923,document_disjoint,503,331,172,0.9109611906679074,0.8605353755357269,2,0.8391666666666666,0.8,0.25,0,,,,
multitask__all_inactive__binary__20260923,multitask,all_inactive,binary,20260923,raw_assay_and_document_disjoint,488,324,164,0.9207957462180243,0.8725628575730202,2,0.8391666666666666,0.8,0.25,0,,,,
multitask__all_inactive__binary__20260923,multitask,all_inactive,binary,20260923,neither_arm_target_supervised,870,599,271,0.687327134835295,0.4991313936511652,0,,,,1,0.6783969647583326,0.6,0.5,
multitask__all_inactive__binary__20260923,multitask,all_inactive,binary,20260923,wetlab112_old_pair_unseen,1390,848,542,0.9562644698149163,0.9270945746014062,31,0.9051984185375784,0.8580645161290323,0.7499999999999999,3,0.49601139601139593,0.3333333333333333,0.05,0.7006049072744872
multitask__kdki_inactive__binary__20260921,multitask,kdki_inactive,binary,20260921,all,34327,23190,11137,0.9583505170384772,0.9166476204879888,516,0.6935429508144152,0.6395348837209303,0.5789603960396039,54,0.6229627227836807,0.5962962962962963,0.26833333333333337,0.6582528367990479
multitask__kdki_inactive__binary__20260921,multitask,kdki_inactive,binary,20260921,old_training_pair_unseen,27439,18074,9365,0.9548353117052524,0.9148840405236798,423,0.6900342404661859,0.6260047281323876,0.5485197368421053,46,0.5780848686223503,0.5043478260869565,0.2125,0.6340595545442681
multitask__kdki_inactive__binary__20260921,multitask,kdki_inactive,binary,20260921,document_disjoint,503,331,172,0.9270673865075489,0.8724970139815921,2,0.9514285714285713,0.9,0.25,0,,,,
multitask__kdki_inactive__binary__20260921,multitask,kdki_inactive,binary,20260921,raw_assay_and_document_disjoint,488,324,164,0.9294471957752568,0.8762232761216501,2,0.9514285714285713,0.9,0.25,0,,,,
multitask__kdki_inactive__binary__20260921,multitask,kdki_inactive,binary,20260921,neither_arm_target_supervised,870,599,271,0.7012658983308196,0.5160045340019344,0,,,,1,0.7007337273985746,0.6,0.8,
multitask__kdki_inactive__binary__20260921,multitask,kdki_inactive,binary,20260921,wetlab112_old_pair_unseen,1390,848,542,0.94002057417289,0.9179260513123999,31,0.8989494257976337,0.864516129032258,0.7527777777777778,3,0.27656695156695155,0.19999999999999998,0.05,0.5877581886822927
multitask__kdki_inactive__binary__20260922,multitask,kdki_inactive,binary,20260922,all,34327,23190,11137,0.951666238486735,0.9114247470921859,516,0.69768790156934,0.6457364341085271,0.5761138613861386,54,0.6052977226773678,0.5518518518518518,0.24833333333333332,0.6514928121233539
multitask__kdki_inactive__binary__20260922,multitask,kdki_inactive,binary,20260922,old_training_pair_unseen,27439,18074,9365,0.9498744614128949,0.9131538219720895,423,0.695560434768953,0.6321513002364065,0.5470394736842106,46,0.5337309692308346,0.4652173913043477,0.1910714285714286,0.6146457019998939
multitask__kdki_inactive__binary__20260922,multitask,kdki_inactive,binary,20260922,document_disjoint,503,331,172,0.920605320744118,0.8679125974847186,2,0.8208333333333333,0.8,0.25,0,,,,
multitask__kdki_inactive__binary__20260922,multitask,kdki_inactive,binary,20260922,raw_assay_and_document_disjoint,488,324,164,0.924296878492421,0.8727698735320687,2,0.8208333333333333,0.8,0.25,0,,,,
multitask__kdki_inactive__binary__20260922,multitask,kdki_inactive,binary,20260922,neither_arm_target_supervised,870,599,271,0.688108674435663,0.47471493078870686,0,,,,1,0.6833198212230176,0.4,0.65,
multitask__kdki_inactive__binary__20260922,multitask,kdki_inactive,binary,20260922,wetlab112_old_pair_unseen,1390,848,542,0.9635860848213652,0.9510167183039755,31,0.9195156902973268,0.8709677419354839,0.7444444444444444,3,0.5782865282865283,0.20000000000000004,0.05,0.7489011092919275
multitask__kdki_inactive__binary__20260923,multitask,kdki_inactive,binary,20260923,all,34327,23190,11137,0.9564924668081218,0.9172784017379221,516,0.7025296974939204,0.6375968992248062,0.5768564356435644,54,0.597088622237275,0.588888888888889,0.2733333333333334,0.6498091598655977
multitask__kdki_inactive__binary__20260923,multitask,kdki_inactive,binary,20260923,old_training_pair_unseen,27439,18074,9365,0.9534094477999714,0.916342947581991,423,0.6950471878247337,0.6226950354609928,0.5467105263157894,46,0.5215263876001185,0.4739130434782608,0.20892857142857144,0.6082867877124261
multitask__kdki_inactive__binary__20260923,multitask,kdki_inactive,binary,20260923,document_disjoint,503,331,172,0.8867023918611285,0.8375957282371953,2,0.8171212121212121,0.9,0.25,0,,,,
multitask__kdki_inactive__binary__20260923,multitask,kdki_inactive,binary,20260923,raw_assay_and_document_disjoint,488,324,164,0.8934759151071754,0.8445968834688348,2,0.8171212121212121,0.9,0.25,0,,,,
multitask__kdki_inactive__binary__20260923,multitask,kdki_inactive,binary,20260923,neither_arm_target_supervised,870,599,271,0.6878548058719417,0.49274005260920717,0,,,,1,0.6824165757947054,0.8,0.65,
multitask__kdki_inactive__binary__20260923,multitask,kdki_inactive,binary,20260923,wetlab112_old_pair_unseen,1390,848,542,0.9428355801765688,0.9359704622989626,31,0.901333566225723,0.8580645161290322,0.7527777777777778,3,0.4081807081807081,0.26666666666666666,0.05,0.6547571372032156
multitask__kdki_inactive__joint__20260921,multitask,kdki_inactive,joint,20260921,all,34327,23190,11137,0.9461557896134258,0.90596433660154,516,0.7014196020961839,0.6445736434108528,0.5789603960396039,54,0.6370477641940588,0.5814814814814815,0.26999999999999996,0.6692336831451213
multitask__kdki_inactive__joint__20260921,multitask,kdki_inactive,joint,20260921,old_training_pair_unseen,27439,18074,9365,0.9434993165478636,0.9065918123516767,423,0.6963426260412275,0.6354609929078014,0.5485197368421053,46,0.5747306971665269,0.4782608695652174,0.20357142857142854,0.6355366616038772
multitask__kdki_inactive__joint__20260921,multitask,kdki_inactive,joint,20260921,document_disjoint,503,331,172,0.9184293906642476,0.8769672591863978,2,0.7863095238095238,0.7,0.25,0,,,,
multitask__kdki_inactive__joint__20260921,multitask,kdki_inactive,joint,20260921,raw_assay_and_document_disjoint,488,324,164,0.9233377763209378,0.8823396567299006,2,0.7863095238095238,0.7,0.25,0,,,,
multitask__kdki_inactive__joint__20260921,multitask,kdki_inactive,joint,20260921,neither_arm_target_supervised,870,599,271,0.699490051235287,0.4985153607796512,0,,,,1,0.7003976966713867,0.8,0.8,
multitask__kdki_inactive__joint__20260921,multitask,kdki_inactive,joint,20260921,wetlab112_old_pair_unseen,1390,848,542,0.9571634480204458,0.9360955667339691,31,0.9043705287918721,0.8709677419354839,0.7583333333333333,3,0.3738095238095238,0.26666666666666666,0.05,0.639090026300698
multitask__kdki_inactive__joint__20260922,multitask,kdki_inactive,joint,20260922,all,34327,23190,11137,0.9421064006703549,0.892850943846762,516,0.6806586647926048,0.6275193798449612,0.5709158415841583,54,0.6107852546165168,0.5666666666666667,0.24000000000000002,0.6457219597045608
multitask__kdki_inactive__joint__20260922,multitask,kdki_inactive,joint,20260922,old_training_pair_unseen,27439,18074,9365,0.9394375605641532,0.8945910745649626,423,0.677336925655998,0.6193853427895981,0.544407894736842,46,0.5575325856221524,0.45652173913043487,0.1857142857142857,0.6174347556390751
multitask__kdki_inactive__joint__20260922,multitask,kdki_inactive,joint,20260922,document_disjoint,503,331,172,0.9045069350887107,0.8404148809105598,2,1.0,1.0,0.25,0,,,,
multitask__kdki_inactive__joint__20260922,multitask,kdki_inactive,joint,20260922,raw_assay_and_document_disjoint,488,324,164,0.9139928461672322,0.853856142728094,2,1.0,1.0,0.25,0,,,,
multitask__kdki_inactive__joint__20260922,multitask,kdki_inactive,joint,20260922,neither_arm_target_supervised,870,599,271,0.6768030755557461,0.47442231517473765,0,,,,1,0.686849975150462,0.8,0.75,
multitask__kdki_inactive__joint__20260922,multitask,kdki_inactive,joint,20260922,wetlab112_old_pair_unseen,1390,848,542,0.9558032842862235,0.9265201820650282,31,0.8950439114853783,0.8516129032258064,0.7472222222222222,3,0.35341880341880344,0.26666666666666666,0.05,0.6242313574520909
multitask__kdki_inactive__joint__20260923,multitask,kdki_inactive,joint,20260923,all,34327,23190,11137,0.9522049139010276,0.9117577880537056,516,0.7046662337999976,0.6468992248062014,0.5788366336633664,54,0.6343901823378855,0.5740740740740742,0.275,0.6695282080689415
multitask__kdki_inactive__joint__20260923,multitask,kdki_inactive,joint,20260923,old_training_pair_unseen,27439,18074,9365,0.9505418431618997,0.9127944699789989,423,0.698440855119151,0.6297872340425533,0.5488486842105263,46,0.5679255866743103,0.4739130434782609,0.21428571428571427,0.6331832208967306
multitask__kdki_inactive__joint__20260923,multitask,kdki_inactive,joint,20260923,document_disjoint,503,331,172,0.9312571772100924,0.8834750228342585,2,0.855,0.9,0.25,0,,,,
multitask__kdki_inactive__joint__20260923,multitask,kdki_inactive,joint,20260923,raw_assay_and_document_disjoint,488,324,164,0.9458903107631784,0.8963508732309545,2,0.855,0.9,0.25,0,,,,
multitask__kdki_inactive__joint__20260923,multitask,kdki_inactive,joint,20260923,neither_arm_target_supervised,870,599,271,0.689786704392147,0.49416924887111974,0,,,,1,0.68374087040102,0.6,0.75,
multitask__kdki_inactive__joint__20260923,multitask,kdki_inactive,joint,20260923,wetlab112_old_pair_unseen,1390,848,542,0.9542477878323703,0.9295944875722342,31,0.887223522695435,0.8451612903225806,0.7388888888888888,3,0.3849002849002849,0.26666666666666666,0.05,0.63606190379786
