model_id,stage,arm,variant,seed,scope,pairs,positive,negative,ap,auroc,target_queries,target_macro_ap,target_p5,target_p20,drug_queries,drug_macro_ap,drug_p5,drug_p20,balanced_query_ap
legacy_production,legacy,legacy,mean_logits,0,all,34327,23190,11137,0.8884596473624777,0.7914427366125673,516,0.8054812909823842,0.6523255813953488,0.5600247524752475,54,0.499788564696762,0.48148148148148157,0.24000000000000005,0.6526349278395731
legacy_production,legacy,legacy,mean_logits,0,old_training_pair_unseen,27439,18074,9365,0.8228272918043014,0.7206226451957813,423,0.7660893123569575,0.6009456264775414,0.512171052631579,46,0.3445818246297938,0.2652173913043478,0.13392857142857145,0.5553355684933756
legacy_production,legacy,legacy,mean_logits,0,document_disjoint,503,331,172,0.8644313937303364,0.7476902269373991,2,1.0,1.0,0.25,0,,,,
legacy_production,legacy,legacy,mean_logits,0,raw_assay_and_document_disjoint,488,324,164,0.8638389623518035,0.7408254290876243,2,1.0,1.0,0.25,0,,,,
legacy_production,legacy,legacy,mean_logits,0,neither_arm_target_supervised,870,599,271,0.7124996126992115,0.5225714444122738,0,,,,1,0.7085627625659737,0.8,0.75,
legacy_production,legacy,legacy,mean_logits,0,wetlab112_old_pair_unseen,1390,848,542,0.910417570444199,0.8611895582399219,31,0.8031036821331431,0.7354838709677418,0.7083333333333334,3,0.556011396011396,0.20000000000000004,0.05,0.6795575390722696
multitask__all_inactive__binary__20260921,multitask,all_inactive,binary,20260921,all,34327,23190,11137,0.9043001707459516,0.8592877844299367,516,0.6596361979451524,0.610077519379845,0.5685643564356435,54,0.5369928725592201,0.5222222222222223,0.2533333333333333,0.5983145352521863
multitask__all_inactive__binary__20260921,multitask,all_inactive,binary,20260921,old_training_pair_unseen,27439,18074,9365,0.9010357094312701,0.8633368389230465,423,0.6593149485766937,0.6037825059101655,0.5427631578947368,46,0.4793185472027318,0.41304347826086957,0.18392857142857144,0.5693167478897128
multitask__all_inactive__binary__20260921,multitask,all_inactive,binary,20260921,document_disjoint,503,331,172,0.8930355178659434,0.8356899459003724,2,0.9175,0.9,0.25,0,,,,
multitask__all_inactive__binary__20260921,multitask,all_inactive,binary,20260921,raw_assay_and_document_disjoint,488,324,164,0.9042647076930045,0.8490100873230954,2,0.9175,0.9,0.25,0,,,,
