panel,pairs,positive,negative,molecules,target_sequences,positive_fraction,random_permutation_ap,random_auroc,random_top_k_precision
ACTIVITY_EC50,11957,8543,3414,9429,602,0.7144768754704357,0.7146910018048777,0.5,0.7144768754704357
ACTIVITY_IC50,85704,65173,20531,61888,1942,0.7604429198170447,0.7604734877853787,0.5,0.7604429198170447
AFFINITY_KD_KI,34327,23190,11137,16293,2533,0.6755615113467532,0.6756562258897232,0.5,0.6755615113467532
ALL_ENDPOINT_UNION,132331,93249,39082,82705,3464,0.7046648177675677,0.7046901940543913,0.5,0.7046648177675677
EXPLICIT_INACTIVE,10649,0,10649,450,779,0.0,,,0.0
