scope,drug_macro_ap,drug_p5,target_macro_ap,target_p5,balanced_query_ap
all,0.5002472092459456,0.47777777777777786,0.8058570660595067,0.6542635658914729,0.6530521376527261
old_training_pair_unseen,0.34736856634944063,0.2608695652173913,0.7671065732557238,0.6037825059101655,0.5572375698025822
document_disjoint,,,1.0,1.0,
raw_assay_and_document_disjoint,,,1.0,1.0,
neither_arm_target_supervised,0.7082661259691656,0.8,,,
wetlab112_old_pair_unseen,0.5581481481481482,0.20000000000000004,0.8040844184203594,0.7354838709677418,0.6811162832842538
