direction,query,pairs,positive,negative,random_ap,random_p5
target_to_drug,SEQ:6cafcb7b73cd4a888a56672f7918414880d65496ffaf95ec385ae03d299e5862,48,38,10,0.8069982144284756,0.7916666666666666
target_to_drug,SEQ:6cd3aee22d199615898a07909fd0479facea78313c4edb840380494eb27305e0,18,3,15,0.2889758861860938,0.16666666666666666
target_to_drug,SEQ:6d5bab5d8d70be3a440bacfb3ec857e93468837e7e7298ba8ba0a1486ec8d732,16,1,15,0.2112955620768121,0.0625
target_to_drug,SEQ:6dae55828357a7880be08083bf83f85b1cb3d994c509c40dafd65fab164cdd76,17,15,2,0.9002908273723584,0.8823529411764706
target_to_drug,SEQ:6db6f571bcd7a20ff9a2aa4669d8c0ed172d7d1e219dd324c9cbbf91e5c4488f,28,9,19,0.39499503933910185,0.32142857142857145
target_to_drug,SEQ:6ef9ea928a94c95109f9ee0990e69a5d6979cbb3282d463670891ebb95516433,43,23,20,0.5719822660088796,0.5348837209302325
target_to_drug,SEQ:6fad4e956cc75febf127e2928d5feeb27cb236713cbd2355d98510fc96af235b,20,1,19,0.17988698285718413,0.05
target_to_drug,SEQ:6fcd7510546f6916475197b4cc685730be47749ee22261b24813a38c97516602,11,7,4,0.7098137216319034,0.6363636363636364
target_to_drug,SEQ:71376b3a50a1cc063e09d51d93e09c4aacc3b77edd60a922db188157a62b0de4,21,20,1,0.9586794254875303,0.9523809523809523
target_to_drug,SEQ:7192d652f813d4d86f957b1edb7729c8adb429515fb591d7f4c6937a9d54dec2,40,16,24,0.45043912367594424,0.4
target_to_drug,SEQ:725949d2b42e2d6a62d2d89ae38ef5b6dd2decc6088e10ff7911887b404545a6,29,25,4,0.8766583930915618,0.8620689655172413
target_to_drug,SEQ:7289cbc54521bc202bb99244e249eff3fd381af091772ac7e1cfdbd1b155c545,14,13,1,0.9409426501459469,0.9285714285714286
target_to_drug,SEQ:72ae3fbfaabc73063f5b44342bc0fc94ddc2c535148ab9ca1dbcf91c673da3f4,22,1,21,0.16776423864623977,0.045454545454545456
