ligand_inchikey,drug_names,project_entity_ids,active_target_count,experimental_pocket_targets,recovered_no_experimental_pocket_targets,chembl37_moa_pairs,strict_positive_pairs,conflicting_pairs,grey_negative_inactive_pairs,nonstrict_activity_only_pairs,local_unreported_pairs,physical_pairs_completed,stable_physical_pairs,local_unreported_physical_support_pairs,local_unreported_stable_pairs,top_local_unreported_target,top_local_unreported_target_chembl_id,top_local_unreported_evidence_stage,drug_centric_program_rank,pair_count_d0_chembl37_recorded,pair_count_d1_external_rediscovery_control,pair_count_d2_local_unreported_stable_awaiting_literature_audit,pair_count_d3_external_non_support_hold,pair_count_d4_local_unreported_physical_not_stable,pair_count_d5_local_unreported_dta_only,pair_count_d6_target_gate_hold,pair_count_d7_literature_selectivity_risk,top_v6_literature_audit_target,top_v6_literature_audit_target_chembl_id,top_v6_literature_audit_pair_id,pair_count_v7_d0_chembl37_recorded,pair_count_v7_d1_external_rediscovery_control,pair_count_v7_d3_external_non_support_hold,pair_count_v7_d4_local_unreported_physical_not_stable,pair_count_v7_d5_local_unreported_dta_only,pair_count_v7_d6_target_gate_hold,pair_count_v7_d7_literature_selectivity_risk,pair_count_v7_v7_d0_structured_external_rediscovery,pair_count_v7_v7_d1_literature_direct_rediscovery,pair_count_v7_v7_d2_direct_enzyme_context_not_classic_target,pair_count_v7_v7_d3_kirhub_biochemical_rediscovery,pair_count_v7_v7_d4_external_assay_non_support_or_weak,pair_count_v7_v7_d5_computational_precedent_only,pair_count_v7_v7_d6_unvalidated_confounder_or_hotspot_risk,pair_count_v7_v7_d7_unvalidated_cleaner_hypothesis,top_relation_ranker_gene_v7,top_relation_ranker_target_chembl_id_v7,top_relation_ranker_rank_v7,top_relation_ranker_score_v7,top_new_target_ranker_gene_v7,top_new_target_ranker_target_chembl_id_v7,top_new_target_ranker_rank_v7,top_new_target_ranker_score_v7,kirhub_wt_pairs_tested_v7,kirhub_wt_strong_pairs_v7,common_hotspot_active_measurements_v7,common_hotspot_active_target_pairs_v7,prospective_unvalidated_case_count_v7,database_gap_rediscovery_control_count_v7,top_advanced_overall_gene_v8,top_advanced_overall_target_chembl_id_v8,top_advanced_overall_rank_v8,top_advanced_overall_score_v8,top_advanced_overall_applicability_domain_v8,top_advanced_unreported_gene_v8,top_advanced_unreported_target_chembl_id_v8,top_advanced_unreported_rank_v8,top_advanced_unreported_score_v8,top_advanced_unreported_applicability_domain_v8,v8_graph_seed_target_count,v8_external_pairs,v8_external_strict_pairs,v8_external_strict_positives,v8_mutation_application_pairs,v8_prospective_unvalidated_cases,v8_database_gap_rediscovery_controls,top_robust_coverage_gene_v9,top_robust_coverage_target_v9,top_robust_coverage_rank_v9,top_robust_coverage_score_v9,top_internal_positive_incidence_v9,v9_robust_coverage_top20_targets,v9_bindingdb_strict_positive_pairs,v9_integrated_prospective_cases,v9_structural_overrides,v10_top_seeded_gene,v10_top_seeded_target_chembl_id,v10_top_seeded_rank_185,v10_top_seeded_score,v10_top_unseeded_gene,v10_top_unseeded_target_chembl_id,v10_top_unseeded_rank_199,v10_top_unseeded_score,v10_seeded_primary_top20_targets,v10_unseeded_exploratory_top20_targets
VZZJRYRQSPEMTK-CALCHBBNSA-N,sonidegib,UNII:0RLU3VTK5M,384,338,46,0,0,0,0,14,370,20,0,0,0,SOAT2,CHEMBL4465,D3_PHYSICAL_COMPUTED_NOT_SUPPORTED,645,14,0,0,0,15,157,198,0,,,,14,0,0,15,157,198,0,0,0,0,0,0,0,0,0,KCNK2,CHEMBL2321615,1.0,0.879061387996821,PPARA,CHEMBL239,1.0,0.7438987751945916,0,0,0,0,0,0,CACNA2D2,CHEMBL3896,1.0,0.0671022577244992,AD3_LOW_GRAPH_SUPPORT,CACNA2D2,CHEMBL3896,1.0,0.0671022577244992,AD3_LOW_GRAPH_SUPPORT,0.0,0,0,0,0,0,0,SLC6A2,CHEMBL222,1.0,0.971279373368,0.0,20,0,0,0,FRK,CHEMBL4223,1.0,0.895170763648535,RIPK1,CHEMBL5464,1.0,1.0,20,20
MLDQJTXFUGDVEO-UHFFFAOYSA-N,sorafenib,UNII:9ZOQ3TZI87,384,338,46,5,9,16,60,46,248,4,0,0,0,SLC5A2,CHEMBL3884,D3_PHYSICAL_COMPUTED_NOT_SUPPORTED,646,136,0,0,0,2,78,168,0,,,,136,0,0,2,78,168,0,0,0,0,0,0,0,0,0,KIT,CHEMBL1936,1.0,0.9752827510956792,PDGFRA,CHEMBL2007,1.0,0.9483500917560445,101,11,0,0,0,0,KDR,CHEMBL279,1.0,0.9900248230860492,AD1_HIGH_GRAPH_SUPPORT,GAA,CHEMBL2608,12.0,0.8597731559626947,AD1_HIGH_GRAPH_SUPPORT,15.0,101,1,0,0,0,0,PDGFRA,CHEMBL2007,1.0,0.998694516971,0.5891891891891892,20,1,0,0,KDR,CHEMBL279,1.0,0.9902061073768572,RIPK1,CHEMBL5464,1.0,0.9973753,20,20
QKDRXGFQVGOQKS-CRSSMBPESA-N,sotagliflozin,UNII:6B4ZBS263Y,384,338,46,2,0,0,0,1,381,17,0,0,0,CA4,CHEMBL3729,D3_PHYSICAL_COMPUTED_NOT_SUPPORTED,647,3,0,0,0,14,165,202,0,,,,3,0,0,14,165,202,0,0,0,0,0,0,0,0,0,SLC5A1,CHEMBL4979,1.0,0.907635143567768,AKR1B1,CHEMBL1900,1.0,0.6610413481038706,0,0,0,0,0,0,RXRA,CHEMBL2061,1.0,0.2765067019499195,AD3_LOW_GRAPH_SUPPORT,RXRA,CHEMBL2061,1.0,0.2765067019499195,AD3_LOW_GRAPH_SUPPORT,2.0,0,0,0,0,0,0,CTSK,CHEMBL268,1.0,0.981723237598,0.0,20,0,0,0,SLC5A2,CHEMBL3884,1.0,0.7753219198387652,FTO,CHEMBL2331065,1.0,0.9947507,20,20
ZBMZVLHSJCTVON-UHFFFAOYSA-N,sotalol,UNII:A6D97U294I,384,338,46,1,0,0,0,35,348,16,0,0,0,SCN2A,CHEMBL4187,D3_PHYSICAL_COMPUTED_NOT_SUPPORTED,648,36,0,0,0,13,148,187,0,,,,36,0,0,13,148,187,0,0,0,0,0,0,0,0,0,SLC29A1,CHEMBL1997,1.0,0.8910920275578994,PLA2G2A,CHEMBL3474,1.0,0.6351740548333349,0,0,0,0,0,0,GAA,CHEMBL2608,1.0,0.309012667717423,AD2_MEDIUM_GRAPH_SUPPORT,GAA,CHEMBL2608,1.0,0.309012667717423,AD2_MEDIUM_GRAPH_SUPPORT,1.0,0,0,0,0,0,0,PLA2G2A,CHEMBL3474,1.0,0.951697127937,0.0,20,0,0,0,HCN4,CHEMBL1250417,1.0,0.8905564401006185,LOXL2,CHEMBL3714029,1.0,1.0,20,20
WRFHGDPIDHPWIQ-UHFFFAOYSA-N,sparsentan,UNII:9242RO5URM,384,338,46,0,0,0,0,0,384,20,0,0,0,SLC5A2,CHEMBL3884,D3_PHYSICAL_COMPUTED_NOT_SUPPORTED,649,0,0,0,0,19,161,204,0,,,,0,0,0,19,161,204,0,0,0,0,0,0,0,0,0,SLC22A12,CHEMBL6120,1.0,0.8437010151121116,ACHE,CHEMBL220,1.0,0.6225223941431939,0,0,0,0,0,0,CACNA2D2,CHEMBL3896,1.0,0.047554988693747,AD3_LOW_GRAPH_SUPPORT,CACNA2D2,CHEMBL3896,1.0,0.047554988693747,AD3_LOW_GRAPH_SUPPORT,0.0,0,0,0,0,0,0,SLC6A4,CHEMBL228,1.0,0.992167101828,0.0,20,0,0,0,COMT,CHEMBL2023,1.0,0.906888348692242,ALOX12,CHEMBL3687,1.0,0.9895013,21,20
AXOIZCJOOAYSMI-UHFFFAOYSA-N,succinylcholine,UNII:J2R869A8YF,384,338,46,0,0,0,0,34,350,17,0,0,0,NQO1,CHEMBL3623,D3_PHYSICAL_COMPUTED_NOT_SUPPORTED,650,34,0,0,0,14,147,189,0,,,,34,0,0,14,147,189,0,0,0,0,0,0,0,0,0,SCN5A,CHEMBL1980,1.0,0.858031486990855,ALDH2,CHEMBL1935,1.0,0.7832340526552628,0,0,0,0,0,0,PARP1,CHEMBL3105,1.0,0.08355461708293,AD3_LOW_GRAPH_SUPPORT,PARP1,CHEMBL3105,1.0,0.08355461708293,AD3_LOW_GRAPH_SUPPORT,0.0,0,0,0,0,0,0,PARP1,CHEMBL3105,1.0,0.977806788512,0.0034812880765883,20,0,0,0,ABAT,CHEMBL2044,1.0,0.9172596281422208,PLAT,CHEMBL1873,1.0,1.0,20,20
GGCSSNBKKAUURC-UHFFFAOYSA-N,sufentanil,UNII:AFE2YW0IIZ,384,338,46,0,0,0,0,2,382,17,0,0,0,SLC6A4,CHEMBL228,D3_PHYSICAL_COMPUTED_NOT_SUPPORTED,651,2,0,0,0,17,162,203,0,,,,2,0,0,17,162,203,0,0,0,0,0,0,0,0,0,SLC22A6,CHEMBL1641347,1.0,0.8654937832811843,CYP11B1,CHEMBL1908,1.0,0.7741800000808319,0,0,0,0,0,0,RAF1,CHEMBL1906,1.0,0.0129817687988837,AD3_LOW_GRAPH_SUPPORT,RAF1,CHEMBL1906,1.0,0.0129817687988837,AD3_LOW_GRAPH_SUPPORT,0.0,0,0,0,0,0,0,CTSS,CHEMBL2954,1.0,0.98955613577,0.0,20,0,0,0,MME,CHEMBL1944,1.0,0.8409564385042951,CHKA,CHEMBL3117,1.0,0.9947507,21,20
FKENQMMABCRJMK-RITPCOANSA-N,sulbactam,UNII:S4TF6I2330,384,338,46,0,0,0,0,33,351,21,0,0,0,ROS1,CHEMBL5568,D3_PHYSICAL_COMPUTED_NOT_SUPPORTED,652,33,0,0,0,19,142,190,0,,,,33,0,0,19,142,190,0,0,0,0,0,0,0,0,0,CDK2,CHEMBL301,1.0,0.8461637144605124,PKLR,CHEMBL1075126,1.0,0.7570936499418468,0,0,0,0,0,0,CDK2,CHEMBL301,1.0,0.0790365781533698,AD3_LOW_GRAPH_SUPPORT,CDK2,CHEMBL301,1.0,0.0790365781533698,AD3_LOW_GRAPH_SUPPORT,0.0,0,0,0,0,0,0,CDK2,CHEMBL301,1.0,0.998694516971,0.0034812880765883,20,0,0,0,EGLN1,CHEMBL5697,1.0,0.9231361539350476,BCHE,CHEMBL1914,1.0,1.0,21,20
FLSUCZWOEMTFAQ-PRBGKLEPSA-N,sulopenem,UNII:XX514BJ1XW,384,338,46,0,0,0,0,0,384,17,0,0,0,NQO1,CHEMBL3623,D3_PHYSICAL_COMPUTED_NOT_SUPPORTED,653,0,0,0,0,14,166,204,0,,,,0,0,0,14,166,204,0,0,0,0,0,0,0,0,0,EGLN3,CHEMBL5705,1.0,0.9016310067225428,EGLN3,CHEMBL5705,1.0,0.7969753466230023,0,0,0,0,0,0,ARAF,CHEMBL1169596,1.0,0.0932534609651286,AD3_LOW_GRAPH_SUPPORT,ARAF,CHEMBL1169596,1.0,0.0932534609651286,AD3_LOW_GRAPH_SUPPORT,0.0,0,0,0,0,0,0,ARAF,CHEMBL1169596,1.0,0.975195822454,0.0034812880765883,20,0,0,0,SV2A,CHEMBL1998,1.0,0.9218731235572896,BCHE,CHEMBL1914,1.0,1.0,20,20
KQKPFRSPSRPDEB-UHFFFAOYSA-N,sumatriptan,UNII:8R78F6L9VO,384,338,46,0,0,0,0,34,350,24,0,0,0,SLC6A1,CHEMBL1903,D3_PHYSICAL_COMPUTED_NOT_SUPPORTED,654,34,0,0,0,14,147,189,0,,,,34,0,0,14,147,189,0,0,0,0,0,0,0,0,0,SLC22A6,CHEMBL1641347,1.0,0.8735508331614075,DGAT1,CHEMBL6009,1.0,0.8059301304630785,0,0,0,0,0,0,CACNA2D2,CHEMBL3896,1.0,0.0793782844863729,AD3_LOW_GRAPH_SUPPORT,CACNA2D2,CHEMBL3896,1.0,0.0793782844863729,AD3_LOW_GRAPH_SUPPORT,0.0,0,0,0,0,0,0,HTR3A,CHEMBL1899,1.0,0.986945169713,0.001360544217687,21,0,0,0,LCK,CHEMBL258,1.0,0.896954517406899,AKT3,CHEMBL4816,1.0,1.0,21,20
