drug_id,target_id,gene,seed_offset,score
ASMXXROZKSBQIH-VITNCHFBSA-N,CHEMBL1871,AR,0,0.999907374382019
ASMXXROZKSBQIH-VITNCHFBSA-N,CHEMBL1871,AR,1,0.9999071359634399
ASMXXROZKSBQIH-VITNCHFBSA-N,CHEMBL1871,AR,2,0.9999068975448608
ASMXXROZKSBQIH-VITNCHFBSA-N,CHEMBL1871,AR,3,0.9999076128005981
AXQACEQYCPKDMV-RZAWKFBISA-N,CHEMBL1871,AR,0,0.9995073080062866
AXQACEQYCPKDMV-RZAWKFBISA-N,CHEMBL1871,AR,1,0.9995050430297852
AXQACEQYCPKDMV-RZAWKFBISA-N,CHEMBL1871,AR,2,0.9995068311691284
AXQACEQYCPKDMV-RZAWKFBISA-N,CHEMBL1871,AR,3,0.9995070695877075
BMKDZUISNHGIBY-ZETCQYMHSA-N,CHEMBL1871,AR,0,0.9998494386672974
BMKDZUISNHGIBY-ZETCQYMHSA-N,CHEMBL1871,AR,1,0.9998486042022705
BMKDZUISNHGIBY-ZETCQYMHSA-N,CHEMBL1871,AR,2,0.9998488426208496
BMKDZUISNHGIBY-ZETCQYMHSA-N,CHEMBL1871,AR,3,0.9998487234115601
CJBJHOAVZSMMDJ-HEXNFIEUSA-N,CHEMBL1871,AR,0,0.17265766859054565
CJBJHOAVZSMMDJ-HEXNFIEUSA-N,CHEMBL1871,AR,1,0.17235618829727173
CJBJHOAVZSMMDJ-HEXNFIEUSA-N,CHEMBL1871,AR,2,0.17271940410137177
CJBJHOAVZSMMDJ-HEXNFIEUSA-N,CHEMBL1871,AR,3,0.17266938090324402
CVWXJKQAOSCOAB-UHFFFAOYSA-N,CHEMBL1871,AR,0,0.9946500658988953
CVWXJKQAOSCOAB-UHFFFAOYSA-N,CHEMBL1871,AR,1,0.9947015047073364
CVWXJKQAOSCOAB-UHFFFAOYSA-N,CHEMBL1871,AR,2,0.9947189092636108
CVWXJKQAOSCOAB-UHFFFAOYSA-N,CHEMBL1871,AR,3,0.994695246219635
DMKSVUSAATWOCU-HROMYWEYSA-N,CHEMBL1871,AR,0,0.9999988079071045
DMKSVUSAATWOCU-HROMYWEYSA-N,CHEMBL1871,AR,1,0.9999988079071045
DMKSVUSAATWOCU-HROMYWEYSA-N,CHEMBL1871,AR,2,0.9999988079071045
DMKSVUSAATWOCU-HROMYWEYSA-N,CHEMBL1871,AR,3,0.9999988079071045
FNKQXYHWGSIFBK-RPDRRWSUSA-N,CHEMBL1871,AR,0,0.9999103546142578
FNKQXYHWGSIFBK-RPDRRWSUSA-N,CHEMBL1871,AR,1,0.9999103546142578
FNKQXYHWGSIFBK-RPDRRWSUSA-N,CHEMBL1871,AR,2,0.9999103546142578
FNKQXYHWGSIFBK-RPDRRWSUSA-N,CHEMBL1871,AR,3,0.9999104738235474
GDLBFKVLRPITMI-UHFFFAOYSA-N,CHEMBL1871,AR,0,0.09191899001598358
GDLBFKVLRPITMI-UHFFFAOYSA-N,CHEMBL1871,AR,1,0.09189552813768387
GDLBFKVLRPITMI-UHFFFAOYSA-N,CHEMBL1871,AR,2,0.0919346734881401
GDLBFKVLRPITMI-UHFFFAOYSA-N,CHEMBL1871,AR,3,0.09195806086063385
GJSURZIOUXUGAL-UHFFFAOYSA-N,CHEMBL1871,AR,0,0.5612166523933411
GJSURZIOUXUGAL-UHFFFAOYSA-N,CHEMBL1871,AR,1,0.561385989189148
GJSURZIOUXUGAL-UHFFFAOYSA-N,CHEMBL1871,AR,2,0.5612993240356445
GJSURZIOUXUGAL-UHFFFAOYSA-N,CHEMBL1871,AR,3,0.5617771148681641
GYQYAJJFPNQOOW-UHFFFAOYSA-N,CHEMBL1871,AR,0,0.9992758631706238
GYQYAJJFPNQOOW-UHFFFAOYSA-N,CHEMBL1871,AR,1,0.9992734789848328
GYQYAJJFPNQOOW-UHFFFAOYSA-N,CHEMBL1871,AR,2,0.9992753863334656
GYQYAJJFPNQOOW-UHFFFAOYSA-N,CHEMBL1871,AR,3,0.9992701411247253
KJHKTHWMRKYKJE-SUGCFTRWSA-N,CHEMBL1871,AR,0,0.11434971541166306
KJHKTHWMRKYKJE-SUGCFTRWSA-N,CHEMBL1871,AR,1,0.11426887661218643
KJHKTHWMRKYKJE-SUGCFTRWSA-N,CHEMBL1871,AR,2,0.1142854318022728
KJHKTHWMRKYKJE-SUGCFTRWSA-N,CHEMBL1871,AR,3,0.1144515797495842
KRNAOFGYEFKHPB-ANJVHQHFSA-N,CHEMBL1871,AR,0,0.9987390637397766
KRNAOFGYEFKHPB-ANJVHQHFSA-N,CHEMBL1871,AR,1,0.9987389445304871
KRNAOFGYEFKHPB-ANJVHQHFSA-N,CHEMBL1871,AR,2,0.998738706111908
KRNAOFGYEFKHPB-ANJVHQHFSA-N,CHEMBL1871,AR,3,0.9987396597862244
LEBVLXFERQHONN-UHFFFAOYSA-N,CHEMBL1871,AR,0,0.00088405393762514
LEBVLXFERQHONN-UHFFFAOYSA-N,CHEMBL1871,AR,1,0.0008818678325042129
LEBVLXFERQHONN-UHFFFAOYSA-N,CHEMBL1871,AR,2,0.0008824802353046834
LEBVLXFERQHONN-UHFFFAOYSA-N,CHEMBL1871,AR,3,0.0008817401248961687
LOWWYYZBZNSPDT-ZBEGNZNMSA-N,CHEMBL1871,AR,0,0.19242799282073975
LOWWYYZBZNSPDT-ZBEGNZNMSA-N,CHEMBL1871,AR,1,0.1923927217721939
LOWWYYZBZNSPDT-ZBEGNZNMSA-N,CHEMBL1871,AR,2,0.19240078330039978
LOWWYYZBZNSPDT-ZBEGNZNMSA-N,CHEMBL1871,AR,3,0.19248108565807343
LPQZKKCYTLCDGQ-WEDXCCLWSA-N,CHEMBL1871,AR,0,0.2445591539144516
LPQZKKCYTLCDGQ-WEDXCCLWSA-N,CHEMBL1871,AR,1,0.24491719901561737
LPQZKKCYTLCDGQ-WEDXCCLWSA-N,CHEMBL1871,AR,2,0.24388527870178223
LPQZKKCYTLCDGQ-WEDXCCLWSA-N,CHEMBL1871,AR,3,0.24515284597873688
NBGABHGMJVIVBW-QHCPKHFHSA-N,CHEMBL1871,AR,0,0.9995220899581909
NBGABHGMJVIVBW-QHCPKHFHSA-N,CHEMBL1871,AR,1,0.9995224475860596
NBGABHGMJVIVBW-QHCPKHFHSA-N,CHEMBL1871,AR,2,0.9995231628417969
NBGABHGMJVIVBW-QHCPKHFHSA-N,CHEMBL1871,AR,3,0.9995222091674805
OGQICQVSFDPSEI-UHFFFAOYSA-N,CHEMBL1871,AR,0,0.9054635167121887
OGQICQVSFDPSEI-UHFFFAOYSA-N,CHEMBL1871,AR,1,0.9048157930374146
OGQICQVSFDPSEI-UHFFFAOYSA-N,CHEMBL1871,AR,2,0.9056296944618225
OGQICQVSFDPSEI-UHFFFAOYSA-N,CHEMBL1871,AR,3,0.9058993458747864
PYNXFZCZUAOOQC-UTKZUKDTSA-N,CHEMBL1871,AR,0,0.0002662736806087196
PYNXFZCZUAOOQC-UTKZUKDTSA-N,CHEMBL1871,AR,1,0.00026622266159392893
PYNXFZCZUAOOQC-UTKZUKDTSA-N,CHEMBL1871,AR,2,0.000266218587057665
PYNXFZCZUAOOQC-UTKZUKDTSA-N,CHEMBL1871,AR,3,0.0002662907063495368
SMOBCLHAZXOKDQ-ZJUUUORDSA-N,CHEMBL1871,AR,0,0.00029504764825105667
SMOBCLHAZXOKDQ-ZJUUUORDSA-N,CHEMBL1871,AR,1,0.00029407936381176114
SMOBCLHAZXOKDQ-ZJUUUORDSA-N,CHEMBL1871,AR,2,0.0002951337955892086
SMOBCLHAZXOKDQ-ZJUUUORDSA-N,CHEMBL1871,AR,3,0.0002952412760350853
UBPYILGKFZZVDX-UHFFFAOYSA-N,CHEMBL1871,AR,0,0.9967101812362671
UBPYILGKFZZVDX-UHFFFAOYSA-N,CHEMBL1871,AR,1,0.9967237114906311
UBPYILGKFZZVDX-UHFFFAOYSA-N,CHEMBL1871,AR,2,0.9967208504676819
UBPYILGKFZZVDX-UHFFFAOYSA-N,CHEMBL1871,AR,3,0.9967183470726013
UBZPNQRBUOBBLN-PWRODBHTSA-N,CHEMBL1871,AR,0,0.5010016560554504
UBZPNQRBUOBBLN-PWRODBHTSA-N,CHEMBL1871,AR,1,0.5011541843414307
UBZPNQRBUOBBLN-PWRODBHTSA-N,CHEMBL1871,AR,2,0.5010704398155212
UBZPNQRBUOBBLN-PWRODBHTSA-N,CHEMBL1871,AR,3,0.5009264349937439
UWKQSNNFCGGAFS-XIFFEERXSA-N,CHEMBL1871,AR,0,0.9959114789962769
UWKQSNNFCGGAFS-XIFFEERXSA-N,CHEMBL1871,AR,1,0.9959086179733276
UWKQSNNFCGGAFS-XIFFEERXSA-N,CHEMBL1871,AR,2,0.995902955532074
UWKQSNNFCGGAFS-XIFFEERXSA-N,CHEMBL1871,AR,3,0.9959205389022827
VJJPUSNTGOMMGY-MRVIYFEKSA-N,CHEMBL1871,AR,0,0.998883068561554
VJJPUSNTGOMMGY-MRVIYFEKSA-N,CHEMBL1871,AR,1,0.9988834261894226
