query,entity,head_a,head_b,n,spearman
drug_id,ACWZRVQXLIRSDF-UHFFFAOYSA-N,biomaster,biomaster_reverse,37,0.6612138454243717
drug_id,ADEBPBSSDYVVLD-UHFFFAOYSA-N,nesso,nesso_pic50,37,-0.04646752015173067
drug_id,ADEBPBSSDYVVLD-UHFFFAOYSA-N,biomaster,biomaster_reverse,37,0.9172593646277856
drug_id,AEXFXNFMSAAELR-RXVVDRJESA-N,nesso,nesso_pic50,37,0.14817449027975343
drug_id,AEXFXNFMSAAELR-RXVVDRJESA-N,biomaster,biomaster_reverse,37,0.7956377430061639
drug_id,AFLFKFHDSCQHOL-IZZDOVSWSA-N,nesso,nesso_pic50,37,0.4715504978662873
drug_id,AFLFKFHDSCQHOL-IZZDOVSWSA-N,biomaster,biomaster_reverse,37,0.9883831199620672
drug_id,AHJRHEGDXFFMBM-UHFFFAOYSA-N,nesso,nesso_pic50,37,0.30962541488857276
drug_id,AHJRHEGDXFFMBM-UHFFFAOYSA-N,biomaster,biomaster_reverse,37,0.9528212422949264
drug_id,AHOUBRCZNHFOSL-YOEHRIQHSA-N,nesso,nesso_pic50,37,0.21384542437174014
drug_id,AHOUBRCZNHFOSL-YOEHRIQHSA-N,biomaster,biomaster_reverse,37,0.9499762920815551
drug_id,AHYMHWXQRWRBKT-UHFFFAOYSA-N,nesso,nesso_pic50,37,0.6782835467045992
drug_id,AHYMHWXQRWRBKT-UHFFFAOYSA-N,biomaster,biomaster_reverse,37,-0.007349454717875769
drug_id,AILRADAXUVEEIR-UHFFFAOYSA-N,nesso,nesso_pic50,37,0.7612612612612613
drug_id,AILRADAXUVEEIR-UHFFFAOYSA-N,biomaster,biomaster_reverse,37,0.9796111901375059
drug_id,AJIPIJNNOJSSQC-NYLIRDPKSA-N,nesso,nesso_pic50,37,0.07444286391654813
drug_id,AJIPIJNNOJSSQC-NYLIRDPKSA-N,biomaster,biomaster_reverse,37,0.45732574679943094
drug_id,ALWKGYPQUAPLQC-UHFFFAOYSA-N,nesso,nesso_pic50,37,0.06827880512091038
drug_id,ALWKGYPQUAPLQC-UHFFFAOYSA-N,biomaster,biomaster_reverse,37,0.9748696064485537
drug_id,ANGKOCUUWGHLCE-HKUYNNGSSA-N,nesso,nesso_pic50,37,0.08297771455666192
drug_id,ANGKOCUUWGHLCE-HKUYNNGSSA-N,biomaster,biomaster_reverse,37,0.5429113323850165
drug_id,AOMXMOCNKJTRQP-UHFFFAOYSA-N,nesso,nesso_pic50,37,0.35775248933143666
drug_id,AOMXMOCNKJTRQP-UHFFFAOYSA-N,biomaster,biomaster_reverse,37,0.9549549549549549
drug_id,AQHHHDLHHXJYJD-UHFFFAOYSA-N,nesso,nesso_pic50,37,-0.22664770033191084
drug_id,AQHHHDLHHXJYJD-UHFFFAOYSA-N,biomaster,biomaster_reverse,37,0.9646752015173067
drug_id,AQNDDEOPVVGCPG-UHFFFAOYSA-N,nesso,nesso_pic50,37,-0.5052157420578474
drug_id,AQNDDEOPVVGCPG-UHFFFAOYSA-N,biomaster,biomaster_reverse,37,0.9900426742532006
drug_id,AQOKCDNYWBIDND-FTOWTWDKSA-N,nesso,nesso_pic50,37,-0.1514935988620199
drug_id,AQOKCDNYWBIDND-FTOWTWDKSA-N,biomaster,biomaster_reverse,37,0.9549549549549549
drug_id,ASMXXROZKSBQIH-VITNCHFBSA-N,nesso,nesso_pic50,37,-0.21123755334281646
drug_id,ASMXXROZKSBQIH-VITNCHFBSA-N,biomaster,biomaster_reverse,37,0.956140350877193
drug_id,ASOADIZOVZTJSR-UHFFFAOYSA-N,nesso,nesso_pic50,37,0.5194404931247036
drug_id,ASOADIZOVZTJSR-UHFFFAOYSA-N,biomaster,biomaster_reverse,37,0.5718349928876244
drug_id,ASUTZQLVASHGKV-JDFRZJQESA-N,nesso,nesso_pic50,37,-0.37529634898055947
drug_id,ASUTZQLVASHGKV-JDFRZJQESA-N,biomaster,biomaster_reverse,37,0.94950213371266
drug_id,ATALOFNDEOCMKK-OITMNORJSA-N,nesso,nesso_pic50,37,0.3122332859174964
drug_id,ATALOFNDEOCMKK-OITMNORJSA-N,biomaster,biomaster_reverse,37,0.9706021811284967
drug_id,AURFZBICLPNKBZ-SYBPFIFISA-N,nesso,nesso_pic50,37,0.2155049786628734
drug_id,AURFZBICLPNKBZ-SYBPFIFISA-N,biomaster,biomaster_reverse,37,0.9103840682788049
drug_id,AVAACINZEOAHHE-VFZPANTDSA-N,nesso,nesso_pic50,37,0.001896633475580844
drug_id,AVAACINZEOAHHE-VFZPANTDSA-N,biomaster,biomaster_reverse,37,0.9834044570886674
drug_id,AXOIZCJOOAYSMI-UHFFFAOYSA-N,nesso,nesso_pic50,37,0.1699857752489331
drug_id,AXOIZCJOOAYSMI-UHFFFAOYSA-N,biomaster,biomaster_reverse,37,0.9746325272641062
drug_id,AXQACEQYCPKDMV-RZAWKFBISA-N,nesso,nesso_pic50,37,-0.08795637743006164
drug_id,AXQACEQYCPKDMV-RZAWKFBISA-N,biomaster,biomaster_reverse,37,0.9288762446657182
drug_id,AYXYPKUFHZROOJ-ZETCQYMHSA-N,nesso,nesso_pic50,37,-0.7572309151256519
drug_id,AYXYPKUFHZROOJ-ZETCQYMHSA-N,biomaster,biomaster_reverse,37,0.8904694167852062
drug_id,AZSRSNUQCUDCGG-UHFFFAOYSA-N,nesso,nesso_pic50,37,0.3008534850640114
drug_id,AZSRSNUQCUDCGG-UHFFFAOYSA-N,biomaster,biomaster_reverse,37,0.4935988620199146
drug_id,BALLNEJQLSTPIO-UHFFFAOYSA-N,nesso,nesso_pic50,37,0.19653864390706494
drug_id,BALLNEJQLSTPIO-UHFFFAOYSA-N,biomaster,biomaster_reverse,37,0.7479848269321953
drug_id,BARDROPHSZEBKC-OITMNORJSA-N,nesso,nesso_pic50,37,-0.11142721669037459
drug_id,BARDROPHSZEBKC-OITMNORJSA-N,biomaster,biomaster_reverse,37,0.9886201991465149
drug_id,BBAWEDCPNXPBQM-GDEBMMAJSA-N,nesso,nesso_pic50,37,-0.13063063063063063
drug_id,BBAWEDCPNXPBQM-GDEBMMAJSA-N,biomaster,biomaster_reverse,37,0.9779516358463726
drug_id,BCEHBSKCWLPMDN-MGPLVRAMSA-N,nesso,nesso_pic50,37,-0.24751066856330015
drug_id,BCEHBSKCWLPMDN-MGPLVRAMSA-N,biomaster,biomaster_reverse,37,0.5424371740161213
drug_id,BCFGMOOMADDAQU-UHFFFAOYSA-N,nesso,nesso_pic50,37,0.5742057847321004
drug_id,BCFGMOOMADDAQU-UHFFFAOYSA-N,biomaster,biomaster_reverse,37,0.5464675201517306
drug_id,BFDBKMOZYNOTPK-UHFFFAOYSA-N,nesso,nesso_pic50,37,0.27999051683262205
drug_id,BFDBKMOZYNOTPK-UHFFFAOYSA-N,biomaster,biomaster_reverse,37,0.9172593646277856
drug_id,BFPYWIDHMRZLRN-SLHNCBLASA-N,nesso,nesso_pic50,37,0.3271692745376955
drug_id,BFPYWIDHMRZLRN-SLHNCBLASA-N,biomaster,biomaster_reverse,37,-0.11640587956377428
drug_id,BFSMGDJOXZAERB-UHFFFAOYSA-N,nesso,nesso_pic50,37,0.7804646752015173
drug_id,BFSMGDJOXZAERB-UHFFFAOYSA-N,biomaster,biomaster_reverse,37,0.9596965386439069
drug_id,BGDKAVGWHJFAGW-UHFFFAOYSA-N,nesso,nesso_pic50,37,-0.10763394973921289
drug_id,BGDKAVGWHJFAGW-UHFFFAOYSA-N,biomaster,biomaster_reverse,37,0.9231863442389756
drug_id,BISPBXFUKNXOQY-RITPCOANSA-N,nesso,nesso_pic50,37,0.30962541488857276
drug_id,BISPBXFUKNXOQY-RITPCOANSA-N,biomaster,biomaster_reverse,37,0.980085348506401
drug_id,BLIJXOOIHRSQRB-PXYINDEMSA-N,nesso,nesso_pic50,37,0.36605026078710284
drug_id,BLIJXOOIHRSQRB-PXYINDEMSA-N,biomaster,biomaster_reverse,37,0.009483167377904219
drug_id,BLJRIMJGRPQVNF-JTQLQIEISA-N,nesso,nesso_pic50,37,-0.4810336652441915
drug_id,BLJRIMJGRPQVNF-JTQLQIEISA-N,biomaster,biomaster_reverse,37,0.9857752489331436
drug_id,BMEARIQHWSVDBS-SNVBAGLBSA-N,nesso,nesso_pic50,37,-0.14746325272641062
drug_id,BMEARIQHWSVDBS-SNVBAGLBSA-N,biomaster,biomaster_reverse,37,0.9943100995732574
drug_id,BMGQWWVMWDBQGC-IIFHNQTCSA-N,nesso,nesso_pic50,37,0.38193456614509247
drug_id,BMGQWWVMWDBQGC-IIFHNQTCSA-N,biomaster,biomaster_reverse,37,0.9445234708392602
drug_id,BMKDZUISNHGIBY-ZETCQYMHSA-N,nesso,nesso_pic50,37,-0.08440018966334754
drug_id,BMKDZUISNHGIBY-ZETCQYMHSA-N,biomaster,biomaster_reverse,37,0.9862494073020387
drug_id,BMPDWHIDQYTSHX-AWEZNQCLSA-N,nesso,nesso_pic50,37,-0.317923186344239
drug_id,BMPDWHIDQYTSHX-AWEZNQCLSA-N,biomaster,biomaster_reverse,37,0.986723565670934
drug_id,BMPDWHIDQYTSHX-UHFFFAOYSA-N,nesso,nesso_pic50,37,-0.2982456140350877
drug_id,BMPDWHIDQYTSHX-UHFFFAOYSA-N,biomaster,biomaster_reverse,37,0.9516358463726885
drug_id,BNRNXUUZRGQAQC-UHFFFAOYSA-N,nesso,nesso_pic50,37,0.069701280227596
drug_id,BNRNXUUZRGQAQC-UHFFFAOYSA-N,biomaster,biomaster_reverse,37,0.9203413940256044
drug_id,BPKAHTKRCLCHEA-UBFJEZKGSA-N,nesso,nesso_pic50,37,0.4736842105263157
drug_id,BPKAHTKRCLCHEA-UBFJEZKGSA-N,biomaster,biomaster_reverse,37,0.536036036036036
drug_id,BPQMGSKTAYIVFO-UHFFFAOYSA-N,nesso,nesso_pic50,37,0.6201991465149359
drug_id,BPQMGSKTAYIVFO-UHFFFAOYSA-N,biomaster,biomaster_reverse,37,0.9653864390706496
drug_id,BPRHUIZQVSMCRT-VEUZHWNKSA-N,nesso,nesso_pic50,37,0.29160739687055476
drug_id,BPRHUIZQVSMCRT-VEUZHWNKSA-N,biomaster,biomaster_reverse,37,0.8451872925557136
drug_id,BPZSYCZIITTYBL-YJYMSZOUSA-N,nesso,nesso_pic50,37,-0.15101944049312468
drug_id,BPZSYCZIITTYBL-YJYMSZOUSA-N,biomaster,biomaster_reverse,37,0.9935988620199145
drug_id,BQEJAAIPKDQEPV-MXHGPKCJSA-N,nesso,nesso_pic50,37,-0.18563300142247507
drug_id,BQEJAAIPKDQEPV-MXHGPKCJSA-N,biomaster,biomaster_reverse,37,0.02892366050260787
drug_id,BQJCRHHNABKAKU-KBQPJGBKSA-N,nesso,nesso_pic50,37,-0.47747747747747743
drug_id,BQJCRHHNABKAKU-KBQPJGBKSA-N,biomaster,biomaster_reverse,37,0.9009009009009008
drug_id,BQSJTQLCZDPROO-UHFFFAOYSA-N,nesso,nesso_pic50,37,0.6628733997155049
drug_id,BQSJTQLCZDPROO-UHFFFAOYSA-N,biomaster,biomaster_reverse,37,0.907302038880986
drug_id,BRUQQQPBMZOVGD-XFKAJCMBSA-N,nesso,nesso_pic50,37,-0.26647700331910856
drug_id,BRUQQQPBMZOVGD-XFKAJCMBSA-N,biomaster,biomaster_reverse,37,0.8468468468468467
drug_id,BSMCAPRUBJMWDF-KRWDZBQOSA-N,nesso,nesso_pic50,37,0.4343290659080132
drug_id,BSMCAPRUBJMWDF-KRWDZBQOSA-N,biomaster,biomaster_reverse,37,0.8371266002844949
drug_id,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,nesso,nesso_pic50,37,0.037221431958274064
drug_id,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,biomaster,biomaster_reverse,37,0.9864864864864863
drug_id,BTBHLEZXCOBLCY-QGZVFWFLSA-N,nesso,nesso_pic50,37,0.3340445708866761
drug_id,BTBHLEZXCOBLCY-QGZVFWFLSA-N,biomaster,biomaster_reverse,37,0.9445234708392602
drug_id,BTCRKOKVYTVOLU-SJSRKZJXSA-N,nesso,nesso_pic50,37,0.29611190137505927
