gene,n,seed_offset,spearman,max_absolute_change,top10_overlap
AR,32,1,1.0,0.0006477236747741699,10
AR,32,2,1.0,0.000673830509185791,10
AR,32,3,1.0,0.0005936920642852783,10
MIF,32,1,1.0,0.0014944076538085938,10
MIF,32,2,1.0,0.003197968006134033,10
MIF,32,3,1.0,0.001798868179321289,10
