target_id,n,spearman
CHEMBL1782,719,-0.24100302442136315
CHEMBL1829,719,-0.4630419454441909
CHEMBL1871,718,0.6702136987130959
CHEMBL1902,719,-0.41897772749989354
CHEMBL1952,719,-0.39670974723740676
CHEMBL1977,719,0.13928922869506938
CHEMBL1997,719,-0.10428213253990701
CHEMBL2007625,719,0.6734745257834062
CHEMBL2008,719,0.6294573733507413
CHEMBL2023,715,-0.21084971551616313
CHEMBL2063,719,0.2280786917763375
CHEMBL2085,718,-0.3670317668634504
CHEMBL2185,719,-0.02166399995867571
CHEMBL2208,719,-0.08533288005754408
CHEMBL2321614,719,0.19719759983366977
CHEMBL2326,719,-0.21594759176251968
CHEMBL2508,715,-0.2585125029423419
CHEMBL261,719,-0.2247493423626904
CHEMBL262,719,-0.16007854197579174
CHEMBL3028,719,-0.2836138219413893
CHEMBL3116,718,-0.17143361083662897
CHEMBL3117,719,-0.009218512506408495
CHEMBL3242,719,-0.14543415039199964
CHEMBL3385,719,-0.38259382227714916
CHEMBL3474,719,-0.28330534258480844
CHEMBL3587,719,-0.05086781005807355
CHEMBL3629,718,-0.03008295272761296
CHEMBL3729,719,-0.3942801373516039
CHEMBL3778,718,-0.1056448680882838
CHEMBL3961,719,-0.018932399920967298
CHEMBL3979,718,0.2202947082049467
CHEMBL4040,717,-0.3401110559910001
CHEMBL4073,719,-0.4480220839580404
CHEMBL4179,719,-0.25251616489940765
CHEMBL4245,718,0.5014953497450736
CHEMBL4685,719,-0.21814607619423965
CHEMBL4956,713,0.20418137313390144
