model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,0.9915855801211955,roc_auc,1.291069746017456,7275.681882619858,0.0007932186126708984,0.1186671257019043,2,True,12
LightGBMXT,0.9903774689037725,roc_auc,0.14416742324829102,785.0874719619751,0.14416742324829102,785.0874719619751,1,True,1
LightGBMLarge,0.9898766402405685,roc_auc,0.1143186092376709,679.0045409202576,0.1143186092376709,679.0045409202576,1,True,10
LightGBM,0.9898488757517769,roc_auc,0.12462925910949707,793.4878597259521,0.12462925910949707,793.4878597259521,1,True,2
XGBoost,0.989768429925278,roc_auc,0.2520780563354492,883.679940700531,0.2520780563354492,883.679940700531,1,True,8
RandomForestEntr,0.9883453218972117,roc_auc,0.12612199783325195,203.94665503501892,0.12612199783325195,203.94665503501892,1,True,4
RandomForestGini,0.9880093003918353,roc_auc,0.11986088752746582,275.4814622402191,0.11986088752746582,275.4814622402191,1,True,3
CatBoost,0.987739130558593,roc_auc,0.026317834854125977,964.255704164505,0.026317834854125977,964.255704164505,1,True,5
NeuralNetFastAI,0.9872135630239657,roc_auc,0.13746047019958496,486.1830630302429,0.13746047019958496,486.1830630302429,1,True,11
NeuralNetTorch,0.9867801878303263,roc_auc,0.5223910808563232,4166.12673664093,0.5223910808563232,4166.12673664093,1,True,9
ExtraTreesEntr,0.9847466170038273,roc_auc,0.11751008033752441,53.66457200050354,0.11751008033752441,53.66457200050354,1,True,7
ExtraTreesGini,0.9830814595862948,roc_auc,0.11766886711120605,52.891674518585205,0.11766886711120605,52.891674518585205,1,True,6
