assay_lane,historical_experimental_evidence,computed_pocket_evidence,evidence_compute_route,targets
ENZYME_BIOCHEMICAL,H1_RICH_POSITIVE_NEGATIVE,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,5
ENZYME_BIOCHEMICAL,H2_ADEQUATE_POSITIVE_NEGATIVE,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,5
ENZYME_BIOCHEMICAL,H3_MINIMUM_POSITIVE_NEGATIVE,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,2
ENZYME_BIOCHEMICAL,H4_POSITIVE_ONLY,P1_P2RANK_FPOCKET_SAME_SITE,R2_DUAL_POCKET_CONTROL_ACQUISITION,1
ENZYME_BIOCHEMICAL,H5_SPARSE_OR_NONE,P1_P2RANK_FPOCKET_SAME_SITE,R2_DUAL_POCKET_CONTROL_ACQUISITION,9
ENZYME_BIOCHEMICAL,H5_SPARSE_OR_NONE,P2_FPOCKET_GEOMETRIC_RESCUE,R4_GEOMETRIC_RESCUE_CONTROL_ACQUISITION,1
ENZYME_BIOCHEMICAL,H5_SPARSE_OR_NONE,P3_LOW_CONFIDENCE_FRAGMENT_HYPOTHESIS,R5_LOW_CONFIDENCE_STRUCTURE_FIRST,1
ION_CHANNEL_FUNCTIONAL,H1_RICH_POSITIVE_NEGATIVE,P2_FPOCKET_GEOMETRIC_RESCUE,R3_GEOMETRIC_RESCUE_WITH_MEASURED_CONTROLS,1
ION_CHANNEL_FUNCTIONAL,H2_ADEQUATE_POSITIVE_NEGATIVE,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,1
ION_CHANNEL_FUNCTIONAL,H5_SPARSE_OR_NONE,P1_P2RANK_FPOCKET_SAME_SITE,R2_DUAL_POCKET_CONTROL_ACQUISITION,1
ION_CHANNEL_FUNCTIONAL,H5_SPARSE_OR_NONE,P2_FPOCKET_GEOMETRIC_RESCUE,R4_GEOMETRIC_RESCUE_CONTROL_ACQUISITION,4
ION_CHANNEL_FUNCTIONAL,H5_SPARSE_OR_NONE,P3_LOW_CONFIDENCE_FRAGMENT_HYPOTHESIS,R5_LOW_CONFIDENCE_STRUCTURE_FIRST,1
KINASE_BIOCHEMICAL,H1_RICH_POSITIVE_NEGATIVE,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,3
KINASE_BIOCHEMICAL,H2_ADEQUATE_POSITIVE_NEGATIVE,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,2
KINASE_BIOCHEMICAL,H3_MINIMUM_POSITIVE_NEGATIVE,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,1
NUCLEAR_EPIGENETIC_DOMAIN,H1_RICH_POSITIVE_NEGATIVE,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,1
NUCLEAR_EPIGENETIC_DOMAIN,H5_SPARSE_OR_NONE,P2_FPOCKET_GEOMETRIC_RESCUE,R4_GEOMETRIC_RESCUE_CONTROL_ACQUISITION,1
TRANSPORTER_MEMBRANE_FUNCTIONAL,H1_RICH_POSITIVE_NEGATIVE,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,1
TRANSPORTER_MEMBRANE_FUNCTIONAL,H2_ADEQUATE_POSITIVE_NEGATIVE,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,1
TRANSPORTER_MEMBRANE_FUNCTIONAL,H3_MINIMUM_POSITIVE_NEGATIVE,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,1
TRANSPORTER_MEMBRANE_FUNCTIONAL,H5_SPARSE_OR_NONE,P1_P2RANK_FPOCKET_SAME_SITE,R2_DUAL_POCKET_CONTROL_ACQUISITION,3
