target_count,drug_cap,target_cap,cross_weight,chem_weight,solver_status,solver_message,mip_gap,candidates,drugs,integrated_priority,chemical_ge04,cross_area_pairs,exact_genetic_pairs,evidence_utility,objective_utility,legacy_low_priority,scenario,overlap_with_recommended
112,4,10,1.0,6.0,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,384,229,1,20,194,126,1573.75,1593.75,223,binding_emphasis,381
112,4,10,3.0,4.0,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,384,228,1,20,199,124,1925.5,1945.5,224,cross_area_emphasis,378
