target_chembl_id,gene_symbol,ligand_inchikey,ligand_smiles,drug_names,control_chembl_id,pair_id,selection_role,reference_endpoint_tier,reference_endpoint_category,reference_standard_types,reference_assay_ids,reference_doc_ids,mean_pchembl_mixed_endpoints,reused_original_control,release_status
CHEMBL1908,CYP11B1,XMAYWYJOQHXEEK-UHFFFAOYSA-N,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,KETOCONAZOLE,CHEMBL157101,XMAYWYJOQHXEEK-UHFFFAOYSA-N__CHEMBL1908,REFERENCE_CONTROL_EXTRA_TO_384,2,FUNCTIONAL_OR_OTHER_ONLY,IC50,"321556,510194,1625604","30235,44174,101666",6.830000000000001,False,REFERENCE_PROPOSAL_SPR_APPLICABILITY_AND_PROCUREMENT_PENDING
CHEMBL1929,XDH,UBVZQGOVTLIHLH-UHFFFAOYSA-N,N#Cc1cc(-c2n[nH]c(-c3ccncc3)n2)ccn1,TOPIROXOSTAT,CHEMBL1078685,UBVZQGOVTLIHLH-UHFFFAOYSA-N__CHEMBL1929,REFERENCE_CONTROL_EXTRA_TO_384,1,Ki_NO_Kd_RECORD,"Ki,IC50","1977029,2625342","115887,136790",8.030000000000001,False,REFERENCE_PROPOSAL_SPR_APPLICABILITY_AND_PROCUREMENT_PENDING
CHEMBL1935,ALDH2,KQMVAGISDHMXJJ-UHFFFAOYSA-N,COc1cc(O)c2c(=O)c(-c3ccc(O)cc3)coc2c1,PRUNETIN,CHEMBL491174,KQMVAGISDHMXJJ-UHFFFAOYSA-N__CHEMBL1935,REFERENCE_CONTROL_EXTRA_TO_384,1,Ki_NO_Kd_RECORD,Ki,489763,43988,6.35,False,REFERENCE_PROPOSAL_SPR_APPLICABILITY_AND_PROCUREMENT_PENDING
CHEMBL1936,KIT,HKSZLNNOFSGOKW-FYTWVXJKSA-N,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,STAUROSPORINE,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N__CHEMBL1936,REFERENCE_CONTROL_EXTRA_TO_384,0,Kd_RECORD_PRESENT,"Kd,IC50","325101,341004,586333,586576,586577,586841,586968,1516564,1586012,1671229,1774217,1828451,2065567,2492433,2583123","30300,30897,48311,93482,99644,104767,108894,110936,119003,130585,131258",7.828,False,REFERENCE_PROPOSAL_SPR_APPLICABILITY_AND_PROCUREMENT_PENDING
CHEMBL1937,HDAC2,ABZSPJVXTTUFAA-UHFFFAOYSA-N,CC(=O)Nc1ccc(C(=O)Nc2cc(-c3cccs3)ccc2N)cc1,CHEMBL235842,CHEMBL235842,ABZSPJVXTTUFAA-UHFFFAOYSA-N__CHEMBL1937,REFERENCE_CONTROL_EXTRA_TO_384,0,Kd_RECORD_PRESENT,"IC50,Ki,Kd","451041,1591001,1591085,1784519,2315266,2315275,2379442","37159,99867,109291,126507,128423",7.808571428571428,False,REFERENCE_PROPOSAL_SPR_APPLICABILITY_AND_PROCUREMENT_PENDING
CHEMBL1944,MME,LVRLSYPNFFBYCZ-VGWMRTNUSA-N,O=C(N[C@H]1CCS[C@H]2CCC[C@@H](C(=O)O)N2C1=O)[C@@H](S)Cc1ccccc1,OMAPATRILAT,CHEMBL289556,LVRLSYPNFFBYCZ-VGWMRTNUSA-N__CHEMBL1944,REFERENCE_CONTROL_EXTRA_TO_384,1,Ki_NO_Kd_RECORD,"Ki,IC50","595725,1812412,2604014,2604015,2640861","49077,110542,136223,137193",8.68,True,REFERENCE_PROPOSAL_SPR_APPLICABILITY_AND_PROCUREMENT_PENDING
CHEMBL1947,THRB,AUYYCJSJGJYCDS-LBPRGKRZSA-N,N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,LIOTHYRONINE,CHEMBL1544,AUYYCJSJGJYCDS-LBPRGKRZSA-N__CHEMBL1947,REFERENCE_CONTROL_EXTRA_TO_384,0,Kd_RECORD_PRESENT,"Kd,IC50,Ki","210495,210502,321321,471201,493725,821529,1297825","4537,16535,30065,39006,45893,62157,77093",9.411428571428573,False,REFERENCE_PROPOSAL_SPR_APPLICABILITY_AND_PROCUREMENT_PENDING
CHEMBL1952,TYMS,HFEKDTCAMMOLQP-RRKCRQDMSA-N,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)cc1F,5-FLUORODEOXYURIDYLATE,CHEMBL886,HFEKDTCAMMOLQP-RRKCRQDMSA-N__CHEMBL1952,REFERENCE_CONTROL_EXTRA_TO_384,1,Ki_NO_Kd_RECORD,Ki,877089,66654,7.85,False,REFERENCE_PROPOSAL_SPR_APPLICABILITY_AND_PROCUREMENT_PENDING
CHEMBL1957,IGF1R,PKCDDUHJAFVJJB-VLZXCDOPSA-N,C[C@]1(O)C[C@@H](c2nc(-c3ccc4ccc(-c5ccccc5)nc4c3)c3c(N)nccn32)C1,LINSITINIB,CHEMBL1091644,PKCDDUHJAFVJJB-VLZXCDOPSA-N__CHEMBL1957,REFERENCE_CONTROL_EXTRA_TO_384,0,Kd_RECORD_PRESENT,"IC50,Kd","624978,972569,972570,1468956,1570070,1570071,1570072,1642915,2255268,2255460,2527284,2527312,2527319,2527456,2527471,2527472","50813,74298,91330,98852,103566,124767,124768,131045",7.586875,False,REFERENCE_PROPOSAL_SPR_APPLICABILITY_AND_PROCUREMENT_PENDING
CHEMBL1974,FLT3,HKSZLNNOFSGOKW-FYTWVXJKSA-N,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,STAUROSPORINE,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N__CHEMBL1974,REFERENCE_CONTROL_EXTRA_TO_384,0,Kd_RECORD_PRESENT,"Kd,IC50","325061,586328,586476,586572,586573,586965,1671227,1730336,1740135,1740157,1740158,1740159,1740160,1740161,1740162,1740163,1932573,2065472,2093688,2220407,2220408,2492432,2583218","30300,48311,104767,107047,107425,114527,119003,119936,123687,130585,131258",8.900434782608697,False,REFERENCE_PROPOSAL_SPR_APPLICABILITY_AND_PROCUREMENT_PENDING
CHEMBL1977,VDR,UBDHJEXXHMTARH-DRVSFAKCSA-N,CC[C@H](C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)CCNC(=S)Nc1ccc2c(c1)C(=O)OC21c2ccc(O)cc2Oc2cc(O)ccc21)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(N)=O,CHEMBL4066573,CHEMBL4066573,UBDHJEXXHMTARH-DRVSFAKCSA-N__CHEMBL1977,REFERENCE_CONTROL_EXTRA_TO_384,0,Kd_RECORD_PRESENT,Kd,1670790,104734,6.85,False,REFERENCE_PROPOSAL_SPR_APPLICABILITY_AND_PROCUREMENT_PENDING
CHEMBL1978,CYP19A1,YBBLVLTVTVSKRW-UHFFFAOYSA-N,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,ANASTROZOLE,CHEMBL1399,YBBLVLTVTVSKRW-UHFFFAOYSA-N__CHEMBL1978,REFERENCE_CONTROL_EXTRA_TO_384,1,Ki_NO_Kd_RECORD,"IC50,Ki","331744,430926,514373,612867,808290,808291,1584552","30617,35360,44065,49673,61351,99594",8.184285714285714,False,REFERENCE_PROPOSAL_SPR_APPLICABILITY_AND_PROCUREMENT_PENDING
CHEMBL1981,INSR,HKSZLNNOFSGOKW-FYTWVXJKSA-N,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,STAUROSPORINE,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N__CHEMBL1981,REFERENCE_CONTROL_EXTRA_TO_384,0,Kd_RECORD_PRESENT,"Kd,IC50","325104,586574,1586036,1730340,1828579,2517551,2583244","30300,48311,99644,107047,110936,131000,131258",7.491428571428571,False,REFERENCE_PROPOSAL_SPR_APPLICABILITY_AND_PROCUREMENT_PENDING
CHEMBL1993,DNMT1,YEBBNJGBFNBLTF-UHFFFAOYSA-N,O=C(O)C(Cn1c2ccc(Cl)cc2c2cc(Cl)cc(Cl)c21)N1C(=O)c2ccccc2C1=O,CHEMBL5592841,CHEMBL5592841,YEBBNJGBFNBLTF-UHFFFAOYSA-N__CHEMBL1993,REFERENCE_CONTROL_EXTRA_TO_384,0,Kd_RECORD_PRESENT,Kd,2476120,130046,6.8,False,REFERENCE_PROPOSAL_SPR_APPLICABILITY_AND_PROCUREMENT_PENDING
CHEMBL1994,NR3C2,PQSUYGKTWSAVDQ-ZVIOFETBSA-N,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@]2(C=O)[C@@H](C(=O)CO)CC[C@@H]12,ALDOSTERONE,CHEMBL273453,PQSUYGKTWSAVDQ-ZVIOFETBSA-N__CHEMBL1994,REFERENCE_CONTROL_EXTRA_TO_384,0,Kd_RECORD_PRESENT,"Kd,IC50","1658414,1791561","104297,109666",9.41,True,REFERENCE_PROPOSAL_SPR_APPLICABILITY_AND_PROCUREMENT_PENDING
CHEMBL2007,PDGFRA,HKSZLNNOFSGOKW-FYTWVXJKSA-N,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,STAUROSPORINE,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N__CHEMBL2007,REFERENCE_CONTROL_EXTRA_TO_384,0,Kd_RECORD_PRESENT,"Kd,IC50","586993,1586047,1671230,1730353,1828675,2460197","48311,99644,104767,107047,110936,129616",9.0,False,REFERENCE_PROPOSAL_SPR_APPLICABILITY_AND_PROCUREMENT_PENDING
