target_chembl_id,gene_symbol,assay_lane,candidates,drugs,cross_area,chemical_ge04,priority,proposed_reference,reference_endpoint_category,construct_status
CHEMBL1935,ALDH2,ENZYME_BIOCHEMICAL,2,2,1,0,0,PRUNETIN,Ki_NO_Kd_RECORD,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL1936,KIT,KINASE_BIOCHEMICAL,1,1,0,0,0,STAUROSPORINE,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL1937,HDAC2,NUCLEAR_EPIGENETIC_DOMAIN,3,3,0,3,0,CHEMBL235842,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL1944,MME,ENZYME_BIOCHEMICAL,10,10,7,1,0,OMAPATRILAT,Ki_NO_Kd_RECORD,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL1947,THRB,NUCLEAR_EPIGENETIC_DOMAIN,2,2,0,0,0,LIOTHYRONINE,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL1952,TYMS,ENZYME_BIOCHEMICAL,3,3,2,0,0,5-FLUORODEOXYURIDYLATE,Ki_NO_Kd_RECORD,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL1957,IGF1R,KINASE_BIOCHEMICAL,1,1,1,0,0,LINSITINIB,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL1974,FLT3,KINASE_BIOCHEMICAL,5,5,3,0,0,STAUROSPORINE,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL1977,VDR,NUCLEAR_EPIGENETIC_DOMAIN,2,2,2,0,0,CHEMBL4066573,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL1978,CYP19A1,ENZYME_BIOCHEMICAL,2,2,2,0,0,ANASTROZOLE,Ki_NO_Kd_RECORD,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL1981,INSR,KINASE_BIOCHEMICAL,1,1,1,0,0,STAUROSPORINE,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL1993,DNMT1,NUCLEAR_EPIGENETIC_DOMAIN,1,1,0,0,0,CHEMBL5592841,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL1994,NR3C2,NUCLEAR_EPIGENETIC_DOMAIN,10,10,5,1,0,ALDOSTERONE,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL2007,PDGFRA,KINASE_BIOCHEMICAL,3,3,2,0,0,STAUROSPORINE,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL2008,RARB,NUCLEAR_EPIGENETIC_DOMAIN,2,2,0,0,0,TRETINOIN,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL202,DHFR,ENZYME_BIOCHEMICAL,7,7,1,0,0,CHEMBL310759,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL2023,COMT,ENZYME_BIOCHEMICAL,3,3,0,0,0,CHEMBL5653589,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL2034,NR3C1,NUCLEAR_EPIGENETIC_DOMAIN,4,4,2,0,0,PREDNISONE,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL2039,MAOB,ENZYME_BIOCHEMICAL,7,7,1,2,0,LAZABEMIDE,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL2041,RET,KINASE_BIOCHEMICAL,2,2,0,0,0,STAUROSPORINE,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL205,CA2,ENZYME_BIOCHEMICAL,6,6,4,1,0,DORZOLAMIDE,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL206,ESR1,NUCLEAR_EPIGENETIC_DOMAIN,3,3,1,0,0,CHEMBL377849,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL2063,UGCG,ENZYME_BIOCHEMICAL,5,5,0,0,0,ELIGLUSTAT,FUNCTIONAL_OR_OTHER_ONLY,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL2073,YES1,KINASE_BIOCHEMICAL,1,1,1,0,0,STAUROSPORINE,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL208,PGR,NUCLEAR_EPIGENETIC_DOMAIN,2,2,2,0,0,CHEMBL2311103,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL2085,MIF,ENZYME_BIOCHEMICAL,2,2,1,0,0,BTZO-1,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL2148,JAK3,KINASE_BIOCHEMICAL,3,3,2,0,0,STAUROSPORINE,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL215,ALOX5,ENZYME_BIOCHEMICAL,2,2,0,0,0,CHEMBL3113617,Ki_NO_Kd_RECORD,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL2179,GBA1,ENZYME_BIOCHEMICAL,2,2,2,0,0,CHEMBL5951426,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL2189110,EZH2,NUCLEAR_EPIGENETIC_DOMAIN,3,3,2,0,0,GSK2816126,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL220,ACHE,ENZYME_BIOCHEMICAL,5,5,1,0,0,HUPERZINE A,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL2208,MAPKAPK2,KINASE_BIOCHEMICAL,1,1,0,0,0,STAUROSPORINE,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL2243,FAAH,ENZYME_BIOCHEMICAL,10,10,5,0,0,MK-3168,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL2252,CTSC,ENZYME_BIOCHEMICAL,8,8,3,0,0,BRENSOCATIB,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL2276,MAPK8,KINASE_BIOCHEMICAL,4,4,4,0,0,STAUROSPORINE,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL2292,DYRK1A,KINASE_BIOCHEMICAL,1,1,0,0,0,HARMINE,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL2326,CA7,ENZYME_BIOCHEMICAL,10,10,10,0,0,ETHOXZOLAMIDE,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL235,PPARG,NUCLEAR_EPIGENETIC_DOMAIN,4,4,3,0,0,REVERSE TRIIODOTHYRONINE,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL241,PDE3A,ENZYME_BIOCHEMICAL,1,1,1,0,0,CHEMBL4247714,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL242,ESR2,NUCLEAR_EPIGENETIC_DOMAIN,2,2,1,0,0,CHEMBL475278,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL2527,CHEK2,KINASE_BIOCHEMICAL,1,1,1,0,0,CHEMBL4465866,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL258,LCK,KINASE_BIOCHEMICAL,4,4,2,0,0,DASATINIB ANHYDROUS,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL261,CA1,ENZYME_BIOCHEMICAL,4,4,4,1,0,ETHOXZOLAMIDE,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL262,GSK3B,KINASE_BIOCHEMICAL,4,4,0,0,0,STAUROSPORINE,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL267,SRC,KINASE_BIOCHEMICAL,1,1,1,0,0,DASATINIB ANHYDROUS,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL2695,PTK2,KINASE_BIOCHEMICAL,2,2,1,0,0,STAUROSPORINE,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL2722,CYP11B2,ENZYME_BIOCHEMICAL,7,7,1,0,0,OSILODROSTAT,FUNCTIONAL_OR_OTHER_ONLY,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL279,KDR,KINASE_BIOCHEMICAL,2,2,1,0,0,LINIFANIB,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL2815,NTRK1,KINASE_BIOCHEMICAL,2,2,0,1,0,STAUROSPORINE,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL2821,F12,ENZYME_BIOCHEMICAL,2,2,2,0,0,SEPIMOSTAT,Ki_NO_Kd_RECORD,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL283,MMP3,ENZYME_BIOCHEMICAL,2,2,1,0,0,ILOMASTAT,Ki_NO_Kd_RECORD,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL2835,JAK1,KINASE_BIOCHEMICAL,1,1,1,0,0,CRAVACITINIB,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL284,DPP4,ENZYME_BIOCHEMICAL,3,3,3,0,0,LINAGLIPTIN,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL2850,GSK3A,KINASE_BIOCHEMICAL,5,5,0,0,0,ABEMACICLIB,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL286,REN,ENZYME_BIOCHEMICAL,10,10,7,1,0,REMIKIREN,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL288,PDE4D,ENZYME_BIOCHEMICAL,3,3,1,0,0,ROLIPRAM,Ki_NO_Kd_RECORD,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL2971,JAK2,KINASE_BIOCHEMICAL,3,3,3,0,0,RUXOLITINIB,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL2973,ROCK2,KINASE_BIOCHEMICAL,2,2,2,0,0,Y-39983,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL3045,PRKCB,KINASE_BIOCHEMICAL,6,6,0,0,0,ENZASTAURIN,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL3116,CDK9,KINASE_BIOCHEMICAL,2,2,1,0,0,DINACICLIB,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL3145,PIK3CB,ENZYME_BIOCHEMICAL,1,1,0,0,0,PICTILISIB,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL3234,HCK,KINASE_BIOCHEMICAL,2,2,1,0,0,STAUROSPORINE,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL3242,CA12,ENZYME_BIOCHEMICAL,2,2,0,0,0,INDAPAMIDE,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL325,HDAC1,NUCLEAR_EPIGENETIC_DOMAIN,3,3,1,1,0,TRICHOSTATIN,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL3267,PIK3CG,ENZYME_BIOCHEMICAL,1,1,1,0,0,PICTILISIB,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL3310,HDAC11,NUCLEAR_EPIGENETIC_DOMAIN,9,9,1,3,0,PANOBINOSTAT,Ki_NO_Kd_RECORD,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL3439,ENPEP,ENZYME_BIOCHEMICAL,1,1,1,0,0,CHEMBL4217064,Ki_NO_Kd_RECORD,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL3522,CYP17A1,ENZYME_BIOCHEMICAL,3,3,2,0,0,BIFONAZOLE,Ki_NO_Kd_RECORD,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL3535,PDE9A,ENZYME_BIOCHEMICAL,9,9,2,0,0,CHEMBL5810180,Ki_NO_Kd_RECORD,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL3553,TYK2,KINASE_BIOCHEMICAL,3,3,2,0,0,STAUROSPORINE,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL3717,MET,KINASE_BIOCHEMICAL,2,2,1,0,0,TEPOTINIB,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL3729,CA4,ENZYME_BIOCHEMICAL,10,10,7,1,0,ACETAZOLAMIDE,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL3922,METAP2,ENZYME_BIOCHEMICAL,1,1,1,0,0,WM-1119,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL3972,GART,ENZYME_BIOCHEMICAL,1,1,0,1,0,CHEMBL5653589,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL3979,PPARD,NUCLEAR_EPIGENETIC_DOMAIN,1,1,0,0,0,CHEMBL38508,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL3991,F7,ENZYME_BIOCHEMICAL,4,4,2,2,0,CHEMBL3127491,Ki_NO_Kd_RECORD,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL4005,PIK3CA,ENZYME_BIOCHEMICAL,4,4,1,0,0,WORTMANNIN,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL402,HMGCR,ENZYME_BIOCHEMICAL,4,4,2,0,0,ATORVASTATIN,Ki_NO_Kd_RECORD,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL4073,MMP7,ENZYME_BIOCHEMICAL,4,4,1,0,0,PRINOMASTAT,Ki_NO_Kd_RECORD,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL4142,FGFR2,KINASE_BIOCHEMICAL,2,2,2,0,0,FEXAGRATINIB,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL4179,MAPK9,KINASE_BIOCHEMICAL,3,3,3,0,0,TANZISERTIB,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL4245,ESRRG,NUCLEAR_EPIGENETIC_DOMAIN,2,2,0,0,0,BISPHENOL A,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL4247,ALK,KINASE_BIOCHEMICAL,2,2,1,0,0,STAUROSPORINE,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL4282,AKT1,KINASE_BIOCHEMICAL,2,2,1,0,0,IPATASERTIB,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL4393,MMP12,ENZYME_BIOCHEMICAL,7,7,4,0,0,CHEMBL2385479,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL4409,PDE10A,ENZYME_BIOCHEMICAL,1,1,1,0,0,CHEMBL248380,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL4481,NOS2,ENZYME_BIOCHEMICAL,1,1,0,0,0,1400W,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL4523510,CYP46A1,ENZYME_BIOCHEMICAL,6,6,0,0,0,VORICONAZOLE,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL4588,MMP8,ENZYME_BIOCHEMICAL,5,5,2,0,0,CIPEMASTAT,Ki_NO_Kd_RECORD,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL4791,ECE1,ENZYME_BIOCHEMICAL,1,1,1,0,0,CHEMBL571153,Ki_NO_Kd_RECORD,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL4816,AKT3,KINASE_BIOCHEMICAL,1,1,0,0,0,STAUROSPORINE,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL4895,AXL,KINASE_BIOCHEMICAL,1,1,0,0,0,STAUROSPORINE,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL4898,NTRK2,KINASE_BIOCHEMICAL,5,5,2,0,0,STAUROSPORINE,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL5141,CYP26A1,ENZYME_BIOCHEMICAL,4,4,4,0,0,TALAROZOLE,FUNCTIONAL_OR_OTHER_ONLY,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL5145,BRAF,KINASE_BIOCHEMICAL,3,3,0,0,0,SB590885,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL5216,UMPS,ENZYME_BIOCHEMICAL,1,1,0,0,0,CHEMBL5653589,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL5311,ACVRL1,KINASE_BIOCHEMICAL,1,1,1,0,0,AT-9283,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL5366,PARP2,ENZYME_BIOCHEMICAL,6,6,1,0,0,TALAZOPARIB,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL5608,NTRK3,KINASE_BIOCHEMICAL,5,5,3,0,0,STAUROSPORINE,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL5705,EGLN3,ENZYME_BIOCHEMICAL,6,6,6,0,0,CHEMBL3133890,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
