target_chembl_id,gene_symbol,assay_lane,candidates,drugs,cross_area,chemical_ge04,priority,proposed_reference,reference_endpoint_category,construct_status
CHEMBL1782,FDPS,ENZYME_BIOCHEMICAL,1,1,0,0,0,METHYL CARNOSATE,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL1808,ACE,ENZYME_BIOCHEMICAL,7,7,4,0,0,LISINOPRIL ANHYDROUS,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL1824,ERBB2,KINASE_BIOCHEMICAL,2,2,2,0,0,IBRUTINIB,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL1827,PDE5A,ENZYME_BIOCHEMICAL,2,2,1,0,0,CHEMBL2180945,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL1841,FYN,KINASE_BIOCHEMICAL,1,1,1,0,0,DASATINIB ANHYDROUS,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL1844,CSF1R,KINASE_BIOCHEMICAL,3,3,1,0,0,DASATINIB ANHYDROUS,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL1862,ABL1,KINASE_BIOCHEMICAL,1,1,0,0,0,PONATINIB,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL1868,FLT1,KINASE_BIOCHEMICAL,2,2,2,0,0,STAUROSPORINE,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL1871,AR,NUCLEAR_EPIGENETIC_DOMAIN,7,7,7,1,1,TESTOSTERONE,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL1902,FKBP1A,ENZYME_BIOCHEMICAL,10,10,10,0,0,SIROLIMUS,Kd_RECORD_PRESENT,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL1908,CYP11B1,ENZYME_BIOCHEMICAL,3,3,1,0,0,KETOCONAZOLE,FUNCTIONAL_OR_OTHER_ONLY,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
CHEMBL1929,XDH,ENZYME_BIOCHEMICAL,3,3,3,0,0,TOPIROXOSTAT,Ki_NO_Kd_RECORD,LAB_BOUNDARIES_ISOFORM_ACTIVITY_AND_PROCUREMENT_CONFIRMATION_PENDING
