pair_id,drug_names,gene_symbol,raw_activity_rows,raw_high_confidence_direct_target_annotation,novelty_reaudit_status
RLAWWYSOJDYHDC-BZSNNMDCSA-N__CHEMBL204,lisinopril,F2,1,False,PRIOR_ACTIVITY_PRESENT_NOT_NEW_UNTESTED_PAIR
HHZIURLSWUIHRB-UHFFFAOYSA-N__CHEMBL2007625,nilotinib,IDH1,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
KGFYHTZWPPHNLQ-AWEZNQCLSA-N__CHEMBL204,rivaroxaban,F2,6,True,PRIOR_ACTIVITY_PRESENT_NOT_NEW_UNTESTED_PAIR
ZBMZVLHSJCTVON-UHFFFAOYSA-N__CHEMBL1994,sotalol,NR3C2,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
FNKQXYHWGSIFBK-RPDRRWSUSA-N__CHEMBL5443,sapropterin,CDC7,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
XRVDGNKRPOAQTN-FQEVSTJZSA-N__CHEMBL1929,ozanimod,XDH,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
XFALPSLJIHVRKE-GFCCVEGCSA-N__CHEMBL4898,tedizolid,NTRK2,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
LCQLHJZYVOQKHU-VKHMYHEASA-N__CHEMBL4393,carglumic acid,MMP12,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
BSYNRYMUTXBXSQ-UHFFFAOYSA-N__CHEMBL1856,aspirin,SRD5A2,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
HYHMLYSLQUKXKP-UHFFFAOYSA-N__CHEMBL283,bempedoic acid,MMP3,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
GDLBFKVLRPITMI-UHFFFAOYSA-N__CHEMBL1844,diazoxide,CSF1R,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
PBAPPPCECJKMCM-IBGZPJMESA-N__CHEMBL1856,mirabegron,SRD5A2,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
LIOLIMKSCNQPLV-UHFFFAOYSA-N__CHEMBL2189110,capmatinib,EZH2,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
IMOZEMNVLZVGJZ-QGZVFWFLSA-N__CHEMBL2034,apremilast,NR3C1,2,False,PRIOR_ACTIVITY_PRESENT_NOT_NEW_UNTESTED_PAIR
QNZCBYKSOIHPEH-UHFFFAOYSA-N__CHEMBL1974,apixaban,FLT3,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
HYHMLYSLQUKXKP-UHFFFAOYSA-N__CHEMBL402,bempedoic acid,HMGCR,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
RKUNBYITZUJHSG-SPUOUPEWSA-N__CHEMBL1856,atropine,SRD5A2,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
WMDSZGFJQKSLLH-RBBKRZOGSA-N__CHEMBL5141,landiolol,CYP26A1,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
AYXYPKUFHZROOJ-ZETCQYMHSA-N__CHEMBL1944,pregabalin,MME,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
BFSMGDJOXZAERB-UHFFFAOYSA-N__CHEMBL4005,dabrafenib,PIK3CA,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
XKLMZUWKNUAPSZ-UHFFFAOYSA-N__CHEMBL1957,ranolazine,IGF1R,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
JBKPUQTUERUYQE-UHFFFAOYSA-O__CHEMBL206,pralidoxime,ESR1,3,False,PRIOR_ACTIVITY_PRESENT_NOT_NEW_UNTESTED_PAIR
UCTWMZQNUQWSLP-VIFPVBQESA-N__CHEMBL206,epinephrine,ESR1,4,False,PRIOR_ACTIVITY_PRESENT_NOT_NEW_UNTESTED_PAIR
KVWDHTXUZHCGIO-UHFFFAOYSA-N__CHEMBL2292,olanzapine,DYRK1A,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
WCWSTNLSLKSJPK-LKFCYVNXSA-N__CHEMBL1935,cabotegravir,ALDH2,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
UIAGMCDKSXEBJQ-UHFFFAOYSA-N__CHEMBL3991,nimodipine,F7,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
QTGIAADRBBLJGA-UHFFFAOYSA-N__CHEMBL1929,articaine,XDH,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
YASAKCUCGLMORW-UHFFFAOYSA-N__CHEMBL1856,rosiglitazone,SRD5A2,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
SFNSLLSYNZWZQG-VQIMIIECSA-N__CHEMBL1936,glasdegib,KIT,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
WGFOBBZOWHGYQH-MXHNKVEKSA-N__CHEMBL1871,lubiprostone,AR,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
DCOPUUMXTXDBNB-UHFFFAOYSA-N__CHEMBL1856,diclofenac,SRD5A2,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
UPNUIXSCZBYVBB-JVFUWBCBSA-N__CHEMBL5705,alvimopan,EGLN3,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
DEVSOMFAQLZNKR-RJRFIUFISA-N__CHEMBL5145,selinexor,BRAF,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
UCJGJABZCDBEDK-UHFFFAOYSA-N__CHEMBL2041,bazedoxifene,RET,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
STUWGJZDJHPWGZ-LBPRGKRZSA-N__CHEMBL284,alpelisib,DPP4,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
MOTJMGVDPWRKOC-QPVYNBJUSA-N__CHEMBL5705,atrasentan,EGLN3,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
HSUGRBWQSSZJOP-RTWAWAEBSA-N__CHEMBL4393,diltiazem,MMP12,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
XXSMGPRMXLTPCZ-UHFFFAOYSA-N__CHEMBL3553,hydroxychloroquine,TYK2,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
