drug_names,pair_count,http_status,returned_records,total_api_matches,eligible_single_drug_label_count,unique_eligible_indication_texts,combination_records,indications_text,source_urls,all_eligible_set_ids,label_status,api_last_updated
3-iodobenzylguanidine,1,404,0,0,0,0,0,,,,NO_USABLE_SINGLE_DRUG_LABEL,
afatinib,2,200,2,2,2,2,0,"1 INDICATIONS AND USAGE Afatinib tablets are a kinase inhibitor indicated for: • First-line treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have non-resistant epidermal growth factor receptor (EGFR) mutations as detected by an FDA-approved test ( 1.1 ) Limitations of Use : Safety and efficacy of afatinib tablets were not established in patients whose tumors have resistant EGFR mutations ( 1.1 ) • Treatment of patients with metastatic, squamous NSCLC progressing after platinum-based chemotherapy ( 1.2 ) 1.1 EGFR Mutation-Positive, Metastatic Non-Small Cell Lung Cancer Afatinib tablets are indicated for the first-line treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have non-resistant epidermal growth factor receptor (EGFR) exon 19 deletions or exon 21 (L858R) substitution mutations as detected by an FDA-approved test [see Dosage and Administration (2.1), Clinical Pharmacology (12.1), Clinical Studies (14.1)]. Limitations of Use : The safety and efficacy of afatinib tablets have not been established in patients whose tumors have resistant EGFR mutations [ see Clinical Studies (14.1)] . 1.2 Previously Treated, Metastatic Squamous NSCLC Afatinib tablets are indicated for the treatment of patients with metastatic squamous NSCLC progressing after platinum-based chemotherapy.

[LABEL]
1 INDICATIONS AND USAGE GILOTRIF is a kinase inhibitor indicated for: First-line treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have non-resistant epidermal growth factor receptor (EGFR) mutations as detected by an FDA-approved test ( 1.1 ) Limitations of Use : Safety and efficacy of GILOTRIF were not established in patients whose tumors have resistant EGFR mutations ( 1.1 ) Treatment of patients with metastatic, squamous NSCLC progressing after platinum-based chemotherapy ( 1.2 ) 1.1 EGFR Mutation-Positive, Metastatic Non-Small Cell Lung Cancer GILOTRIF is indicated for the first-line treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have non-resistant epidermal growth factor receptor (EGFR) mutations as detected by an FDA-approved test [see Dosage and Administration (2.1) , Clinical Pharmacology (12.1) , Clinical Studies (14.1) ]. Limitations of Use : The safety and efficacy of GILOTRIF have not been established in patients whose tumors have resistant EGFR mutations [see Clinical Studies (14.1) ]. 1.2 Previously Treated, Metastatic Squamous NSCLC GILOTRIF is indicated for the treatment of patients with metastatic squamous NSCLC progressing after platinum-based chemotherapy .",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ec5b9e00-3eab-4dbd-9bb3-75865b1af485;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=fd638e5e-8032-e7ca-0179-95e96ab5d387,ec5b9e00-3eab-4dbd-9bb3-75865b1af485;fd638e5e-8032-e7ca-0179-95e96ab5d387,FDA_SINGLE_DRUG_LABEL_FOUND,2026-09-08
alprazolam,1,200,30,79,30,9,0,"1 INDICATIONS AND USAGE Alprazolam tablets are indicated for the: acute treatment of generalized anxiety disorder (GAD) in adults. treatment of panic disorder (PD), with or without agoraphobia in adults. Alprazolam tablets are a benzodiazepine indicated for the: Acute treatment of generalized anxiety disorder in adults. ( 1 ) Treatment of panic disorder with or without agoraphobia in adults. ( 1 )

[LABEL]
1 INDICATIONS AND USAGE Alprazolam tablets are indicated for the: acute treatment of generalized anxiety disorder (GAD) in adults. treatment of panic disorder (PD), with or without agoraphobia in adults. Alprazolam is a benzodiazepine indicated for the: Acute treatment of generalized anxiety disorder in adults. ( 1 ) Treatment of panic disorder with or without agoraphobia in adults. ( 1 )

[LABEL]
1 INDICATIONS AND USAGE Alprazolam extended-release tablets are indicated for the treatment of panic disorder with or without agoraphobia, in adults. Alprazolam extended-release tablets are a benzodiazepine indicated for the treatment of panic disorder with or without agoraphobia, in adults. ( 1 )

[LABEL]
1 INDICATIONS AND USAGE Alprazolam orally disintegrating tablets are a benzodiazepine indicated for: The treatment of generalized anxiety disorder ( 1.1 ). The efficacy of alprazolam was demonstrated in 5 short-term, placebo-controlled trials ( 14 ). The treatment of panic disorder, with or without agoraphobia ( 1.2 ). The efficacy of alprazolam in the treatment of panic disorder was established in 2 short-term, placebo-controlled trials ( 14 ). 1.1 Generalized Anxiety Disorder Alprazolam orally disintegrating tablets, USP are indicated for the treatment of generalized anxiety disorder. The efficacy of alprazolam in the treatment of generalized anxiety disorder was demonstrated in 5 short-term, placebo-controlled trials [see Clinical Studies ( 14.1 )] . 1.2 Panic Disorder Alprazolam orally disintegrating tablets, USP are also indicated for the treatment of panic disorder, with or without agoraphobia. The efficacy of alprazolam in the treatment of panic disorder was established in 2 short-term, placebo-controlled trials [see Clinical Studies ( 14.2 )] . Demonstrations of the effectiveness of alprazolam by systematic clinical study are limited to 4 months in duration for generalized anxiety disorder and 4 to 10 weeks duration for panic disorder; however, patients with panic disorder have been treated on an open basis for up to 8 months without apparent loss of benefit. The physician should periodically reassess the usefulness of the drug for the individual patient.",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=563e09db-2f3d-4ce8-b356-ae44477be6d0;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0cf8b567-201b-44fa-8fd3-c74023aff44f;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=aaab422d-c763-4352-8ffc-5aafdf91e8dd;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ff1630b4-2044-433c-96bc-0bb4ae8d42a0,563e09db-2f3d-4ce8-b356-ae44477be6d0;0cf8b567-201b-44fa-8fd3-c74023aff44f;aaab422d-c763-4352-8ffc-5aafdf91e8dd;ff1630b4-2044-433c-96bc-0bb4ae8d42a0;3cf95203-c8b4-9f06-e063-6394a90abc9c;f6dd8005-1d50-41bc-e053-6394a90ac45b;c6795ed8-af28-41f4-b85b-48e1fe9d0369;b3c55877-2538-4892-bdb1-d618c643d29c;3c0cb60f-1c3a-48a6-ad16-f14351548412,FDA_SINGLE_DRUG_LABEL_FOUND,2026-09-08
amisulpride,1,200,1,1,1,1,0,"1 INDICATIONS AND USAGE BARHEMSYS ® is indicated in adults for: prevention of postoperative nausea and vomiting (PONV), either alone or in combination with an antiemetic of a different class. treatment of PONV in patients who have received antiemetic prophylaxis with an agent of a different class or have not received prophylaxis. BARHEMSYS is a dopamine-2 (D 2 ) antagonist indicated in adults for: Prevention of postoperative nausea and vomiting (PONV), either alone or in combination with an antiemetic of a different class. ( 1 ) Treatment of PONV in patients who have received antiemetic prophylaxis with an agent of a different class or have not received prophylaxis. ( 1 )",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ab23bc6e-b6a8-165f-e053-2a95a90ab144,ab23bc6e-b6a8-165f-e053-2a95a90ab144,FDA_SINGLE_DRUG_LABEL_FOUND,2026-09-08
apalutamide,2,200,1,1,1,1,0,1 INDICATIONS AND USAGE ERLEADA is indicated for the treatment of patients with Metastatic castration-sensitive prostate cancer (mCSPC) Non-metastatic castration-resistant prostate cancer (nmCRPC) ERLEADA is an androgen receptor inhibitor indicated for the treatment of patients with metastatic castration-sensitive prostate cancer. ( 1 ) non-metastatic castration-resistant prostate cancer. ( 1 ),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d1cda4f7-cb33-46ea-b9ac-431f6452b1a5,d1cda4f7-cb33-46ea-b9ac-431f6452b1a5,FDA_SINGLE_DRUG_LABEL_FOUND,2026-09-08
apremilast,2,200,1,1,1,1,0,"1 INDICATIONS AND USAGE OTEZLA/OTEZLA XR, an inhibitor of phosphodiesterase 4 (PDE4), is indicated for the treatment of: Adult patients with: Active psoriatic arthritis ( 1.1 ) Plaque psoriasis who are candidates for phototherapy or systemic therapy ( 1.2 ) Oral ulcers associated with Behçet's Disease ( 1.3 ) Pediatric patients 6 years of age and older with: Active psoriatic arthritis ( 1.1 ) Moderate to severe plaque psoriasis who are candidates for phototherapy or systemic therapy ( 1.2 ) In the pediatric population, OTEZLA is indicated for patients weighing at least 20 kg, and OTEZLA XR is indicated for patients weighing at least 50 kg. 1.1 Psoriatic Arthritis OTEZLA is indicated for the treatment of adult patients and pediatric patients 6 years of age and older and weighing at least 20 kg with active psoriatic arthritis. OTEZLA XR is indicated for the treatment of adult patients and pediatric patients 6 years of age and older and weighing at least 50 kg with active psoriatic arthritis. 1.2 Plaque Psoriasis OTEZLA/OTEZLA XR is indicated for the treatment of adult patients with plaque psoriasis who are candidates for phototherapy or systemic therapy. OTEZLA is indicated for the treatment of pediatric patients 6 years of age and older and weighing at least 20 kg with moderate to severe plaque psoriasis who are candidates for phototherapy or systemic therapy. OTEZLA XR is indicated for the treatment of pediatric patients 6 years of age and older and weighing at least 50 kg with moderate to severe plaque psoriasis who are candidates for phototherapy or systemic therapy. 1.3 Oral Ulcers Associated with Behçet's Disease OTEZLA/OTEZLA XR is indicated for the treatment of adult patients with oral ulcers associated with Behçet's Disease.",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f6b1f516-4972-4d82-bced-113e47b41cc5,f6b1f516-4972-4d82-bced-113e47b41cc5,FDA_SINGLE_DRUG_LABEL_FOUND,2026-09-08
aripiprazole;aripiprazole lauroxil,4,400,0,0,0,0,0,,,,NO_USABLE_SINGLE_DRUG_LABEL,
asenapine,3,200,7,7,7,6,0,"1 INDICATIONS AND USAGE Asenapine sublingual tablet(s) is indicated for: Bipolar I disorder [see Clinical Studies ( 14.2 )] Adjunctive treatment to lithium or valproate in adults Asenapine is an atypical antipsychotic indicated for ( 1 ): Bipolar I disorder Adjunctive treatment to lithium or valproate in adults

[LABEL]
1 INDICATIONS AND USAGE Asenapine is indicated for: • Bipolar I disorder [see Clinical Studies (14.2)] • Acute monotherapy of manic or mixed episodes, in pediatric patients 10 to 17 years of age • Adjunctive treatment to lithium or valproate in adults Asenapine is an atypical antipsychotic indicated for ( 1 ): Bipolar I disorder o Acute monotherapy treatment of manic or mixed episodes, in pediatric patients 10 to 17 years of age o Adjunctive treatment to lithium or valproate in adults

[LABEL]
1 INDICATIONS AN D USAGE SAPHRIS is indicated for: Schizophrenia in adults [see Clinical Studies ( 14.1 )] Bipolar I disorder [see Clinical Studies ( 14.2 )] • Acute monotherapy of manic or mixed episodes, in adults and pediatric patients 10 to 17 years of age • Adjunctive treatment to lithium or valproate in adults • Maintenance monotherapy treatment in adults SAPHRIS is an atypical antipsychotic indicated for ( 1 ): Schizophrenia in adults Bipolar I disorder ○ Acute monotherapy treatment of manic or mixed episodes, in adults and pediatric patients 10 to 17 years of age ○ Adjunctive treatment to lithium or valproate in adults ○ Maintenance monotherapy treatment in adults

[LABEL]
1 INDICATIONS AND USAGE SECUADO is indicated for the treatment of adults with schizophrenia [ see Clinical Studies (14) ]. SECUADO is an atypical antipsychotic indicated for the treatment of adults with schizophrenia. ( 1 )",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3512687b-d1c7-45c4-8822-3a2ad53575a5;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=16e1cc9f-7699-49ea-b179-acb65e162304;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5429f134-839f-4ffc-9944-55f51238def8;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=685eaf44-5944-4f38-afba-0a4fc0b3462b,3512687b-d1c7-45c4-8822-3a2ad53575a5;16e1cc9f-7699-49ea-b179-acb65e162304;5429f134-839f-4ffc-9944-55f51238def8;685eaf44-5944-4f38-afba-0a4fc0b3462b;f5cd9abb-40e3-4cb5-a1b2-40cdba8a1c7e;cf587c48-9cd2-4dc5-b0e9-21783c5633a6,FDA_SINGLE_DRUG_LABEL_FOUND,2026-09-08
avanafil,3,200,1,1,1,1,0,1 INDICATIONS AND USAGE Avanafil tablets are a phosphodiesterase 5 (PDE5) inhibitor indicated for the treatment of erectile dysfunction in adult males. Avanafil tablet is a phosphodiesterase 5 (PDE5) inhibitor indicated for the treatment of erectile dysfunction ( 1 ),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1d04e17d-7399-430a-a8bb-fa1912b155e9,1d04e17d-7399-430a-a8bb-fa1912b155e9,FDA_SINGLE_DRUG_LABEL_FOUND,2026-09-08
balsalazide;mesalamine,2,400,0,0,0,0,0,,,,NO_USABLE_SINGLE_DRUG_LABEL,
