pair_id,drug_names,gene_symbol
CSKDFZIMJXRJGH-VWLPUNTISA-N__CHEMBL1871,tecovirimat,AR
BPQMGSKTAYIVFO-UHFFFAOYSA-N__CHEMBL2815,vismodegib,NTRK1
ZBMZVLHSJCTVON-UHFFFAOYSA-N__CHEMBL1994,sotalol,NR3C2
XFALPSLJIHVRKE-GFCCVEGCSA-N__CHEMBL4898,tedizolid,NTRK2
LCQLHJZYVOQKHU-VKHMYHEASA-N__CHEMBL4393,carglumic acid,MMP12
HYHMLYSLQUKXKP-UHFFFAOYSA-N__CHEMBL283,bempedoic acid,MMP3
GDLBFKVLRPITMI-UHFFFAOYSA-N__CHEMBL1844,diazoxide,CSF1R
LIOLIMKSCNQPLV-UHFFFAOYSA-N__CHEMBL2189110,capmatinib,EZH2
QNZCBYKSOIHPEH-UHFFFAOYSA-N__CHEMBL1974,apixaban,FLT3
HYHMLYSLQUKXKP-UHFFFAOYSA-N__CHEMBL402,bempedoic acid,HMGCR
WMDSZGFJQKSLLH-RBBKRZOGSA-N__CHEMBL5141,landiolol,CYP26A1
AYXYPKUFHZROOJ-ZETCQYMHSA-N__CHEMBL1944,pregabalin,MME
BFSMGDJOXZAERB-UHFFFAOYSA-N__CHEMBL4005,dabrafenib,PIK3CA
XKLMZUWKNUAPSZ-UHFFFAOYSA-N__CHEMBL1957,ranolazine,IGF1R
KVWDHTXUZHCGIO-UHFFFAOYSA-N__CHEMBL2292,olanzapine,DYRK1A
WCWSTNLSLKSJPK-LKFCYVNXSA-N__CHEMBL1935,cabotegravir,ALDH2
UIAGMCDKSXEBJQ-UHFFFAOYSA-N__CHEMBL3991,nimodipine,F7
QTGIAADRBBLJGA-UHFFFAOYSA-N__CHEMBL1929,articaine,XDH
SFNSLLSYNZWZQG-VQIMIIECSA-N__CHEMBL1936,glasdegib,KIT
WGFOBBZOWHGYQH-MXHNKVEKSA-N__CHEMBL1871,lubiprostone,AR
UPNUIXSCZBYVBB-JVFUWBCBSA-N__CHEMBL5705,alvimopan,EGLN3
DEVSOMFAQLZNKR-RJRFIUFISA-N__CHEMBL5145,selinexor,BRAF
UCJGJABZCDBEDK-UHFFFAOYSA-N__CHEMBL2041,bazedoxifene,RET
STUWGJZDJHPWGZ-LBPRGKRZSA-N__CHEMBL284,alpelisib,DPP4
MOTJMGVDPWRKOC-QPVYNBJUSA-N__CHEMBL5705,atrasentan,EGLN3
HSUGRBWQSSZJOP-RTWAWAEBSA-N__CHEMBL4393,diltiazem,MMP12
XXSMGPRMXLTPCZ-UHFFFAOYSA-N__CHEMBL3553,hydroxychloroquine,TYK2
XEDHVZKDSYZQBF-UHFFFAOYSA-N__CHEMBL1974,lasmiditan,FLT3
DOUYETYNHWVLEO-UHFFFAOYSA-N__CHEMBL1782,imiquimod,FDPS
PYGWGZALEOIKDF-UHFFFAOYSA-N__CHEMBL267,etravirine,SRC
JJVAPHYEOZSKJZ-JGCGQSQUSA-N__CHEMBL2695,zavegepant,PTK2
AYXYPKUFHZROOJ-ZETCQYMHSA-N__CHEMBL1808,pregabalin,ACE
JQSHBVHOMNKWFT-DTORHVGOSA-N__CHEMBL3535,varenicline,PDE9A
LWQQLNNNIPYSNX-UROSTWAQSA-N__CHEMBL5705,calcipotriene,EGLN3
GZUITABIAKMVPG-UHFFFAOYSA-N__CHEMBL2041,raloxifene,RET
WCWSTNLSLKSJPK-LKFCYVNXSA-N__CHEMBL235,cabotegravir,PPARG
MOTJMGVDPWRKOC-QPVYNBJUSA-N__CHEMBL1824,atrasentan,ERBB2
MQOBSOSZFYZQOK-UHFFFAOYSA-N__CHEMBL1978,choline fenofibrate;fenofibrate,CYP19A1
JJVAPHYEOZSKJZ-JGCGQSQUSA-N__CHEMBL1981,zavegepant,INSR
GGCSSNBKKAUURC-UHFFFAOYSA-N__CHEMBL2007,sufentanil,PDGFRA
VTRAEEWXHOVJFV-UHFFFAOYSA-N__CHEMBL5705,olmesartan,EGLN3
VCKUSRYTPJJLNI-UHFFFAOYSA-N__CHEMBL5608,terazosin,NTRK3
XEDHVZKDSYZQBF-UHFFFAOYSA-N__CHEMBL4898,lasmiditan,NTRK2
VGYFMXBACGZSIL-MCBHFWOFSA-N__CHEMBL4393,pitavastatin,MMP12
DYLUUSLLRIQKOE-UHFFFAOYSA-N__CHEMBL5145,enasidenib,BRAF
ZBMZVLHSJCTVON-UHFFFAOYSA-N__CHEMBL1935,sotalol,ALDH2
XRVDGNKRPOAQTN-FQEVSTJZSA-N__CHEMBL2189110,ozanimod,EZH2
VWVSBHGCDBMOOT-IIEHVVJPSA-N__CHEMBL3045,desoximetasone,PRKCB
RLAWWYSOJDYHDC-BZSNNMDCSA-N__CHEMBL1994,lisinopril,NR3C2
BPZSYCZIITTYBL-YJYMSZOUSA-N__CHEMBL4393,arformoterol,MMP12
UCJGJABZCDBEDK-UHFFFAOYSA-N__CHEMBL1947,bazedoxifene,THRB
KRNAOFGYEFKHPB-ANJVHQHFSA-N__CHEMBL2971,rimegepant,JAK2
ANGKOCUUWGHLCE-HKUYNNGSSA-N__CHEMBL5141,glycopyrronium,CYP26A1
QZZUEBNBZAPZLX-QFIPXVFZSA-N__CHEMBL2835,indacaterol,JAK1
JQSHBVHOMNKWFT-DTORHVGOSA-N__CHEMBL4245,varenicline,ESRRG
KBOPZPXVLCULAV-UHFFFAOYSA-N__CHEMBL1929,balsalazide;mesalamine,XDH
JUZYLCPPVHEVSV-LJQANCHMSA-N__CHEMBL1824,elvitegravir,ERBB2
ACRHBAYQBXXRTO-OAQYLSRUSA-N__CHEMBL4142,ivabradine,FGFR2
YBBLVLTVTVSKRW-UHFFFAOYSA-N__CHEMBL4247,anastrozole,ALK
DHSUYTOATWAVLW-WFVMDLQDSA-N__CHEMBL235,cilastatin,PPARG
ZBMZVLHSJCTVON-UHFFFAOYSA-N__CHEMBL5141,sotalol,CYP26A1
CEUORZQYGODEFX-UHFFFAOYSA-N__CHEMBL2695,aripiprazole;aripiprazole lauroxil,PTK2
