model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,0.9845436497484535,roc_auc,2.5039749145507812,40144.906145334244,0.0016324520111083984,0.3774597644805908,2,True,12
XGBoost,0.9834742612030369,roc_auc,0.19941115379333496,8334.304192781448,0.19941115379333496,8334.304192781448,1,True,8
LightGBMLarge,0.9829697181235292,roc_auc,0.7394649982452393,3533.9107546806335,0.7394649982452393,3533.9107546806335,1,True,10
LightGBM,0.9803737931186416,roc_auc,0.4215514659881592,2344.6595590114594,0.4215514659881592,2344.6595590114594,1,True,2
LightGBMXT,0.9785657331230312,roc_auc,0.427903413772583,2379.833260536194,0.427903413772583,2379.833260536194,1,True,1
NeuralNetTorch,0.9764401255188835,roc_auc,1.2361557483673096,26611.799028158188,1.2361557483673096,26611.799028158188,1,True,9
NeuralNetFastAI,0.9752752160451482,roc_auc,0.32731056213378906,1664.5147099494934,0.32731056213378906,1664.5147099494934,1,True,11
CatBoost,0.9722935356066578,roc_auc,0.05283832550048828,2609.4976160526276,0.05283832550048828,2609.4976160526276,1,True,5
RandomForestEntr,0.9712248589253863,roc_auc,0.21998214721679688,887.2824711799622,0.21998214721679688,887.2824711799622,1,True,4
RandomForestGini,0.9685759187749523,roc_auc,0.21889090538024902,939.7320210933685,0.21889090538024902,939.7320210933685,1,True,3
ExtraTreesEntr,0.9627283294878932,roc_auc,0.2334442138671875,216.19000697135925,0.2334442138671875,216.19000697135925,1,True,7
ExtraTreesGini,0.9616805403993018,roc_auc,0.22139573097229004,217.67273497581482,0.22139573097229004,217.67273497581482,1,True,6
