ligand_inchikey,ligand_smiles,drug_names,project_entity_ids,target_chembl_id,gene_symbol,assay_lane,pair_pocket_evidence_source,pocket_evidence_tier,conplex_score,conplex_rank_within_target,conplex_percentile_within_target,drugclip_cosine_mean,drugclip_rank_within_target,drugclip_percentile_within_target,receptor_protocol_status,redock_status,conplex_rank_within_ligand_384,conplex_percentile_within_ligand_384,drugclip_rank_within_ligand_382,drugclip_percentile_within_ligand_382,dta_bidirectional_top10pct_concordant_384,is_any_frozen_known_relationship,pair_novelty_class_384,target_route_family,unified_target_route,gnina_target_qualification,boltz_target_qualification,pairId,mainline_boltz_completed,mainline_gnina_completed,gnina_remote_model_required,boltz_remote_model_required,gnina_increment_required,boltz_increment_required,max_tanimoto_to_target_measured_positive,murcko_scaffold,measured_positive_reference_count,novelty_lane,dta_priority_score_384,incremental_queue_rank,incremental_target_rank,selection_reason,hard_gate_policy,planned_model_runs,primary_pose_row_index,primary_pose_cnn_score,primary_cnn_affinity,primary_pose_vina_affinity,best_vina_affinity,pose_count,vina_directional,cnn_negative_q90,cnn_negative_q95,cnn_positive_q25,cnn_positive_q50,vina_negative_q05,vina_negative_q10,vina_negative_q20,cnn_percentile_vs_development_positive,cnn_percentile_vs_development_negative,vina_percentile_vs_development_negative,gnina_remote_evidence_tier,gnina_remote_support,evidence_interpretation,pair_lane_priority,gnina_support,pair_evidence_lane,pair_evidence_lane_zh,unified_novelty_class,target_route,task_status
FWLMVFUGMHIOAA-UHFFFAOYSA-N,CNC(=O)c1ccc(Nc2ncc(C(F)(F)F)c(NCc3nccnc3N(C)S(C)(=O)=O)n2)cc1,defactinib,UNII:53O87HA2QU,CHEMBL331,CDK4,KINASE_BIOCHEMICAL,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,EXPERIMENTAL_HOLO,0.38762894,14.0,0.98191935,0.5175803,6.0,0.9930459,FROZEN_PASS,PASS,16.5,0.95953,4.0,0.992126,True,False,N1_UNRECORDED_IN_FROZEN_PROJECT_AND_CHEMBL37_MOA,EXPERIMENTAL_POCKET_MAINLINE,E1_DUAL_REMOTE_QUALIFIED,REMOTE_STRONG,BOLTZ_REMOTE_QUALIFIED,FWLMVFUGMHIOAA-UHFFFAOYSA-N__CHEMBL331,False,False,True,True,True,True,0.3625,c1ccc(Nc2nccc(NCc3cnccn3)n2)cc1,1167,N3_REMOTE,1.084206975,20,1,384-target rerank bidirectional top10%; E1/E2 remote-qualified target; N2/N3 versus measured positives; missing at least one remote-qualified physical model,active 384 only; GPCR and prior unsupported-class/no-small-molecule-MoA exclusions remain excluded,2,0,0.8972443938,8.1506319046,-8.99516,-10.35833,5,10.35833,8.0495142937,8.150489568725,7.410322308574999,7.63325428965,9.0838225,9.371285,9.5599,0.875,0.9375,0.6875,GNINA_REMOTE_A,True,Same-target frozen development-control tier; not a cross-target score or binder probability.,1,True,ADAPTIVE_GNINA_PRIMARY_SUPPORT,自适应队列GNINA主结构局部支持,N3_REMOTE,,READY_FOR_ALTERNATE_SELECTION
KTUFNOKKBVMGRW-UHFFFAOYSA-N,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,imatinib,UNII:BKJ8M8G5HI,CHEMBL4128,TEK,KINASE_BIOCHEMICAL,PREFERRED_DRUGLIKE_HOLO_EXPERIMENTAL_POCKET,EXPERIMENTAL_HOLO,0.50239676,6.0,0.9930459,0.40995112,6.0,0.9930459,FROZEN_PASS,PASS,11.0,0.97389036,6.0,0.98687667,True,False,N1_UNRECORDED_IN_FROZEN_PROJECT_AND_CHEMBL37_MOA,EXPERIMENTAL_POCKET_MAINLINE,E1_DUAL_REMOTE_QUALIFIED,REMOTE_STRONG,BOLTZ_REMOTE_QUALIFIED,KTUFNOKKBVMGRW-UHFFFAOYSA-N__CHEMBL4128,False,False,True,True,True,True,0.3707865168539326,O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1ccc(CN2CCNCC2)cc1,392,N3_REMOTE,1.0851724,18,1,384-target rerank bidirectional top10%; E1/E2 remote-qualified target; N2/N3 versus measured positives; missing at least one remote-qualified physical model,active 384 only; GPCR and prior unsupported-class/no-small-molecule-MoA exclusions remain excluded,2,0,0.8071389198,7.9809060097,-10.65607,-11.03827,5,11.03827,7.79541015625,7.8929028511,6.994271874424999,7.683523893349999,7.834385,8.032045,8.31722,0.6875,1.0,0.9375,GNINA_REMOTE_A,True,Same-target frozen development-control tier; not a cross-target score or binder probability.,1,True,ADAPTIVE_GNINA_PRIMARY_SUPPORT,自适应队列GNINA主结构局部支持,N3_REMOTE,,READY_FOR_ALTERNATE_SELECTION
