排序,原候选编号,小分子药物名称,新靶点名称,当前实验建议,pair_id,drugclip_common548x269_covered,A_consensus_drug_rank384,A_consensus_target_rank720,B_consensus_drug_rank384,B_consensus_target_rank720,dtiam_drug_rank384,dtiam_target_rank720,drugclip_drug_rank269,drugclip_target_rank548
54,C384-031,atrasentan,EGLN3 — Prolyl hydroxylase EGLN3,仍可探索,MOTJMGVDPWRKOC-QPVYNBJUSA-N__CHEMBL5705,True,53.0,590.0,107.0,651.0,10.0,495.0,142.0,279.0
55,C384-201,methocarbamol,CA4 — Carbonic anhydrase 4,仍可探索,GNXFOGHNGIVQEH-UHFFFAOYSA-N__CHEMBL3729,True,14.0,616.0,5.0,313.0,39.0,668.0,100.0,148.0
56,C384-204,avanafil,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,仍可探索,WEAJZXNPAWBCOA-INIZCTEOSA-N__CHEMBL1902,True,233.0,379.0,250.0,489.0,30.0,99.0,102.0,412.0
57,C384-205,indacaterol,JAK3 — Tyrosine-protein kinase JAK3,仍可探索,QZZUEBNBZAPZLX-QFIPXVFZSA-N__CHEMBL2148,False,347.0,598.0,363.0,570.0,248.0,113.0,,
58,C384-207,etravirine,MAPK9 — Mitogen-activated protein kinase 9,仍可探索,PYGWGZALEOIKDF-UHFFFAOYSA-N__CHEMBL4179,True,87.0,340.0,212.0,275.0,167.0,162.0,92.0,211.0
59,C384-132,diltiazem,MMP12 — Macrophage metalloelastase,仍可探索,HSUGRBWQSSZJOP-RTWAWAEBSA-N__CHEMBL4393,False,27.0,142.0,39.0,245.0,80.0,316.0,,
60,C384-313,ozanimod,"PDE4D — 3',5'-cyclic-AMP phosphodiesterase 4D",仍可探索,XRVDGNKRPOAQTN-FQEVSTJZSA-N__CHEMBL288,True,237.0,297.0,13.0,37.0,179.0,56.0,154.0,283.0
61,C384-314,furosemide,REN — Renin,仍可探索,ZZUFCTLCJUWOSV-UHFFFAOYSA-N__CHEMBL286,True,21.0,263.0,206.0,674.0,280.0,541.0,144.0,193.0
62,C384-322,guanfacine,GSK3A — Glycogen synthase kinase-3 alpha,仍可探索,INJOMKTZOLKMBF-UHFFFAOYSA-N__CHEMBL2850,True,204.0,215.0,314.0,520.0,20.0,334.0,235.0,478.0
63,C384-010,lasmiditan,FLT3 — Receptor-type tyrosine-protein kinase FLT3,仍可探索,XEDHVZKDSYZQBF-UHFFFAOYSA-N__CHEMBL1974,True,65.0,454.0,125.0,479.0,125.0,138.0,146.0,318.0
64,C384-033,pregabalin,ACE — Angiotensin-converting enzyme,仍可探索,AYXYPKUFHZROOJ-ZETCQYMHSA-N__CHEMBL1808,False,100.0,340.0,187.0,370.0,91.0,631.0,,
65,C384-034,etravirine,SRC — Proto-oncogene tyrosine-protein kinase Src,仍可探索,PYGWGZALEOIKDF-UHFFFAOYSA-N__CHEMBL267,True,145.0,404.0,199.0,226.0,29.0,90.0,266.0,529.0
66,C384-073,zavegepant,PTK2 — Focal adhesion kinase 1,仍可探索,JJVAPHYEOZSKJZ-JGCGQSQUSA-N__CHEMBL2695,False,125.0,83.0,194.0,41.0,83.0,41.0,,
67,C384-124,dasabuvir,PGR — Progesterone receptor,仍可探索,NBRBXGKOEOGLOI-UHFFFAOYSA-N__CHEMBL208,True,6.0,149.0,35.0,108.0,139.0,135.0,209.0,448.0
68,C384-085,imiquimod,FDPS — Farnesyl pyrophosphate synthase,仍可探索,DOUYETYNHWVLEO-UHFFFAOYSA-N__CHEMBL1782,True,80.0,264.0,246.0,359.0,32.0,411.0,100.0,77.0
69,C384-134,varenicline,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",仍可探索,JQSHBVHOMNKWFT-DTORHVGOSA-N__CHEMBL3535,True,49.0,645.0,148.0,471.0,22.0,236.0,265.0,523.0
70,C384-268,lacosamide,MAOB — Amine oxidase [flavin-containing] B,仍可探索,VPPJLAIAVCUEMN-GFCCVEGCSA-N__CHEMBL2039,True,26.0,420.0,41.0,405.0,76.0,610.0,201.0,350.0
71,C384-323,indomethacin,CTSC — Dipeptidyl peptidase 1,仍可探索,CGIGDMFJXJATDK-UHFFFAOYSA-N__CHEMBL2252,False,19.0,246.0,298.0,667.0,28.0,337.0,,
72,C384-325,tofacitinib,PARP2 — Poly [ADP-ribose] polymerase 2,仍可探索,UJLAWZDWDVHWOW-YPMHNXCESA-N__CHEMBL5366,True,138.0,625.0,122.0,651.0,134.0,110.0,56.0,265.0
73,C384-326,guanfacine,THRB — Thyroid hormone receptor beta,仍可探索,INJOMKTZOLKMBF-UHFFFAOYSA-N__CHEMBL1947,True,311.0,246.0,216.0,386.0,230.0,588.0,27.0,66.0
74,C384-012,cabotegravir,PPARG — Peroxisome proliferator-activated receptor gamma,仍可探索,WCWSTNLSLKSJPK-LKFCYVNXSA-N__CHEMBL235,True,252.0,377.0,233.0,265.0,126.0,93.0,215.0,400.0
75,C384-037,terazosin,NTRK3 — NT-3 growth factor receptor,仍可探索,VCKUSRYTPJJLNI-UHFFFAOYSA-N__CHEMBL5608,False,248.0,430.0,35.0,241.0,61.0,390.0,,
76,C384-038,sufentanil,PDGFRA — Platelet-derived growth factor receptor alpha,仍可探索,GGCSSNBKKAUURC-UHFFFAOYSA-N__CHEMBL2007,True,123.0,106.0,90.0,151.0,328.0,605.0,19.0,181.0
77,C384-125,vaborbactam,CA1 — Carbonic anhydrase 1,仍可探索,IOOWNWLVCOUUEX-WPRPVWTQSA-N__CHEMBL261,False,8.0,15.0,102.0,88.0,134.0,385.0,,
78,C384-126,metoprolol,CA7 — Carbonic anhydrase 7,仍可探索,IUBSYMUCCVWXPE-UHFFFAOYSA-N__CHEMBL2326,True,2.0,488.0,4.0,564.0,14.0,589.0,237.0,387.0
79,C384-209,indacaterol,CA2 — Carbonic anhydrase 2,仍可探索,QZZUEBNBZAPZLX-QFIPXVFZSA-N__CHEMBL205,True,20.0,210.0,12.0,164.0,223.0,94.0,239.0,417.0
80,C384-211,elvitegravir,MAPK8 — Mitogen-activated protein kinase 8,仍可探索,JUZYLCPPVHEVSV-LJQANCHMSA-N__CHEMBL2276,False,102.0,104.0,163.0,158.0,105.0,147.0,,
81,C384-269,brexanolone,ESR2 — Estrogen receptor beta,仍可探索,AURFZBICLPNKBZ-SYBPFIFISA-N__CHEMBL242,False,241.0,184.0,121.0,218.0,58.0,340.0,,
82,C384-316,bumetanide,FAAH — Fatty-acid amide hydrolase 1,仍可探索,MAEIEVLCKWDQJH-UHFFFAOYSA-N__CHEMBL2243,True,99.0,391.0,198.0,647.0,132.0,329.0,232.0,413.0
83,C384-328,selegiline,ACE — Angiotensin-converting enzyme,仍可探索,MEZLKOACVSPNER-GFCCVEGCSA-N__CHEMBL1808,False,146.0,569.0,254.0,475.0,275.0,687.0,,
84,C384-329,tizanidine,GSK3A — Glycogen synthase kinase-3 alpha,仍可探索,XFYDIVBRZNQMJC-UHFFFAOYSA-N__CHEMBL2850,True,93.0,115.0,147.0,225.0,14.0,249.0,110.0,195.0
85,C384-013,pitavastatin,MMP12 — Macrophage metalloelastase,仍可探索,VGYFMXBACGZSIL-MCBHFWOFSA-N__CHEMBL4393,False,42.0,361.0,43.0,137.0,147.0,196.0,,
86,C384-014,lasmiditan,NTRK2 — BDNF/NT-3 growth factors receptor,仍可探索,XEDHVZKDSYZQBF-UHFFFAOYSA-N__CHEMBL4898,True,125.0,356.0,202.0,485.0,24.0,87.0,213.0,438.0
87,C384-212,glimepiride,CA4 — Carbonic anhydrase 4,仍可探索,WIGIZIANZCJQQY-RUCARUNLSA-N__CHEMBL3729,True,189.0,286.0,41.0,56.0,25.0,19.0,126.0,149.0
88,C384-213,aprepitant,HMGCR — 3-hydroxy-3-methylglutaryl-coenzyme A reductase,仍可探索,ATALOFNDEOCMKK-OITMNORJSA-N__CHEMBL402,False,82.0,124.0,156.0,192.0,142.0,216.0,,
89,C384-214,vaborbactam,MME — Neprilysin,仍可探索,IOOWNWLVCOUUEX-WPRPVWTQSA-N__CHEMBL1944,False,26.0,51.0,92.0,138.0,4.0,33.0,,
90,C384-215,memantine,NR3C2 — Mineralocorticoid receptor,仍可探索,BUGYDGFZZOZRHP-UHFFFAOYSA-N__CHEMBL1994,True,22.0,414.0,10.0,258.0,93.0,659.0,2.0,5.0
91,C384-135,sotalol,"ALDH2 — Aldehyde dehydrogenase, mitochondrial",仍可探索,ZBMZVLHSJCTVON-UHFFFAOYSA-N__CHEMBL1935,True,180.0,492.0,86.0,451.0,52.0,532.0,119.0,72.0
92,C384-136,enasidenib,BRAF — Serine/threonine-protein kinase B-raf,仍可探索,DYLUUSLLRIQKOE-UHFFFAOYSA-N__CHEMBL5145,True,67.0,334.0,234.0,269.0,193.0,103.0,34.0,45.0
93,C384-137,desoximetasone,PRKCB — Protein kinase C beta type,仍可探索,VWVSBHGCDBMOOT-IIEHVVJPSA-N__CHEMBL3045,True,39.0,117.0,244.0,222.0,99.0,120.0,206.0,431.0
94,C384-226,nimodipine,CA12 — Carbonic anhydrase 12,仍可探索,UIAGMCDKSXEBJQ-UHFFFAOYSA-N__CHEMBL3242,True,9.0,94.0,1.0,26.0,23.0,370.0,66.0,189.0
95,C384-271,thalidomide,CDK9 — Cyclin-dependent kinase 9,仍可探索,UEJJHQNACJXSKW-UHFFFAOYSA-N__CHEMBL3116,False,312.0,678.0,36.0,216.0,160.0,679.0,,
96,C384-317,binimetinib,PARP2 — Poly [ADP-ribose] polymerase 2,仍可探索,ACWZRVQXLIRSDF-UHFFFAOYSA-N__CHEMBL5366,True,259.0,704.0,247.0,715.0,51.0,239.0,46.0,241.0
97,C384-318,ticagrelor,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",仍可探索,OEKWJQXRCDYSHL-FNOIDJSQSA-N__CHEMBL3535,True,47.0,487.0,12.0,98.0,153.0,327.0,44.0,108.0
98,C384-319,ixabepilone,PRKCB — Protein kinase C beta type,仍可探索,FABUFPQFXZVHFB-PVYNADRNSA-N__CHEMBL3045,True,99.0,100.0,77.0,65.0,121.0,206.0,216.0,392.0
99,C384-330,lumateperone,ACHE — Acetylcholinesterase,仍可探索,HOIIHACBCFLJET-SFTDATJTSA-N__CHEMBL220,True,66.0,65.0,278.0,76.0,37.0,236.0,2.0,14.0
100,C384-331,alprazolam,GSK3A — Glycogen synthase kinase-3 alpha,仍可探索,VREFGVBLTWBCJP-UHFFFAOYSA-N__CHEMBL2850,True,165.0,454.0,119.0,444.0,56.0,561.0,87.0,210.0
101,C384-043,indacaterol,JAK1 — Tyrosine-protein kinase JAK1,仍可探索,QZZUEBNBZAPZLX-QFIPXVFZSA-N__CHEMBL2835,True,209.0,503.0,109.0,373.0,173.0,75.0,187.0,204.0
102,C384-044,rimegepant,JAK2 — Tyrosine-protein kinase JAK2,仍可探索,KRNAOFGYEFKHPB-ANJVHQHFSA-N__CHEMBL2971,True,94.0,48.0,58.0,55.0,311.0,149.0,193.0,357.0
103,C384-045,arformoterol,MMP12 — Macrophage metalloelastase,仍可探索,BPZSYCZIITTYBL-YJYMSZOUSA-N__CHEMBL4393,False,199.0,502.0,330.0,416.0,119.0,452.0,,
104,C384-138,carbinoxamine,FAAH — Fatty-acid amide hydrolase 1,仍可探索,OJFSXZCBGQGRNV-UHFFFAOYSA-N__CHEMBL2243,True,129.0,353.0,283.0,677.0,265.0,634.0,89.0,169.0
105,C384-139,ranolazine,KDR — Vascular endothelial growth factor receptor 2,仍可探索,XKLMZUWKNUAPSZ-UHFFFAOYSA-N__CHEMBL279,True,182.0,317.0,13.0,111.0,151.0,386.0,252.0,484.0
106,C384-227,tetracaine,CTSC — Dipeptidyl peptidase 1,仍可探索,GKCBAIGFKIBETG-UHFFFAOYSA-N__CHEMBL2252,False,227.0,530.0,97.0,651.0,9.0,675.0,,
107,C384-228,cyclobenzaprine,MAOB — Amine oxidase [flavin-containing] B,仍可探索,JURKNVYFZMSNLP-UHFFFAOYSA-N__CHEMBL2039,True,322.0,459.0,102.0,162.0,70.0,432.0,151.0,189.0
108,C384-277,piperacillin,MME — Neprilysin,仍可探索,IVBHGBMCVLDMKU-GXNBUGAJSA-N__CHEMBL1944,True,30.0,258.0,19.0,109.0,3.0,10.0,33.0,63.0
109,C384-111,lisinopril,NR3C2 — Mineralocorticoid receptor,仍可探索,RLAWWYSOJDYHDC-BZSNNMDCSA-N__CHEMBL1994,True,4.0,277.0,20.0,282.0,89.0,439.0,222.0,449.0
110,C384-169,varenicline,ESRRG — Estrogen-related receptor gamma,仍可探索,JQSHBVHOMNKWFT-DTORHVGOSA-N__CHEMBL4245,True,105.0,636.0,177.0,584.0,332.0,525.0,234.0,462.0
111,C384-218,bazedoxifene,THRB — Thyroid hormone receptor beta,仍可探索,UCJGJABZCDBEDK-UHFFFAOYSA-N__CHEMBL1947,True,297.0,113.0,118.0,108.0,9.0,17.0,103.0,187.0
112,C384-334,talazoparib,MET — Hepatocyte growth factor receptor,仍可探索,HWGQMRYQVZSGDQ-HZPDHXFCSA-N__CHEMBL3717,True,41.0,99.0,71.0,145.0,114.0,31.0,179.0,461.0
113,C384-335,relebactam,MMP8 — Neutrophil collagenase,仍可探索,SMOBCLHAZXOKDQ-ZJUUUORDSA-N__CHEMBL4588,False,3.0,176.0,2.0,21.0,82.0,328.0,,
114,C384-046,elvitegravir,ERBB2 — Receptor tyrosine-protein kinase erbB-2,仍可探索,JUZYLCPPVHEVSV-LJQANCHMSA-N__CHEMBL1824,False,213.0,158.0,298.0,464.0,363.0,316.0,,
115,C384-047,ivabradine,FGFR2 — Fibroblast growth factor receptor 2,仍可探索,ACRHBAYQBXXRTO-OAQYLSRUSA-N__CHEMBL4142,True,65.0,129.0,56.0,299.0,179.0,421.0,14.0,48.0
116,C384-048,cilastatin,PPARG — Peroxisome proliferator-activated receptor gamma,仍可探索,DHSUYTOATWAVLW-WFVMDLQDSA-N__CHEMBL235,True,96.0,415.0,207.0,324.0,212.0,415.0,214.0,329.0
117,C384-142,vibegron,NR3C2 — Mineralocorticoid receptor,仍可探索,DJXRIQMCROIRCZ-XOEOCAAJSA-N__CHEMBL1994,True,143.0,290.0,13.0,267.0,167.0,182.0,176.0,391.0
118,C384-143,palbociclib,REN — Renin,仍可探索,AHJRHEGDXFFMBM-UHFFFAOYSA-N__CHEMBL286,True,107.0,271.0,47.0,201.0,337.0,143.0,230.0,424.0
119,C384-230,ondansetron,FAAH — Fatty-acid amide hydrolase 1,仍可探索,FELGMEQIXOGIFQ-UHFFFAOYSA-N__CHEMBL2243,True,47.0,333.0,70.0,131.0,81.0,217.0,1.0,11.0
120,C384-232,glimepiride,REN — Renin,仍可探索,WIGIZIANZCJQQY-RUCARUNLSA-N__CHEMBL286,True,35.0,31.0,125.0,142.0,78.0,153.0,114.0,111.0
121,C384-170,anastrozole,ALK — ALK tyrosine kinase receptor,仍可探索,YBBLVLTVTVSKRW-UHFFFAOYSA-N__CHEMBL4247,False,271.0,543.0,93.0,248.0,319.0,410.0,,
122,C384-293,tapinarof,ALOX5 — Polyunsaturated fatty acid 5-lipoxygenase,仍可探索,ZISJNXNHJRQYJO-CMDGGOBGSA-N__CHEMBL215,True,341.0,516.0,30.0,151.0,25.0,210.0,22.0,18.0
123,C384-294,benoxinate,DHFR — Dihydrofolate reductase,仍可探索,CMHHMUWAYWTMGS-UHFFFAOYSA-N__CHEMBL202,True,231.0,170.0,52.0,550.0,66.0,589.0,145.0,265.0
124,C384-295,donepezil,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",仍可探索,ADEBPBSSDYVVLD-UHFFFAOYSA-N__CHEMBL3535,True,118.0,533.0,376.0,695.0,65.0,543.0,105.0,291.0
125,C384-336,dextromethorphan,CTSC — Dipeptidyl peptidase 1,仍可探索,MKXZASYAUGDDCJ-NJAFHUGGSA-N__CHEMBL2252,False,88.0,377.0,115.0,433.0,9.0,380.0,,
126,C384-337,mirdametinib,DHFR — Dihydrofolate reductase,仍可探索,SUDAHWBOROXANE-SECBINFHSA-N__CHEMBL202,True,94.0,637.0,120.0,706.0,173.0,555.0,209.0,383.0
