排序,原候选编号,小分子药物名称,新靶点名称,当前实验建议,pair_id,drugclip_common548x269_covered,A_consensus_drug_rank384,A_consensus_target_rank720,B_consensus_drug_rank384,B_consensus_target_rank720,dtiam_drug_rank384,dtiam_target_rank720,drugclip_drug_rank269,drugclip_target_rank548
1,C384-001,tecovirimat,AR — Androgen receptor,仍可探索,CSKDFZIMJXRJGH-VWLPUNTISA-N__CHEMBL1871,True,13.0,127.0,120.0,348.0,36.0,100.0,154.0,386.0
2,C384-040,piperacillin,CA1 — Carbonic anhydrase 1,仍可探索,IVBHGBMCVLDMKU-GXNBUGAJSA-N__CHEMBL261,True,19.0,175.0,22.0,71.0,86.0,82.0,137.0,314.0
3,C384-089,tamsulosin,CA4 — Carbonic anhydrase 4,仍可探索,DRHKJLXJIQTDTD-OAHLLOKOSA-N__CHEMBL3729,False,53.0,313.0,64.0,240.0,10.0,31.0,,
4,C384-156,morphine,CA7 — Carbonic anhydrase 7,仍可探索,BQJCRHHNABKAKU-KBQPJGBKSA-N__CHEMBL2326,True,8.0,184.0,69.0,535.0,17.0,461.0,76.0,142.0
5,C384-074,sotalol,NR3C2 — Mineralocorticoid receptor,仍可探索,ZBMZVLHSJCTVON-UHFFFAOYSA-N__CHEMBL1994,True,100.0,609.0,28.0,506.0,20.0,432.0,214.0,347.0
6,C384-194,labetalol,MME — Neprilysin,仍可探索,SGUAFYQXFOLMHL-UHFFFAOYSA-N__CHEMBL1944,True,132.0,319.0,188.0,371.0,13.0,226.0,105.0,158.0
7,C384-283,arformoterol,CTSC — Dipeptidyl peptidase 1,仍可探索,BPZSYCZIITTYBL-YJYMSZOUSA-N__CHEMBL2252,False,185.0,460.0,68.0,258.0,29.0,605.0,,
8,C384-285,relebactam,MMP7 — Matrilysin,仍可探索,SMOBCLHAZXOKDQ-ZJUUUORDSA-N__CHEMBL4073,False,116.0,331.0,147.0,144.0,109.0,313.0,,
9,C384-007,vismodegib,NTRK1 — High affinity nerve growth factor receptor,仍可探索,BPQMGSKTAYIVFO-UHFFFAOYSA-N__CHEMBL2815,False,376.0,552.0,81.0,220.0,208.0,369.0,,
10,C384-093,metoprolol,CA4 — Carbonic anhydrase 4,仍可探索,IUBSYMUCCVWXPE-UHFFFAOYSA-N__CHEMBL3729,True,62.0,615.0,12.0,566.0,70.0,704.0,221.0,291.0
11,C384-094,solifenacin,CA7 — Carbonic anhydrase 7,仍可探索,FBOUYBDGKBSUES-VXKWHMMOSA-N__CHEMBL2326,True,5.0,10.0,111.0,113.0,29.0,213.0,38.0,105.0
12,C384-128,macimorelin,ACE — Angiotensin-converting enzyme,仍可探索,UJVDJAPJQWZRFR-DHIUTWEWSA-N__CHEMBL1808,False,255.0,577.0,125.0,227.0,228.0,339.0,,
13,C384-157,oxycodone,CA7 — Carbonic anhydrase 7,仍可探索,BRUQQQPBMZOVGD-XFKAJCMBSA-N__CHEMBL2326,True,3.0,139.0,20.0,590.0,28.0,621.0,42.0,73.0
14,C384-158,methylnaltrexone,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,仍可探索,JVLBPIPGETUEET-WIXLDOGYSA-O__CHEMBL1902,False,23.0,70.0,23.0,116.0,21.0,342.0,,
15,C384-196,thalidomide,MIF — Macrophage migration inhibitory factor,仍可探索,UEJJHQNACJXSKW-UHFFFAOYSA-N__CHEMBL2085,False,294.0,660.0,186.0,356.0,63.0,545.0,,
16,C384-197,armodafinil,NR3C2 — Mineralocorticoid receptor,仍可探索,YFGHCGITMMYXAQ-LJQANCHMSA-N__CHEMBL1994,True,7.0,406.0,24.0,571.0,23.0,553.0,52.0,115.0
17,C384-287,diltiazem,REN — Renin,仍可探索,HSUGRBWQSSZJOP-RTWAWAEBSA-N__CHEMBL286,True,242.0,369.0,81.0,332.0,88.0,319.0,211.0,460.0
18,C384-303,upadacitinib,PRKCB — Protein kinase C beta type,仍可探索,WYQFJHHDOKWSHR-MNOVXSKESA-N__CHEMBL3045,True,139.0,292.0,200.0,71.0,65.0,40.0,235.0,513.0
19,C384-003,carglumic acid,MMP12 — Macrophage metalloelastase,仍可探索,LCQLHJZYVOQKHU-VKHMYHEASA-N__CHEMBL4393,False,3.0,179.0,87.0,360.0,144.0,501.0,,
20,C384-121,diazoxide,CSF1R — Macrophage colony-stimulating factor 1 receptor,仍可探索,GDLBFKVLRPITMI-UHFFFAOYSA-N__CHEMBL1844,True,69.0,152.0,67.0,434.0,132.0,485.0,82.0,134.0
21,C384-222,lenalidomide,AXL — Tyrosine-protein kinase receptor UFO,仍可探索,GOTYRUGSSMKFNF-UHFFFAOYSA-N__CHEMBL4895,True,118.0,383.0,275.0,284.0,225.0,408.0,127.0,259.0
22,C384-288,ixabepilone,CSF1R — Macrophage colony-stimulating factor 1 receptor,仍可探索,FABUFPQFXZVHFB-PVYNADRNSA-N__CHEMBL1844,True,98.0,173.0,48.0,172.0,160.0,290.0,265.0,490.0
23,C384-304,esketamine,GSK3A — Glycogen synthase kinase-3 alpha,仍可探索,YQEZLKZALYSWHR-ZDUSSCGKSA-N__CHEMBL2850,True,88.0,415.0,121.0,414.0,31.0,223.0,88.0,198.0
24,C384-080,ibuprofen,CA4 — Carbonic anhydrase 4,仍可探索,HEFNNWSXXWATRW-UHFFFAOYSA-N__CHEMBL3729,True,214.0,705.0,3.0,302.0,16.0,565.0,51.0,66.0
25,C384-082,lisinopril,REN — Renin,仍可探索,RLAWWYSOJDYHDC-BZSNNMDCSA-N__CHEMBL286,True,109.0,261.0,34.0,228.0,7.0,85.0,218.0,433.0
26,C384-004,apixaban,FLT3 — Receptor-type tyrosine-protein kinase FLT3,仍可探索,QNZCBYKSOIHPEH-UHFFFAOYSA-N__CHEMBL1974,True,379.0,683.0,215.0,234.0,97.0,101.0,86.0,208.0
27,C384-102,nimodipine,CA7 — Carbonic anhydrase 7,仍可探索,UIAGMCDKSXEBJQ-UHFFFAOYSA-N__CHEMBL2326,True,5.0,52.0,3.0,53.0,7.0,354.0,29.0,95.0
28,C384-103,etravirine,FLT3 — Receptor-type tyrosine-protein kinase FLT3,仍可探索,PYGWGZALEOIKDF-UHFFFAOYSA-N__CHEMBL1974,True,67.0,414.0,78.0,311.0,270.0,179.0,203.0,484.0
29,C384-129,darunavir,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,仍可探索,CJBJHOAVZSMMDJ-HEXNFIEUSA-N__CHEMBL1902,True,114.0,80.0,52.0,107.0,55.0,269.0,3.0,129.0
30,C384-162,bupivacaine,CTSC — Dipeptidyl peptidase 1,仍可探索,LEBVLXFERQHONN-UHFFFAOYSA-N__CHEMBL2252,False,84.0,505.0,29.0,544.0,22.0,591.0,,
31,C384-163,belzutifan,PGR — Progesterone receptor,仍可探索,LOMMPXLFBTZENJ-ZACQAIPSSA-N__CHEMBL208,True,5.0,87.0,29.0,87.0,32.0,22.0,45.0,170.0
32,C384-198,oxaprozin,FAAH — Fatty-acid amide hydrolase 1,仍可探索,OFPXSFXSNFPTHF-UHFFFAOYSA-N__CHEMBL2243,True,151.0,454.0,31.0,411.0,108.0,558.0,209.0,401.0
33,C384-290,cobimetinib,PARP2 — Poly [ADP-ribose] polymerase 2,仍可探索,BSMCAPRUBJMWDF-KRWDZBQOSA-N__CHEMBL5366,True,257.0,716.0,263.0,714.0,41.0,132.0,29.0,187.0
34,C384-305,lumateperone,COMT — Catechol O-methyltransferase,仍可探索,HOIIHACBCFLJET-SFTDATJTSA-N__CHEMBL2023,True,329.0,167.0,289.0,140.0,21.0,373.0,114.0,244.0
35,C384-307,tafamidis,RARB — Retinoic acid receptor beta,仍可探索,TXEIIPDJKFWEEC-UHFFFAOYSA-N__CHEMBL2008,True,147.0,267.0,5.0,118.0,192.0,371.0,4.0,6.0
36,C384-006,pregabalin,MME — Neprilysin,仍可探索,AYXYPKUFHZROOJ-ZETCQYMHSA-N__CHEMBL1944,True,55.0,320.0,38.0,328.0,39.0,697.0,97.0,157.0
37,C384-027,cabotegravir,"ALDH2 — Aldehyde dehydrogenase, mitochondrial",仍可探索,WCWSTNLSLKSJPK-LKFCYVNXSA-N__CHEMBL1935,True,115.0,120.0,100.0,76.0,75.0,147.0,157.0,273.0
38,C384-164,pacritinib,CA7 — Carbonic anhydrase 7,仍可探索,HWXVIOGONBBTBY-ONEGZZNKSA-N__CHEMBL2326,True,22.0,460.0,68.0,567.0,118.0,187.0,232.0,492.0
39,C384-166,bictegravir,MET — Hepatocyte growth factor receptor,仍可探索,SOLUWJRYJLAZCX-LYOVBCGYSA-N__CHEMBL3717,True,52.0,171.0,247.0,194.0,134.0,114.0,70.0,206.0
40,C384-167,rimegepant,REN — Renin,仍可探索,KRNAOFGYEFKHPB-ANJVHQHFSA-N__CHEMBL286,True,2.0,7.0,175.0,148.0,19.0,28.0,123.0,245.0
41,C384-217,calcipotriene,NR3C2 — Mineralocorticoid receptor,仍可探索,LWQQLNNNIPYSNX-UROSTWAQSA-N__CHEMBL1994,True,1.0,10.0,104.0,26.0,16.0,107.0,10.0,85.0
42,C384-122,olanzapine,DYRK1A — Dual specificity tyrosine-phosphorylation-regulated kinase 1A,仍可探索,KVWDHTXUZHCGIO-UHFFFAOYSA-N__CHEMBL2292,False,259.0,563.0,172.0,263.0,113.0,505.0,,
43,C384-291,avibactam,MMP8 — Neutrophil collagenase,仍可探索,NDCUAPJVLWFHHB-UHNVWZDZSA-N__CHEMBL4588,True,20.0,229.0,45.0,88.0,44.0,231.0,84.0,132.0
44,C384-308,tapentadol,ESR1 — Estrogen receptor,仍可探索,KWTWDQCKEHXFFR-SMDDNHRTSA-N__CHEMBL206,True,316.0,573.0,98.0,275.0,194.0,623.0,3.0,1.0
45,C384-008,lubiprostone,AR — Androgen receptor,仍可探索,WGFOBBZOWHGYQH-MXHNKVEKSA-N__CHEMBL1871,True,38.0,311.0,236.0,382.0,50.0,156.0,187.0,464.0
46,C384-199,bupivacaine,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,仍可探索,LEBVLXFERQHONN-UHFFFAOYSA-N__CHEMBL1902,True,121.0,425.0,238.0,667.0,310.0,616.0,1.0,5.0
47,C384-200,sotagliflozin,REN — Renin,仍可探索,QKDRXGFQVGOQKS-CRSSMBPESA-N__CHEMBL286,True,266.0,258.0,208.0,47.0,156.0,246.0,100.0,140.0
48,C384-084,glasdegib,KIT — Mast/stem cell growth factor receptor Kit,仍可探索,SFNSLLSYNZWZQG-VQIMIIECSA-N__CHEMBL1936,False,215.0,538.0,20.0,145.0,35.0,94.0,,
49,C384-131,selinexor,BRAF — Serine/threonine-protein kinase B-raf,仍可探索,DEVSOMFAQLZNKR-RJRFIUFISA-N__CHEMBL5145,True,157.0,112.0,24.0,102.0,236.0,228.0,53.0,55.0
50,C384-310,avibactam,MMP7 — Matrilysin,仍可探索,NDCUAPJVLWFHHB-UHNVWZDZSA-N__CHEMBL4073,True,107.0,343.0,249.0,92.0,176.0,348.0,233.0,489.0
51,C384-321,fluocinonide,PRKCB — Protein kinase C beta type,仍可探索,WJOHZNCJWYWUJD-IUGZLZTKSA-N__CHEMBL3045,True,80.0,162.0,164.0,105.0,113.0,233.0,213.0,473.0
52,C384-032,desonide,NR3C2 — Mineralocorticoid receptor,仍可探索,WBGKWQHBNHJJPZ-LECWWXJVSA-N__CHEMBL1994,True,1.0,64.0,5.0,53.0,19.0,451.0,32.0,152.0
53,C384-009,alpelisib,DPP4 — Dipeptidyl peptidase 4,仍可探索,STUWGJZDJHPWGZ-LBPRGKRZSA-N__CHEMBL284,False,18.0,598.0,121.0,702.0,167.0,88.0,,
