pair_id,drug_names,gene_symbol,target_chembl_id,selection_score,in_frozen384,reviewed_in_original574,latest_exact_evidence
PYGWGZALEOIKDF-UHFFFAOYSA-N__CHEMBL4247,etravirine,ALK,CHEMBL4247,0.7033034,False,False,False
PZBCKZWLPGJMAO-UHFFFAOYSA-N__CHEMBL1844,copanlisib,CSF1R,CHEMBL1844,0.8927767,False,False,False
PZBCKZWLPGJMAO-UHFFFAOYSA-N__CHEMBL4895,copanlisib,AXL,CHEMBL4895,0.6520862,False,False,False
PZBCKZWLPGJMAO-UHFFFAOYSA-N__CHEMBL4898,copanlisib,NTRK2,CHEMBL4898,0.88392633,True,True,False
PZBCKZWLPGJMAO-UHFFFAOYSA-N__CHEMBL5608,copanlisib,NTRK3,CHEMBL5608,0.86750215,True,True,False
QFFGVLORLPOAEC-SNVBAGLBSA-N__CHEMBL2243,besifloxacin,FAAH,CHEMBL2243,0.8153978,False,False,False
QNZCBYKSOIHPEH-UHFFFAOYSA-N__CHEMBL205,apixaban,CA2,CHEMBL205,0.75591594,False,False,False
QNZCBYKSOIHPEH-UHFFFAOYSA-N__CHEMBL2148,apixaban,JAK3,CHEMBL2148,0.7106536,False,False,False
QNZCBYKSOIHPEH-UHFFFAOYSA-N__CHEMBL2243,apixaban,FAAH,CHEMBL2243,0.8322649,False,False,False
QNZCBYKSOIHPEH-UHFFFAOYSA-N__CHEMBL3535,apixaban,PDE9A,CHEMBL3535,0.86242676,False,False,False
QZZUEBNBZAPZLX-QFIPXVFZSA-N__CHEMBL1981,indacaterol,INSR,CHEMBL1981,0.6857999,False,False,False
QZZUEBNBZAPZLX-QFIPXVFZSA-N__CHEMBL2252,indacaterol,CTSC,CHEMBL2252,0.8027503,False,False,False
QZZUEBNBZAPZLX-QFIPXVFZSA-N__CHEMBL2326,indacaterol,CA7,CHEMBL2326,0.7954969,False,False,False
QZZUEBNBZAPZLX-QFIPXVFZSA-N__CHEMBL5705,indacaterol,EGLN3,CHEMBL5705,0.8988372,False,False,False
RAPZEAPATHNIPO-UHFFFAOYSA-N__CHEMBL2039,risperidone,MAOB,CHEMBL2039,0.6858888,False,False,False
RAPZEAPATHNIPO-UHFFFAOYSA-N__CHEMBL2850,risperidone,GSK3A,CHEMBL2850,0.8245629,False,False,False
RHWKPHLQXYSBKR-BMIGLBTASA-N__CHEMBL2276,dolutegravir,MAPK8,CHEMBL2276,0.7972862,True,True,False
RHWKPHLQXYSBKR-BMIGLBTASA-N__CHEMBL3717,dolutegravir,MET,CHEMBL3717,0.7598123,False,False,False
RHXHGRAEPCAFML-UHFFFAOYSA-N__CHEMBL1782,ribociclib,FDPS,CHEMBL1782,0.87090856,False,False,False
RHXHGRAEPCAFML-UHFFFAOYSA-N__CHEMBL1871,ribociclib,AR,CHEMBL1871,0.83682525,False,False,False
RHXHGRAEPCAFML-UHFFFAOYSA-N__CHEMBL3310,ribociclib,HDAC11,CHEMBL3310,0.83480924,False,False,False
RHXHGRAEPCAFML-UHFFFAOYSA-N__CHEMBL3535,ribociclib,PDE9A,CHEMBL3535,0.8872751,False,False,False
RKEWSXXUOLRFBX-UHFFFAOYSA-N__CHEMBL2179,pimavanserin,GBA1,CHEMBL2179,0.53549415,False,False,False
RLAWWYSOJDYHDC-BZSNNMDCSA-N__CHEMBL286,lisinopril,REN,CHEMBL286,0.8406426,True,True,False
RNOAOAWBMHREKO-QFIPXVFZSA-N__CHEMBL3045,zanubrutinib,PRKCB,CHEMBL3045,0.8740016,False,False,False
RNOAOAWBMHREKO-QFIPXVFZSA-N__CHEMBL3310,zanubrutinib,HDAC11,CHEMBL3310,0.9252847,False,False,False
RNOAOAWBMHREKO-QFIPXVFZSA-N__CHEMBL4588,zanubrutinib,MMP8,CHEMBL4588,0.83054864,False,False,False
RNOAOAWBMHREKO-QFIPXVFZSA-N__CHEMBL5366,zanubrutinib,PARP2,CHEMBL5366,0.9316965,False,False,False
RUOKEQAAGRXIBM-GFCCVEGCSA-N__CHEMBL4523510,rasagiline,CYP46A1,CHEMBL4523510,0.6217713,False,False,False
SDEAXTCZPQIFQM-UHFFFAOYSA-N__CHEMBL1908,tucatinib,CYP11B1,CHEMBL1908,0.89417607,False,False,False
SDEAXTCZPQIFQM-UHFFFAOYSA-N__CHEMBL2085,tucatinib,MIF,CHEMBL2085,0.87691003,False,False,False
SDEAXTCZPQIFQM-UHFFFAOYSA-N__CHEMBL2243,tucatinib,FAAH,CHEMBL2243,0.8376859,False,False,False
SDEAXTCZPQIFQM-UHFFFAOYSA-N__CHEMBL2722,tucatinib,CYP11B2,CHEMBL2722,0.9151453,False,False,False
SECKRCOLJRRGGV-UHFFFAOYSA-N__CHEMBL1908,vardenafil,CYP11B1,CHEMBL1908,0.8362826,False,False,False
SECKRCOLJRRGGV-UHFFFAOYSA-N__CHEMBL205,vardenafil,CA2,CHEMBL205,0.7978396,False,False,False
