scope,direction,left,right,queries,candidates_per_query,valid_spearman_queries,mean_spearman,median_spearman,mean_top20_intersection,mean_top20_overlap_fraction,random_independent_top20_overlap_fraction
full720x384,drug_to_target,legacy_spr_ranker,old_neural,720,384,720,0.20454584967017742,0.21753575243294565,4.273611111111111,0.21368055555555557,0.052083333333333336
full720x384,drug_to_target,legacy_spr_ranker,A_consensus,720,384,720,0.11941314718278054,0.12107348428334068,2.8541666666666665,0.14270833333333333,0.052083333333333336
full720x384,drug_to_target,legacy_spr_ranker,B_consensus,720,384,720,0.19004764467181828,0.19063506663049745,3.8125,0.190625,0.052083333333333336
full720x384,drug_to_target,legacy_spr_ranker,dtiam,720,384,720,0.373509511540077,0.3731739132277644,5.756944444444445,0.28784722222222225,0.052083333333333336
full720x384,drug_to_target,old_neural,A_consensus,720,384,720,0.22608530385452077,0.2399468269980672,4.161111111111111,0.20805555555555558,0.052083333333333336
full720x384,drug_to_target,old_neural,B_consensus,720,384,720,0.2453372433077787,0.26049938964429825,5.0375,0.25187499999999996,0.052083333333333336
full720x384,drug_to_target,old_neural,dtiam,720,384,720,0.23772011207743068,0.24240064765521685,3.602777777777778,0.1801388888888889,0.052083333333333336
full720x384,drug_to_target,A_consensus,B_consensus,720,384,720,0.34410213078431684,0.3515695466413482,5.319444444444445,0.2659722222222222,0.052083333333333336
full720x384,drug_to_target,A_consensus,dtiam,720,384,720,0.18102539287763497,0.1920426994676342,3.486111111111111,0.17430555555555555,0.052083333333333336
full720x384,drug_to_target,B_consensus,dtiam,720,384,720,0.28715807276967037,0.29804633193177577,5.413888888888889,0.27069444444444446,0.052083333333333336
full720x384,target_to_drug,legacy_spr_ranker,old_neural,384,720,384,0.12329235987406732,0.11987858546750427,3.7161458333333335,0.18580729166666668,0.027777777777777776
full720x384,target_to_drug,legacy_spr_ranker,A_consensus,384,720,384,0.17357111687604446,0.18063951855484217,1.1692708333333333,0.05846354166666666,0.027777777777777776
full720x384,target_to_drug,legacy_spr_ranker,B_consensus,384,720,384,0.19500174316088628,0.19964040083060625,1.9557291666666667,0.09778645833333334,0.027777777777777776
