排序,原候选编号,小分子药物名称,新靶点名称,当前实验建议,pair_id,药物完整InChIKey,新靶点ChEMBL编号,full720x384_covered,full720x384__legacy_spr_ranker__drug_to_target_rank,full720x384__old_neural__drug_to_target_rank,full720x384__A_consensus__drug_to_target_rank,full720x384__B_consensus__drug_to_target_rank,full720x384__dtiam__drug_to_target_rank,full720x384__legacy_spr_ranker__target_to_drug_rank,full720x384__old_neural__target_to_drug_rank,full720x384__A_consensus__target_to_drug_rank,full720x384__B_consensus__target_to_drug_rank,full720x384__dtiam__target_to_drug_rank,drugclip_common548x269_covered,drugclip_common548x269__legacy_spr_ranker__drug_to_target_rank,drugclip_common548x269__old_neural__drug_to_target_rank,drugclip_common548x269__A_consensus__drug_to_target_rank,drugclip_common548x269__B_consensus__drug_to_target_rank,drugclip_common548x269__dtiam__drug_to_target_rank,drugclip_common548x269__drugclip__drug_to_target_rank,drugclip_common548x269__legacy_spr_ranker__target_to_drug_rank,drugclip_common548x269__old_neural__target_to_drug_rank,drugclip_common548x269__A_consensus__target_to_drug_rank,drugclip_common548x269__B_consensus__target_to_drug_rank,drugclip_common548x269__dtiam__target_to_drug_rank,drugclip_common548x269__drugclip__target_to_drug_rank
1,C384-001,tecovirimat,AR — Androgen receptor,仍可探索,CSKDFZIMJXRJGH-VWLPUNTISA-N__CHEMBL1871,CSKDFZIMJXRJGH-VWLPUNTISA-N,CHEMBL1871,True,1.0,89.0,13.0,120.0,36.0,7.0,173.0,127.0,348.0,100.0,True,1.0,68.0,11.0,84.0,25.0,154.0,5.0,132.0,86.0,265.0,78.0,386.0
2,C384-040,piperacillin,CA1 — Carbonic anhydrase 1,仍可探索,IVBHGBMCVLDMKU-GXNBUGAJSA-N__CHEMBL261,IVBHGBMCVLDMKU-GXNBUGAJSA-N,CHEMBL261,True,1.0,3.0,19.0,22.0,86.0,5.0,84.0,175.0,71.0,82.0,True,1.0,3.0,10.0,12.0,57.0,137.0,5.0,69.0,130.0,51.0,68.0,314.0
3,C384-089,tamsulosin,CA4 — Carbonic anhydrase 4,仍可探索,DRHKJLXJIQTDTD-OAHLLOKOSA-N__CHEMBL3729,DRHKJLXJIQTDTD-OAHLLOKOSA-N,CHEMBL3729,True,1.0,8.0,53.0,64.0,10.0,8.0,78.0,313.0,240.0,31.0,False,,,,,,,,,,,,
4,C384-156,morphine,CA7 — Carbonic anhydrase 7,仍可探索,BQJCRHHNABKAKU-KBQPJGBKSA-N__CHEMBL2326,BQJCRHHNABKAKU-KBQPJGBKSA-N,CHEMBL2326,True,1.0,32.0,8.0,69.0,17.0,259.0,401.0,184.0,535.0,461.0,True,1.0,29.0,3.0,44.0,11.0,76.0,208.0,304.0,135.0,392.0,364.0,142.0
5,C384-074,sotalol,NR3C2 — Mineralocorticoid receptor,仍可探索,ZBMZVLHSJCTVON-UHFFFAOYSA-N__CHEMBL1994,ZBMZVLHSJCTVON-UHFFFAOYSA-N,CHEMBL1994,True,1.0,22.0,100.0,28.0,20.0,16.0,358.0,609.0,506.0,432.0,True,1.0,20.0,78.0,21.0,14.0,214.0,8.0,272.0,464.0,380.0,337.0,347.0
6,C384-194,labetalol,MME — Neprilysin,仍可探索,SGUAFYQXFOLMHL-UHFFFAOYSA-N__CHEMBL1944,SGUAFYQXFOLMHL-UHFFFAOYSA-N,CHEMBL1944,True,1.0,13.0,132.0,188.0,13.0,11.0,50.0,319.0,371.0,226.0,True,1.0,12.0,96.0,131.0,9.0,105.0,6.0,32.0,238.0,271.0,178.0,158.0
7,C384-283,arformoterol,CTSC — Dipeptidyl peptidase 1,仍可探索,BPZSYCZIITTYBL-YJYMSZOUSA-N__CHEMBL2252,BPZSYCZIITTYBL-YJYMSZOUSA-N,CHEMBL2252,True,1.0,131.0,185.0,68.0,29.0,112.0,183.0,460.0,258.0,605.0,False,,,,,,,,,,,,
8,C384-285,relebactam,MMP7 — Matrilysin,仍可探索,SMOBCLHAZXOKDQ-ZJUUUORDSA-N__CHEMBL4073,SMOBCLHAZXOKDQ-ZJUUUORDSA-N,CHEMBL4073,True,1.0,237.0,116.0,147.0,109.0,138.0,278.0,331.0,144.0,313.0,False,,,,,,,,,,,,
9,C384-007,vismodegib,NTRK1 — High affinity nerve growth factor receptor,仍可探索,BPQMGSKTAYIVFO-UHFFFAOYSA-N__CHEMBL2815,BPQMGSKTAYIVFO-UHFFFAOYSA-N,CHEMBL2815,True,2.0,246.0,376.0,81.0,208.0,10.0,152.0,552.0,220.0,369.0,False,,,,,,,,,,,,
10,C384-093,metoprolol,CA4 — Carbonic anhydrase 4,仍可探索,IUBSYMUCCVWXPE-UHFFFAOYSA-N__CHEMBL3729,IUBSYMUCCVWXPE-UHFFFAOYSA-N,CHEMBL3729,True,2.0,17.0,62.0,12.0,70.0,168.0,230.0,615.0,566.0,704.0,True,1.0,17.0,52.0,11.0,53.0,221.0,138.0,173.0,470.0,414.0,534.0,291.0
11,C384-094,solifenacin,CA7 — Carbonic anhydrase 7,仍可探索,FBOUYBDGKBSUES-VXKWHMMOSA-N__CHEMBL2326,FBOUYBDGKBSUES-VXKWHMMOSA-N,CHEMBL2326,True,2.0,11.0,5.0,111.0,29.0,4.0,124.0,10.0,113.0,213.0,True,1.0,10.0,3.0,68.0,19.0,38.0,4.0,94.0,9.0,80.0,169.0,105.0
12,C384-128,macimorelin,ACE — Angiotensin-converting enzyme,仍可探索,UJVDJAPJQWZRFR-DHIUTWEWSA-N__CHEMBL1808,UJVDJAPJQWZRFR-DHIUTWEWSA-N,CHEMBL1808,True,2.0,108.0,255.0,125.0,228.0,11.0,72.0,577.0,227.0,339.0,False,,,,,,,,,,,,
13,C384-157,oxycodone,CA7 — Carbonic anhydrase 7,仍可探索,BRUQQQPBMZOVGD-XFKAJCMBSA-N__CHEMBL2326,BRUQQQPBMZOVGD-XFKAJCMBSA-N,CHEMBL2326,True,2.0,25.0,3.0,20.0,28.0,280.0,485.0,139.0,590.0,621.0,True,2.0,22.0,1.0,14.0,22.0,42.0,225.0,370.0,102.0,436.0,479.0,73.0
14,C384-158,methylnaltrexone,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,仍可探索,JVLBPIPGETUEET-WIXLDOGYSA-O__CHEMBL1902,JVLBPIPGETUEET-WIXLDOGYSA-O,CHEMBL1902,True,2.0,131.0,23.0,23.0,21.0,54.0,551.0,70.0,116.0,342.0,False,,,,,,,,,,,,
15,C384-196,thalidomide,MIF — Macrophage migration inhibitory factor,仍可探索,UEJJHQNACJXSKW-UHFFFAOYSA-N__CHEMBL2085,UEJJHQNACJXSKW-UHFFFAOYSA-N,CHEMBL2085,True,2.0,21.0,294.0,186.0,63.0,42.0,73.0,660.0,356.0,545.0,False,,,,,,,,,,,,
16,C384-197,armodafinil,NR3C2 — Mineralocorticoid receptor,仍可探索,YFGHCGITMMYXAQ-LJQANCHMSA-N__CHEMBL1994,YFGHCGITMMYXAQ-LJQANCHMSA-N,CHEMBL1994,True,2.0,19.0,7.0,24.0,23.0,29.0,188.0,406.0,571.0,553.0,True,1.0,13.0,6.0,16.0,17.0,52.0,20.0,142.0,301.0,428.0,418.0,115.0
17,C384-287,diltiazem,REN — Renin,仍可探索,HSUGRBWQSSZJOP-RTWAWAEBSA-N__CHEMBL286,HSUGRBWQSSZJOP-RTWAWAEBSA-N,CHEMBL286,True,2.0,36.0,242.0,81.0,88.0,128.0,259.0,369.0,332.0,319.0,True,1.0,25.0,152.0,53.0,64.0,211.0,103.0,197.0,278.0,249.0,256.0,460.0
18,C384-303,upadacitinib,PRKCB — Protein kinase C beta type,仍可探索,WYQFJHHDOKWSHR-MNOVXSKESA-N__CHEMBL3045,WYQFJHHDOKWSHR-MNOVXSKESA-N,CHEMBL3045,True,2.0,174.0,139.0,200.0,65.0,11.0,447.0,292.0,71.0,40.0,True,2.0,128.0,84.0,139.0,46.0,235.0,10.0,362.0,213.0,58.0,34.0,513.0
19,C384-003,carglumic acid,MMP12 — Macrophage metalloelastase,仍可探索,LCQLHJZYVOQKHU-VKHMYHEASA-N__CHEMBL4393,LCQLHJZYVOQKHU-VKHMYHEASA-N,CHEMBL4393,True,3.0,50.0,3.0,87.0,144.0,10.0,75.0,179.0,360.0,501.0,False,,,,,,,,,,,,
20,C384-121,diazoxide,CSF1R — Macrophage colony-stimulating factor 1 receptor,仍可探索,GDLBFKVLRPITMI-UHFFFAOYSA-N__CHEMBL1844,GDLBFKVLRPITMI-UHFFFAOYSA-N,CHEMBL1844,True,3.0,276.0,69.0,67.0,132.0,76.0,99.0,152.0,434.0,485.0,True,3.0,180.0,36.0,47.0,91.0,82.0,65.0,83.0,114.0,327.0,376.0,134.0
21,C384-222,lenalidomide,AXL — Tyrosine-protein kinase receptor UFO,仍可探索,GOTYRUGSSMKFNF-UHFFFAOYSA-N__CHEMBL4895,GOTYRUGSSMKFNF-UHFFFAOYSA-N,CHEMBL4895,True,3.0,361.0,118.0,275.0,225.0,199.0,311.0,383.0,284.0,408.0,True,3.0,247.0,67.0,195.0,166.0,127.0,164.0,253.0,292.0,208.0,324.0,259.0
22,C384-288,ixabepilone,CSF1R — Macrophage colony-stimulating factor 1 receptor,仍可探索,FABUFPQFXZVHFB-PVYNADRNSA-N__CHEMBL1844,FABUFPQFXZVHFB-PVYNADRNSA-N,CHEMBL1844,True,3.0,268.0,98.0,48.0,160.0,112.0,382.0,173.0,172.0,290.0,True,3.0,198.0,72.0,38.0,112.0,265.0,97.0,297.0,133.0,137.0,233.0,490.0
23,C384-304,esketamine,GSK3A — Glycogen synthase kinase-3 alpha,仍可探索,YQEZLKZALYSWHR-ZDUSSCGKSA-N__CHEMBL2850,YQEZLKZALYSWHR-ZDUSSCGKSA-N,CHEMBL2850,True,3.0,364.0,88.0,121.0,31.0,34.0,458.0,415.0,414.0,223.0,True,3.0,250.0,49.0,85.0,19.0,88.0,30.0,359.0,311.0,310.0,179.0,198.0
24,C384-080,ibuprofen,CA4 — Carbonic anhydrase 4,仍可探索,HEFNNWSXXWATRW-UHFFFAOYSA-N__CHEMBL3729,HEFNNWSXXWATRW-UHFFFAOYSA-N,CHEMBL3729,True,4.0,76.0,214.0,3.0,16.0,80.0,380.0,705.0,302.0,565.0,True,2.0,66.0,169.0,3.0,10.0,51.0,65.0,297.0,536.0,213.0,443.0,66.0
25,C384-082,lisinopril,REN — Renin,仍可探索,RLAWWYSOJDYHDC-BZSNNMDCSA-N__CHEMBL286,RLAWWYSOJDYHDC-BZSNNMDCSA-N,CHEMBL286,True,4.0,41.0,109.0,34.0,7.0,18.0,315.0,261.0,228.0,85.0,True,2.0,28.0,68.0,26.0,7.0,218.0,11.0,240.0,192.0,171.0,73.0,433.0
26,C384-004,apixaban,FLT3 — Receptor-type tyrosine-protein kinase FLT3,仍可探索,QNZCBYKSOIHPEH-UHFFFAOYSA-N__CHEMBL1974,QNZCBYKSOIHPEH-UHFFFAOYSA-N,CHEMBL1974,True,4.0,279.0,379.0,215.0,97.0,84.0,259.0,683.0,234.0,101.0,True,1.0,189.0,265.0,157.0,73.0,86.0,75.0,205.0,521.0,175.0,93.0,208.0
27,C384-102,nimodipine,CA7 — Carbonic anhydrase 7,仍可探索,UIAGMCDKSXEBJQ-UHFFFAOYSA-N__CHEMBL2326,UIAGMCDKSXEBJQ-UHFFFAOYSA-N,CHEMBL2326,True,4.0,35.0,5.0,3.0,7.0,65.0,242.0,52.0,53.0,354.0,True,3.0,23.0,3.0,2.0,5.0,29.0,52.0,180.0,40.0,39.0,284.0,95.0
28,C384-103,etravirine,FLT3 — Receptor-type tyrosine-protein kinase FLT3,仍可探索,PYGWGZALEOIKDF-UHFFFAOYSA-N__CHEMBL1974,PYGWGZALEOIKDF-UHFFFAOYSA-N,CHEMBL1974,True,4.0,188.0,67.0,78.0,270.0,25.0,118.0,414.0,311.0,179.0,True,4.0,131.0,38.0,55.0,198.0,203.0,23.0,97.0,310.0,232.0,155.0,484.0
29,C384-129,darunavir,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,仍可探索,CJBJHOAVZSMMDJ-HEXNFIEUSA-N__CHEMBL1902,CJBJHOAVZSMMDJ-HEXNFIEUSA-N,CHEMBL1902,True,4.0,194.0,114.0,52.0,55.0,6.0,456.0,80.0,107.0,269.0,True,3.0,124.0,80.0,27.0,43.0,3.0,4.0,350.0,59.0,89.0,216.0,129.0
