scenario,retained,selected,original_reviewed,status,message,mip_gap
fixed112_frozen_evidence,56,384,61,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0
fixed112_latest_exact_excluded,56,384,61,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0
