ligand_inchikey,drug_names,drug_feature_index,target_chembl_id,gene_symbol,target_feature_index,dtiam_probability,dtiam_validation_calibrated_probability,dtiam_model_version,dtiam_drug_rank,dtiam_target_rank
AAOVKJBEBIDNHE-UHFFFAOYSA-N,diazepam,0,CHEMBL1919,CACNA2D1,59,0.7878029,0.7147359771237254,dtiam_a_kdki_inactive_20260917,5,483
AAOVKJBEBIDNHE-UHFFFAOYSA-N,diazepam,0,CHEMBL1962,GABRA1,72,0.90484506,0.8488697166537855,dtiam_a_kdki_inactive_20260917,1,492
AAOVKJBEBIDNHE-UHFFFAOYSA-N,diazepam,0,CHEMBL1997,SLC29A1,87,0.6756376,0.604068661532941,dtiam_a_kdki_inactive_20260917,7,497
AAOVKJBEBIDNHE-UHFFFAOYSA-N,diazepam,0,CHEMBL284,DPP4,192,0.6258299,0.5582615216311211,dtiam_a_kdki_inactive_20260917,8,403
AAOVKJBEBIDNHE-UHFFFAOYSA-N,diazepam,0,CHEMBL2973,ROCK2,203,0.6175991,0.5508412723180446,dtiam_a_kdki_inactive_20260917,9,226
AAOVKJBEBIDNHE-UHFFFAOYSA-N,diazepam,0,CHEMBL3026,GABRA3,210,0.90284544,0.8463186432658566,dtiam_a_kdki_inactive_20260917,2,482
AAOVKJBEBIDNHE-UHFFFAOYSA-N,diazepam,0,CHEMBL3242,CA12,231,0.6817286,0.6097880144911663,dtiam_a_kdki_inactive_20260917,6,577
AAOVKJBEBIDNHE-UHFFFAOYSA-N,diazepam,0,CHEMBL4235,HSD11B1,306,0.8350158,0.7657492122477079,dtiam_a_kdki_inactive_20260917,4,334
AAOVKJBEBIDNHE-UHFFFAOYSA-N,diazepam,0,CHEMBL4588,MMP8,329,0.61594355,0.5493533785401141,dtiam_a_kdki_inactive_20260917,10,475
AAOVKJBEBIDNHE-UHFFFAOYSA-N,diazepam,0,CHEMBL4956,GABRA2,349,0.83965856,0.7709567658302218,dtiam_a_kdki_inactive_20260917,3,619
ACRHBAYQBXXRTO-OAQYLSRUSA-N,ivabradine,1,CHEMBL1287628,NOX1,8,0.91643405,0.863910473137058,dtiam_a_kdki_inactive_20260917,8,141
ACRHBAYQBXXRTO-OAQYLSRUSA-N,ivabradine,1,CHEMBL1893,SLC18A2,46,0.9771711,0.9533358846921504,dtiam_a_kdki_inactive_20260917,1,71
