query,model_a,model_b,queries,valid_correlations,n_per_query,mean_spearman,median_spearman,mean_top10_overlap,mean_top10_tie_expected,mean_top10_chance
drug_id,biomaster,conplex,719,719,50.0,0.17314640477100893,0.24030761961454786,2.467315716272601,2.4738750527756683,2.0
drug_id,biomaster,drugclip,719,719,50.0,0.09623443257692507,0.11001200480192064,2.6050069541029206,2.6050069541029206,2.0
drug_id,biomaster,dtbind,719,719,50.0,0.08847602462403599,0.08638655462184873,2.7927677329624476,2.7927677329624476,2.0
drug_id,biomaster,dtiam,719,719,50.0,0.19091535362406434,0.24350540216086444,3.5702364394993045,3.5702364394993045,2.0
drug_id,biomaster,nesso,719,719,50.0,0.20346219155255982,0.21699879951980786,3.1696801112656465,3.1696801112656465,2.0
drug_id,biomaster,probematch,719,719,50.0,0.009828582921190328,0.008019207683073211,2.1821974965229485,2.1821974965229485,2.0
drug_id,conplex,dtbind,719,719,50.0,0.07276667052730391,0.08211334986690866,2.379694019471488,2.390980754155309,2.0
drug_id,conplex,nesso,719,719,50.0,0.16133605658395894,0.19964857959342192,2.769123783031989,2.782810658646744,2.0
drug_id,conplex,probematch,719,719,50.0,0.025997741703505647,0.025440860742555856,2.4130737134909594,2.437183957134051,2.0
drug_id,drugclip,conplex,719,719,50.0,0.05725273945569841,0.06989388810240171,2.2364394993045895,2.2529001709998515,2.0
drug_id,drugclip,dtbind,719,719,50.0,0.028597208006985828,0.011956782713085218,2.4172461752433936,2.4172461752433936,2.0
drug_id,drugclip,dtiam,719,719,50.0,0.02133435293449786,0.022040816326530616,2.070931849791377,2.070931849791377,2.0
drug_id,drugclip,nesso,719,719,50.0,0.13956859517103087,0.13834333733493406,2.7162726008344924,2.7162726008344924,2.0
drug_id,drugclip,probematch,719,719,50.0,0.025181514064138003,0.023097238895558134,2.3282336578581364,2.3289290681502086,2.0
drug_id,dtiam,conplex,719,719,50.0,0.12862996033996202,0.1375165200406643,2.577190542420028,2.578054646687137,2.0
drug_id,dtiam,dtbind,719,719,50.0,-0.07204918128586622,-0.07726290516206492,1.9986091794158554,1.9986091794158554,2.0
drug_id,dtiam,nesso,719,719,50.0,-0.047651550188921185,-0.047298919567827134,2.2573018080667593,2.2573018080667593,2.0
drug_id,dtiam,probematch,719,719,50.0,0.04369978147239245,0.03788715486194468,2.477051460361613,2.477051460361613,2.0
drug_id,nesso,dtbind,719,719,50.0,0.12415636630173628,0.12374549819927967,3.090403337969402,3.090403337969402,2.0
drug_id,nesso,probematch,719,719,50.0,0.0082384590025988,0.00657863145258107,2.4617524339360224,2.4610570236439497,2.0
drug_id,probematch,dtbind,719,719,50.0,0.344984609328402,0.35759903961584627,3.389429763560501,3.389429763560501,2.0
target_id,biomaster,conplex,50,50,719.0,0.009544399182047525,-0.0071683706483585815,0.74,0.75,0.13908205841446453
target_id,biomaster,drugclip,50,50,719.0,0.08133774579979097,0.08904215464840144,0.68,0.68,0.13908205841446453
target_id,biomaster,dtbind,50,50,719.0,0.17958823053296663,0.18841703705579826,0.96,0.96,0.13908205841446453
target_id,biomaster,dtiam,50,50,719.0,-0.026477339877586117,-0.03665353331697206,0.7,0.7,0.13908205841446453
target_id,biomaster,nesso,50,50,719.0,0.23172350466940517,0.22398687695563962,2.12,2.12,0.13908205841446453
target_id,biomaster,probematch,50,50,719.0,0.09476095912476584,0.10829927395981147,0.44,0.45454545454545453,0.13908205841446453
target_id,conplex,dtbind,50,50,719.0,0.033231811637414975,0.040002827788849483,0.46,0.46,0.13908205841446453
target_id,conplex,nesso,50,50,719.0,0.08589116407413773,0.08411941632068168,0.84,0.85,0.13908205841446453
target_id,conplex,probematch,50,50,719.0,-0.07481353952365769,-0.0893298707583788,0.36,0.3527272727272727,0.13908205841446453
target_id,drugclip,conplex,50,50,719.0,0.05019633321567733,0.04924933701584638,0.4,0.4,0.13908205841446453
target_id,drugclip,dtbind,50,50,719.0,0.11782459078265983,0.13260235183316918,0.28,0.28,0.13908205841446453
target_id,drugclip,dtiam,50,50,719.0,0.061287638308552106,0.06334438513323426,0.4,0.4,0.13908205841446453
target_id,drugclip,nesso,50,50,719.0,0.09729649178423719,0.07602468093129447,0.52,0.52,0.13908205841446453
target_id,drugclip,probematch,50,50,719.0,0.07982537858948435,0.07510466667441502,0.32,0.3181818181818182,0.13908205841446453
target_id,dtiam,conplex,50,50,719.0,0.042349455845962815,0.03026586798124977,0.78,0.78,0.13908205841446453
target_id,dtiam,dtbind,50,50,719.0,-0.013001388202955537,-0.008407919984996008,0.28,0.28,0.13908205841446453
target_id,dtiam,nesso,50,50,719.0,-0.08349602506383351,-0.118088902580072,0.84,0.84,0.13908205841446453
target_id,dtiam,probematch,50,50,719.0,0.07949625153257496,0.06981076646799605,0.54,0.5666666666666667,0.13908205841446453
target_id,nesso,dtbind,50,50,719.0,0.2645754993997019,0.306051262750057,0.88,0.88,0.13908205841446453
target_id,nesso,probematch,50,50,719.0,0.045220890329631,0.08881107869177562,0.46,0.4460606060606061,0.13908205841446453
target_id,probematch,dtbind,50,50,719.0,0.2078193928972213,0.22588599009051002,0.72,0.7181818181818181,0.13908205841446453
