model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,0.9925996958720613,roc_auc,1.3030946254730225,6053.34793138504,0.0007817745208740234,0.11845088005065918,2,True,12
LightGBMLarge,0.9914620637415711,roc_auc,0.12822556495666504,787.4537799358368,0.12822556495666504,787.4537799358368,1,True,10
LightGBM,0.9906351803125569,roc_auc,0.11606383323669434,795.3793566226959,0.11606383323669434,795.3793566226959,1,True,2
LightGBMXT,0.9904280145115729,roc_auc,0.14735698699951172,784.7196369171143,0.14735698699951172,784.7196369171143,1,True,1
XGBoost,0.9903415174503373,roc_auc,0.26772022247314453,1048.422329902649,0.26772022247314453,1048.422329902649,1,True,8
RandomForestGini,0.988842235055586,roc_auc,0.12008976936340332,274.25579500198364,0.12008976936340332,274.25579500198364,1,True,3
CatBoost,0.9887956049526152,roc_auc,0.026997089385986328,955.1309568881989,0.026997089385986328,955.1309568881989,1,True,5
RandomForestEntr,0.9887416777724621,roc_auc,0.11832857131958008,188.5528690814972,0.11832857131958008,188.5528690814972,1,True,4
NeuralNetTorch,0.9885754467946967,roc_auc,0.6705048084259033,3477.2385075092316,0.6705048084259033,3477.2385075092316,1,True,9
NeuralNetFastAI,0.9869756071168216,roc_auc,0.11577248573303223,465.8590681552887,0.11577248573303223,465.8590681552887,1,True,11
ExtraTreesEntr,0.9846996309458721,roc_auc,0.1176903247833252,54.22848153114319,0.1176903247833252,54.22848153114319,1,True,7
ExtraTreesGini,0.9822072341443412,roc_auc,0.12674331665039062,54.3174364566803,0.12674331665039062,54.3174364566803,1,True,6
