uniprot_accession,gene_symbol,drug_names,ligand_inchikey,experimental_positive_old_drug_name,conplex_official__rank_720,internal_selected_fusion__rank_720,S2_TARGET_COLD_25__binary__rank_720,S2_TARGET_COLD_25__affinity_pchembl__rank_720,S2_TARGET_COLD_25__binary_rank_unit__rank_720,S2_TARGET_COLD_25__affinity_rank_unit__rank_720,S3_DOUBLE_COLD_25__binary__rank_720,S3_DOUBLE_COLD_25__affinity_pchembl__rank_720,S3_DOUBLE_COLD_25__binary_rank_unit__rank_720,S3_DOUBLE_COLD_25__affinity_rank_unit__rank_720,S5_OLD_DRUG_COLD_5__binary__rank_720,S5_OLD_DRUG_COLD_5__affinity_pchembl__rank_720,S5_OLD_DRUG_COLD_5__binary_rank_unit__rank_720,S5_OLD_DRUG_COLD_5__affinity_rank_unit__rank_720
Q99611,SEPHS2,dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,dasatinib,596,263,346,234,346,234,297,226,297,226,395,202,395,202
A5D8V6,VPS37C,hydroxychloroquine,XXSMGPRMXLTPCZ-UHFFFAOYSA-N,hydroxychloroquine,389,222,183,238,183,238,252,273,252,273,219,193,219,193
