partition,score,rows,positives,prevalence,target_groups_with_both_classes,target_macro_auprc,target_macro_auroc,micro_auprc,micro_auroc
DEVELOPMENT_FOLDS_0_2,RAW_BINARY,1637,165,0.10079413561392792,54,0.5668144076407894,0.7219716667007001,0.290832243864299,0.7527009222661396
DEVELOPMENT_FOLDS_0_2,COUNTERFACTUAL_BINARY,1637,165,0.10079413561392792,54,0.5668144076407894,0.7219716667007001,0.290832243864299,0.7527009222661396
DEVELOPMENT_FOLDS_0_2,RAW_AFFINITY,1637,165,0.10079413561392792,54,0.5684507769734397,0.7247120512565516,0.23849366752642503,0.6851943346508564
DEVELOPMENT_FOLDS_0_2,COUNTERFACTUAL_AFFINITY,1637,165,0.10079413561392792,54,0.5684507769734397,0.7247120512565516,0.23849366752642503,0.6851943346508564
DEVELOPMENT_FOLDS_0_2,SELECTED_COUNTERFACTUAL_FUSION,1637,165,0.10079413561392792,54,0.5709493220196415,0.7263796174661155,0.23001458100285951,0.6950984025032938
HELDOUT_FOLDS_3_4,RAW_BINARY,919,189,0.20565832426550598,48,0.7355314945127418,0.8096106841454885,0.542920767663966,0.7565702688990359
HELDOUT_FOLDS_3_4,COUNTERFACTUAL_BINARY,919,189,0.20565832426550598,48,0.7355314945127418,0.8096106841454885,0.542920767663966,0.7565702688990359
HELDOUT_FOLDS_3_4,RAW_AFFINITY,919,189,0.20565832426550598,48,0.7326229251333617,0.8056131544499623,0.49640286358400076,0.7335072841922157
HELDOUT_FOLDS_3_4,COUNTERFACTUAL_AFFINITY,919,189,0.20565832426550598,48,0.7326229251333617,0.8056131544499623,0.49640286358400076,0.7335072841922157
HELDOUT_FOLDS_3_4,SELECTED_COUNTERFACTUAL_FUSION,919,189,0.20565832426550598,48,0.7320905086612598,0.8045944733810627,0.4062283174977117,0.7127020366746393
ALL_FOLDS_REPORT_ONLY,RAW_BINARY,2556,354,0.13849765258215962,102,0.6462106838158258,0.7632135572629535,0.3977485688048429,0.7416986098923937
ALL_FOLDS_REPORT_ONLY,COUNTERFACTUAL_BINARY,2556,354,0.13849765258215962,102,0.6462106838158258,0.7632135572629535,0.3977485688048429,0.7416986098923937
ALL_FOLDS_REPORT_ONLY,RAW_AFFINITY,2556,354,0.13849765258215962,102,0.6457082584604619,0.762783158641686,0.3368893435508674,0.7042262555355429
ALL_FOLDS_REPORT_ONLY,COUNTERFACTUAL_AFFINITY,2556,354,0.13849765258215962,102,0.6457082584604619,0.762783158641686,0.3368893435508674,0.7042262555355429
ALL_FOLDS_REPORT_ONLY,SELECTED_COUNTERFACTUAL_FUSION,2556,354,0.13849765258215962,102,0.6467804686745208,0.763186608484914,0.29458350790339494,0.7008247509967827
