drug_chembl_id,drug_name,base_chembl_id,model_ligand_smiles,therapeutic_area,route,scope_source,inclusion_reason
CHEMBL1168,Ramipril,CHEMBL1168,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21,Cardiovascular,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1172,Desloratadine,CHEMBL1172,Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,Immunology/Inflammation,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL117785,Tetrabenazine,CHEMBL117785,COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2,Other,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1179047,Chloroprocaine Hydrochloride,CHEMBL1179047,CCN(CC)CCOC(=O)c1ccc(N)cc1Cl,Other,Intrathecal,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL118,Celecoxib,CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,Immunology/Inflammation,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1183349,Isavuconazonium Sulfate,CHEMBL1183349,CNCC(=O)OCc1cccnc1N(C)C(=O)OC(C)[n+]1cnn(C[C@](O)(c2cc(F)ccc2F)[C@@H](C)c2nc(-c3ccc(C#N)cc3)cs2)c1,Infectious Disease,Intravenous,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1186579,Methylnaltrexone Bromide,CHEMBL1186579,C[N+]1(CC2CC2)CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,Neurology/Psychiatry,Subcutaneous,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1187833,Umeclidinium Bromide,CHEMBL1187833,OC(c1ccccc1)(c1ccccc1)C12CC[N+](CCOCc3ccccc3)(CC1)CC2,Neurology/Psychiatry,Inhalation,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1189432,Olopatadine Hydrochloride,CHEMBL1189432,CN(C)CC/C=C1/c2ccccc2COc2ccc(CC(=O)O)cc21,Immunology/Inflammation,Nasal,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1189679,Palonosetron Hydrochloride,CHEMBL1189679,O=C1c2cccc3c2[C@H](CCC3)CN1[C@@H]1CN2CCC1CC2,Oncology,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
