drug_chembl_id,drug_name,base_chembl_id,model_ligand_smiles,therapeutic_area,route,scope_source,inclusion_reason
CHEMBL1201109,Desonide,CHEMBL1201109,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,Endocrinology/Metabolic,Topical,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201111,Ondansetron,CHEMBL1201111,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,Oncology,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201115,Esmolol Hydrochloride,CHEMBL1201115,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1,Cardiovascular,Intravenous,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201117,Methocarbamol,CHEMBL1201117,COc1ccccc1OCC(O)COC(N)=O,Gastroenterology,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201127,Darunavir,CHEMBL1201127,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1,Infectious Disease,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201129,Decitabine,CHEMBL1201129,Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1,Oncology,Intravenous,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201134,Lubiprostone,CHEMBL1201134,CCCCC(F)(F)[C@@]1(O)CC[C@H]2[C@@H](CC(=O)[C@@H]2CCCCCCC(=O)O)O1,Gastroenterology,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201139,Megestrol Acetate,CHEMBL1201139,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,Oncology,Oral,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201141,Ibuprofen Lysine,CHEMBL1201141,CC(C)Cc1ccc(C(C)C(=O)O)cc1,Cardiovascular,Intravenous,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201149,Naltrexone,CHEMBL1201149,O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,Neurology/Psychiatry,Intramuscular,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201150,Sumatriptan Succinate,CHEMBL1201150,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,Neurology/Psychiatry,Subcutaneous,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201155,Loxapine,CHEMBL1201155,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,Neurology/Psychiatry,Inhalation,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201159,Fentanyl Citrate,CHEMBL1201159,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,Neurology/Psychiatry,"Buccal, Sublingual",legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
CHEMBL1201163,Sufentanil Citrate,CHEMBL1201163,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,Neurology/Psychiatry,Sublingual,legacy_direct_action_project,passed_direct_action_drug_feasibility_rules
