directory,allocated_GiB,files,candidate_GiB,website_literal_reference,decision
outputs/boltz2_calibration_338_v1,37.12833404541016,222350,29.796916961669922,False,PARTIAL_RETIREMENT_KEEP_REMAINDER
outputs/boltz2_discovery_conditional_v1,29.41363525390625,189191,23.533615112304688,False,PARTIAL_RETIREMENT_KEEP_REMAINDER
outputs/old_drug_target_sota_v1,28.2050895690918,5011,0.5522308349609375,True,PARTIAL_RETIREMENT_KEEP_REMAINDER
outputs/biomaster_pocket_precision_20260906,17.584613800048828,125969,9.508068084716797,False,PARTIAL_RETIREMENT_KEEP_REMAINDER
outputs/evidence_routing_compute_execution_20260808_v1,14.754402160644531,84562,0.0,True,KEEP_WEBSITE_SOURCE
outputs/biomaster_unified_interaction_20260906,11.80438232421875,143,8.021499633789062,False,PARTIAL_RETIREMENT_KEEP_REMAINDER
outputs/biomaster_context_full_20260908,10.94533920288086,111461,10.318107604980469,False,PARTIAL_RETIREMENT_KEEP_REMAINDER
outputs/boltz2_structure_affinity_v1,7.928192138671875,46947,5.778278350830078,False,PARTIAL_RETIREMENT_KEEP_REMAINDER
outputs/current_production_package_v2,4.9810943603515625,33915,0.0,True,KEEP_WEBSITE_SOURCE
outputs/biomaster_disease_evidence_720x888_20260909,4.738262176513672,1168,0.0,True,KEEP_WEBSITE_SOURCE
outputs/biomaster_v3_kirhub_temporal_20260906,3.941017150878906,122,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/strict_receptor_protocol_338_v1,2.970752716064453,5344,0.0,True,KEEP_WEBSITE_SOURCE
outputs/offline_release_20260909_r2,2.8357391357421875,6994,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/offline_release_20260909,2.8322105407714844,6991,2.2478485107421875,False,PARTIAL_RETIREMENT_KEEP_REMAINDER
outputs/biomaster_best_model_20260906,2.791000366210937,1005,0.17578887939453125,True,PARTIAL_RETIREMENT_KEEP_REMAINDER
outputs/affinity_first_remote_discovery_v1,1.9037551879882808,8831,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/retrain_20260901,1.3673210144042969,213,0.5647926330566406,False,PARTIAL_RETIREMENT_KEEP_REMAINDER
outputs/biomaster_explorer,1.36505126953125,123,0.0,True,KEEP_WEBSITE_SOURCE
outputs/biomaster_v3_20260905,1.3269996643066406,274,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_odti_v4_20260905,1.3124618530273438,104,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_bindingdb_target_token_feature_package_v1,1.1542739868164062,4,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/odti_unified_champion_s1_20260817,1.0058441162109375,107,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_odti_pretrained_residual_screen_v1,0.9967880249023438,132,0.9895248413085938,False,PARTIAL_RETIREMENT_KEEP_REMAINDER
outputs/odti_unified_champion_s3_20260817,0.979095458984375,107,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_odti_local_graph_formal_v1,0.72998046875,196,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_old_drug_bidirectional_20260906,0.7144699096679688,195,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_v3_incremental_20260906,0.6246604919433594,179,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/full_conplex_rebuild_v2,0.6215019226074219,8,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/full_conplex_active_moiety_v4,0.6174163818359375,8,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_comprehensive_training_v1,0.5957107543945312,5,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_training_preparation_20260908,0.5617866516113281,59,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/gnina_calibration_338_v1,0.5538711547851562,2207,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_odti_esmc_formal_s3_20260819,0.4188995361328125,45,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/old_drug_target_sota_v2_s2_token_2seed,0.4125862121582031,47,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_odti_comprehensive_v1,0.4121627807617187,46,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_odti_e1_s3_screen_20260817,0.4116668701171875,44,0.40859222412109375,False,PARTIAL_RETIREMENT_KEEP_REMAINDER
outputs/biomaster_odti_esmc_debug,0.3764228820800781,37,0.3743934631347656,False,PARTIAL_RETIREMENT_KEEP_REMAINDER
outputs/chembl_moa_enhanced_information_package_v1,0.3682746887207031,373,0.0,True,KEEP_WEBSITE_SOURCE
outputs/recovered_gnina_pocket_validation_23_v1,0.3374595642089844,316,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_bindingdb_affinity_augmented_screen_v1,0.312713623046875,37,0.310760498046875,False,PARTIAL_RETIREMENT_KEEP_REMAINDER
outputs/affinity_experiment_package_v8,0.3017807006835937,4428,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
outputs/biomaster_recent_target_strengthening_v1,0.2480812072753906,40,0.0,False,NOT_SELECTED_FOR_THIS_CLEANUP
