directory,allocated_GiB,files
outputs/boltz2_calibration_338_v1,37.128334045410156,222350
outputs/boltz2_calibration_338_v1/formal_screen_run,36.876888275146484,204674
outputs/boltz2_discovery_conditional_v1,29.41363525390625,189191
outputs/boltz2_discovery_conditional_v1/screen_run,29.21611785888672,174355
outputs/old_drug_target_sota_v1,28.205089569091797,5011
outputs/old_drug_target_sota_v1/public_retrained_v1,21.763900756835938,808
outputs/biomaster_pocket_precision_20260906,17.584613800048828,125969
outputs/evidence_routing_compute_execution_20260808_v1,14.754402160644531,84562
outputs/biomaster_pocket_precision_20260906/structural_data,14.71966552734375,124683
outputs/biomaster_unified_interaction_20260906,11.80438232421875,143
outputs/biomaster_unified_interaction_20260906/features,11.492469787597656,53
outputs/biomaster_context_full_20260908,10.94533920288086,111461
outputs/biomaster_context_full_20260908/data,9.294025421142578,111263
outputs/boltz2_structure_affinity_v1,7.928192138671875,46947
outputs/boltz2_structure_affinity_v1/boltz_cache,7.558017730712891,45230
outputs/current_production_package_v2,4.9810943603515625,33915
outputs/biomaster_disease_evidence_720x888_20260909,4.738262176513672,1168
outputs/biomaster_disease_evidence_720x888_20260909/eckg,4.128231048583984,61
outputs/biomaster_v3_kirhub_temporal_20260906,3.9410171508789062,122
outputs/biomaster_v3_kirhub_temporal_20260906/temporal,3.9398841857910156,113
outputs/strict_receptor_protocol_338_v1,2.970752716064453,5344
outputs/offline_release_20260909_r2,2.8357391357421875,6994
outputs/offline_release_20260909,2.8322105407714844,6991
outputs/biomaster_best_model_20260906,2.7910003662109375,1005
outputs/current_production_package_v2/full_untruncated_universe_v4,2.7762603759765625,28488
outputs/evidence_routing_compute_execution_20260808_v1/incremental_local_discovery,2.7290992736816406,30689
outputs/strict_receptor_protocol_338_v1/targets,2.703571319580078,4405
outputs/evidence_routing_compute_execution_20260808_v1/v5_l2_pair_deepening_v1,2.5256309509277344,657
outputs/evidence_routing_compute_execution_20260808_v1/e5_expanded_controls,2.3715438842773438,24386
outputs/offline_release_20260909_r2/BioMaster_Offline_Windows_x64,2.2496795654296875,6989
outputs/offline_release_20260909/BioMaster_Offline_Windows_x64,2.2478485107421875,6986
outputs/affinity_first_remote_discovery_v1,1.9037551879882812,8831
