drug_id,name,smiles,native_feature_index,gene_symbol,drug_to_target_logit,target_to_drug_logit,ours_rank,evidence,dtiam_probability,dtiam_rank,drugclip_score,drugclip_max_mean_cosine,winning_pocket,winning_pocket_fold_cosine_std,fold_0_rank,fold_1_rank,fold_2_rank,fold_3_rank,fold_4_rank,fold_5_rank,fold_top20_count,drugclip_cosine_rank,drugclip_rank,drugclip_pocket_route,models_in_top20
RDOIQAHITMMDAJ-UHFFFAOYSA-N,loperamide,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,88026,LYVE1,-11.234429,-9.33936,278,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.34133866,295,0.39923662,0.108109884,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.037816767,434,424,364,318,406,381,0,376,371,DTWG,0
UBQNRHZMVUUOMG-UHFFFAOYSA-N,zonisamide,NS(=O)(=O)Cc1noc2ccccc12,248630,LYVE1,-8.94157,-9.340294,279,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.09969505,669,-0.35628998,-0.03333427,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.10351452,616,551,400,673,374,703,0,610,580,DTWG,0
ZKLPARSLTMPFCP-OAQYLSRUSA-N,levocetirizine,O=C(O)COCCN1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1,283313,LYVE1,-8.7826395,-9.361202,280,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.20232105,428,1.2087889,0.25966832,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.06743257,165,286,166,214,108,180,0,134,140,DTWG,0
BMKDZUISNHGIBY-ZETCQYMHSA-N,dexrazoxane,C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,165224,LYVE1,-7.9116683,-9.372718,281,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.13163792,574,1.5448613,0.29747033,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.05600398,213,52,138,156,93,110,0,89,74,DTWG,0
POGQSBRIGCQNEG-UHFFFAOYSA-N,rufinamide,NC(=O)c1cn(Cc2c(F)cccc2F)nn1,244283,LYVE1,-8.840516,-9.388644,282,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.14311542,551,-1.1632328,-0.18440418,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.10513509,679,682,452,704,689,707,0,707,702,DTWG,0
OFPXSFXSNFPTHF-UHFFFAOYSA-N,oxaprozin,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,282800,LYVE1,-8.35936,-9.399286,283,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.0939929,684,-0.32125026,0.0015212247,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.16614974,588,587,279,688,498,205,0,557,569,DTWG,0
VFCRKLWBYMDAED-REWPJTCUSA-N,nirogacestat,CCC[C@H](N[C@H]1CCc2cc(F)cc(F)c2C1)C(=O)Nc1cn(C(C)(C)CNCC(C)(C)C)cn1,61059,LYVE1,-10.114907,-9.410984,284,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.81762177,45,0.05108084,0.04293071,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.086280085,353,520,312,497,551,519,0,492,476,DTWG,0
PCHKPVIQAHNQLW-CQSZACIVSA-N,niraparib,NC(=O)c1cccc2cn(-c3ccc([C@@H]4CCCNC4)cc3)nc12,243964,LYVE1,-9.008292,-9.4371,285,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.52322483,174,1.2385743,0.2652445,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.05293218,230,153,62,158,208,344,0,126,132,DTWG,0
OEOLOEUAGSPDLT-UHFFFAOYSA-N,minoxidil,Nc1cc(N2CCCCC2)nc(N)[n+]1OS(=O)(=O)[O-],254366,LYVE1,-7.9759173,-9.451541,286,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.18537939,460,0.95507795,0.20393582,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.04392823,269,302,143,226,164,310,0,209,199,DTWG,0
KPVIXBKIJXZQJX-CSOZIWFHSA-N,lefamulin,C=C[C@]1(C)C[C@@H](OC(=O)CS[C@@H]2CC[C@@H](N)C[C@H]2O)[C@]2(C)C(C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,12420,LYVE1,-9.16919,-9.469937,287,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.26019585,356,1.2720212,0.25420025,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.13347846,358,92,402,99,257,21,0,140,128,DTWG,0
WYWIFABBXFUGLM-UHFFFAOYSA-N,oxymetazoline,Cc1cc(C(C)(C)C)c(O)c(C)c1CC1=NCCN1,184549,LYVE1,-8.188688,-9.470391,288,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.09802251,673,1.5409458,0.29684937,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.124307804,145,94,35,182,345,13,1,90,75,DTWG,0
CUIHSIWYWATEQL-UHFFFAOYSA-N,pazopanib,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,198610,LYVE1,-12.131993,-9.470889,289,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.78720176,57,-0.33180404,-0.0001525109,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.084469564,523,544,411,499,642,629,0,565,577,DTWG,0
IKKXOSBHLYMWAE-QRPMWFLTSA-N,islatravir,C#C[C@]1(CO)O[C@@H](n2cnc3c(N)nc(F)nc32)C[C@@H]1O,1571,LYVE1,-8.790812,-9.492058,290,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.3676648,278,0.40353146,0.11646532,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.094091624,149,435,227,321,454,431,0,360,369,DTWG,0
ZSBOMTDTBDDKMP-OAHLLOKOSA-N,alogliptin,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O,219732,LYVE1,-9.46294,-9.504252,291,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.16122995,504,0.1571881,0.06279533,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.029570172,411,84,259,402,480,505,0,463,451,DTWG,0
HCFDWZZGGLSKEP-UHFFFAOYSA-N,doxylamine,CN(C)CCOC(C)(c1ccccc1)c1ccccn1,90674,LYVE1,-9.970706,-9.514052,292,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.11712965,615,0.3494795,0.10789315,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.090062775,201,398,390,390,578,203,0,377,388,DTWG,0
WANIDIGFXJFFEL-SANMLTNESA-N,relacorilant,Cn1cc(S(=O)(=O)N2CCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@]3(C(=O)c3cc(C(F)(F)F)ccn3)C2)cn1,223703,LYVE1,-15.2882395,-9.539934,293,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.7252697,78,-0.7138644,-0.100276716,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.09803076,438,650,481,671,604,472,0,674,654,DTWG,0
GEJDGVNQKABXKG-CFKGEZKQSA-N,valbenazine,COc1cc2c(cc1OC)[C@H]1C[C@@H](OC(=O)[C@@H](N)C(C)C)[C@H](CC(C)C)CN1CC2,135434,LYVE1,-9.132937,-9.551262,294,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.14622538,541,0.2544861,0.08101075,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.08511299,505,461,428,187,397,573,0,431,419,DTWG,0
FNKQXYHWGSIFBK-RPDRRWSUSA-N,sapropterin,C[C@H](O)[C@H](O)[C@H]1CNc2[nH]c(N)nc(=O)c2N1,172912,LYVE1,-8.924037,-9.564576,295,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.13494429,566,0.32601354,0.09902268,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.11433325,339,572,371,199,229,606,0,399,399,DTWG,0
ZSWMIFNWDQEXDT-ZESJGQACSA-N,zoliflodacin,C[C@@H]1CN2c3c(cc4c(N5C(=O)OC[C@@H]5C)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@H]2[C@H](C)O1,168671,LYVE1,-8.826963,-9.582473,296,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.2687393,347,1.8180554,0.34079656,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.10388449,67,164,177,25,117,49,0,53,47,DTWG,0
ALWKGYPQUAPLQC-UHFFFAOYSA-N,neostigmine,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,88387,LYVE1,-9.290233,-9.5854435,297,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.089131385,695,0.95348835,0.20368372,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.1087038,84,146,116,515,287,135,0,210,201,DTWG,0
CYHWMBVXXDIZNZ-KRWDZBQOSA-N,remimazolam,COC(=O)CC[C@@H]1N=C(c2ccccn2)c2cc(Br)ccc2-n2c(C)cnc21,110674,LYVE1,-9.249299,-9.58878,298,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.45449618,215,-0.026304876,0.048297007,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.13446951,601,360,293,687,620,194,0,482,496,DTWG,0
GOTYRUGSSMKFNF-UHFFFAOYSA-N,lenalidomide,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,255736,LYVE1,-8.011568,-9.598189,299,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.17126603,486,0.7834041,0.17670983,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.13970089,371,383,96,236,151,329,0,249,249,DTWG,0
YKPUWZUDDOIDPM-SOFGYWHQSA-N,capsaicin,COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,127850,LYVE1,-8.446202,-9.598988,300,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.14890772,529,1.378375,0.291417,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.095451616,182,100,237,239,139,55,0,92,108,DTWG,0
VJJPUSNTGOMMGY-MRVIYFEKSA-N,etoposide,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,132704,LYVE1,-9.557465,-9.656546,301,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.11599717,617,-0.28220645,-0.01946489,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.09018773,646,593,647,298,524,587,0,590,560,DTWG,0
MCGSCOLBFJQGHM-SCZZXKLOSA-N,abacavir,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,257206,LYVE1,-8.710305,-9.664433,302,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.27394438,343,0.9703103,0.20635152,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.089253746,141,411,344,135,189,316,0,205,191,DTWG,0
VCKUSRYTPJJLNI-UHFFFAOYSA-N,terazosin,COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC,135836,LYVE1,-8.872,-9.69636,303,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.13666639,563,0.9948764,0.2102475,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.09365081,275,42,206,172,265,446,0,195,182,DTWG,0
WAEXFXRVDQXREF-UHFFFAOYSA-N,vorinostat,O=C(CCCCCCC(=O)Nc1ccccc1)NO,263130,LYVE1,-10.026317,-9.708427,304,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.38675952,263,2.58084,0.5165337,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.063978404,44,46,5,12,2,23,3,4,8,DTWG,1
YLXDSYKOBKBWJQ-LBPRGKRZSA-N,ramelteon,CCC(=O)NCC[C@@H]1CCc2ccc3c(c21)CCO3,49797,LYVE1,-10.319563,-9.712929,305,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.2874003,330,1.1894687,0.24110816,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.10671003,125,189,39,563,153,201,0,152,144,DTWG,0
AFLFKFHDSCQHOL-IZZDOVSWSA-N,elafibranor,CSc1ccc(C(=O)/C=C/c2cc(C)c(OC(C)(C)C(=O)O)c(C)c2)cc1,164305,LYVE1,-8.782642,-9.72425,306,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.26607606,351,0.6597233,0.15709512,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.11155846,238,376,266,77,271,399,0,294,294,DTWG,0
JJVAPHYEOZSKJZ-JGCGQSQUSA-N,zavegepant,Cc1cc(C[C@@H](NC(=O)N2CCC(c3cc4ccccc4[nH]c3=O)CC2)C(=O)N2CCN(C3CCN(C)CC3)CC2)cc2cn[nH]c12,186354,LYVE1,-9.096221,-9.725131,307,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.8384638,35,0.16846557,0.06490662,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.042854782,422,517,373,424,515,440,0,459,445,DTWG,0
AHOUBRCZNHFOSL-YOEHRIQHSA-N,paroxetine,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,229620,LYVE1,-10.471226,-9.730503,308,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.22762649,395,1.2106215,0.2600114,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.06444252,160,220,90,361,237,126,0,133,139,DTWG,0
RYIDHLJADOKWFM-MAODMQOUSA-N,samidorphan,NC(=O)c1ccc2c(c1O)[C@]13CCN(CC4CC4)[C@H](C2)[C@]1(O)CCC(=O)C3,243349,LYVE1,-8.73795,-9.747538,309,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.15474926,517,-0.2135069,0.018608388,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.07916656,425,396,619,379,434,562,0,525,544,DTWG,0
MLBVMOWEQCZNCC-OEMFJLHTSA-N,fosamprenavir,CC(C)CN(C[C@@H](OP(=O)(O)O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,30519,LYVE1,-9.978639,-9.795047,310,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.47180766,203,-0.02569768,0.0285568,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.117752835,585,484,232,595,301,552,0,509,494,DTWG,0
OXPLANUPKBHPMS-ZXBNPROVSA-N,ciclesonide,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1C[C@H]1O[C@@H](C3CCCCC3)O[C@]12C(=O)CO,176165,LYVE1,-13.690044,-9.800901,311,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.29544616,323,-0.077033244,0.018946132,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.13801926,656,348,693,462,218,593,0,524,507,DTWG,0
PYNXFZCZUAOOQC-UTKZUKDTSA-N,sacubitril,CCOC(=O)[C@H](C)C[C@@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)CCC(=O)O,69981,LYVE1,-8.397118,-9.803175,312,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.28164157,334,1.4373654,0.28042242,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.045173213,77,141,119,108,149,73,0,105,92,DTWG,0
DKNWSYNQZKUICI-UHFFFAOYSA-N,amantadine,NC12CC3CC(CC(C3)C1)C2,245830,LYVE1,-10.489488,-9.838558,313,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.12138482,604,0.063645445,0.045282964,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.12794538,240,554,606,358,536,572,0,485,474,DTWG,0
WEAJZXNPAWBCOA-INIZCTEOSA-N,avanafil,COc1ccc(CNc2nc(N3CCC[C@H]3CO)ncc2C(=O)NCc2ncccn2)cc1Cl,144245,LYVE1,-11.040411,-9.877658,314,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.34230614,293,-0.24070303,0.014295322,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.060029242,652,560,468,471,445,614,0,537,551,DTWG,0
IQVRBWUUXZMOPW-PKNBQFBNSA-N,istradefylline,CCn1c(=O)c2c(nc(/C=C/c3ccc(OC)c(OC)c3)n2C)n(CC)c1=O,85375,LYVE1,-9.753352,-9.893306,315,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.10998899,640,1.8852954,0.35146025,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.078636855,93,28,187,51,45,95,0,43,38,DTWG,0
ZIAOVIPSKUPPQW-UHFFFAOYSA-N,doravirine,Cn1c(Cn2ccc(C(F)(F)F)c(Oc3cc(Cl)cc(C#N)c3)c2=O)n[nH]c1=O,220362,LYVE1,-10.372761,-9.901099,316,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.2728316,344,0.7005192,0.163565,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.07676763,309,88,349,479,449,212,0,279,279,DTWG,0
