drug_id,name,smiles,native_feature_index,gene_symbol,drug_to_target_logit,target_to_drug_logit,ours_rank,evidence,dtiam_probability,dtiam_rank,drugclip_score,drugclip_max_mean_cosine,winning_pocket,winning_pocket_fold_cosine_std,fold_0_rank,fold_1_rank,fold_2_rank,fold_3_rank,fold_4_rank,fold_5_rank,fold_top20_count,drugclip_cosine_rank,drugclip_rank,drugclip_pocket_route,models_in_top20,drugclip_dtwg_rank
UXNXMBYCBRBRFD-MUUNZHRXSA-N,berotralstat,N#Cc1cccc([C@@H](NCC2CC2)c2ccc(F)c(NC(=O)c3cc(C(F)(F)F)nn3-c3cccc(CN)c3)c2)c1,238134,HGF,4.3291078,5.437458,1,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.88353366,20,0.16256277,-0.004708126,HGF_P2RANK_1,0.13163735,421,625,496,497,620,150,0,500,477,P2RANK,2,31
AILRADAXUVEEIR-UHFFFAOYSA-N,brigatinib,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1,128985,HGF,-1.8562658,-0.10261508,2,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.9365238,1,-0.32726714,-0.08845759,HGF_P2RANK_1,0.07656316,451,665,604,622,626,529,0,618,593,P2RANK,2,670
VPPJLAIAVCUEMN-GFCCVEGCSA-N,lacosamide,COC[C@@H](NC(C)=O)C(=O)NCc1ccccc1,119827,HGF,-0.19083637,-0.12384479,3,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.1138783,647,0.7316869,0.09053009,HGF_P2RANK_3,0.09846636,115,411,299,126,548,384,0,338,315,P2RANK,1,513
WINHZLLDWRZWRT-ATVHPVEESA-N,sunitinib,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,63677,HGF,-3.2579637,-0.63846445,4,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.5008736,212,1.8702773,0.3392725,HGF_P2RANK_2,0.071223594,71,186,123,222,137,55,0,54,77,P2RANK,1,175
RVOLLAQWKVFTGE-UHFFFAOYSA-N,pyridostigmine,CN(C)C(=O)Oc1ccc[n+](C)c1,88379,HGF,-1.0609261,-0.71976554,5,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.06014903,715,1.0248412,0.13343848,HGF_P2RANK_3,0.1618291,16,519,309,85,337,563,1,274,241,P2RANK,1,555
KSGXQBZTULBEEQ-UHFFFAOYSA-N,dabigatran etexilate,CCCCCCOC(=O)NC(=N)c1ccc(NCc2nc3cc(C(=O)N(CCC(=O)OCC)c4ccccn4)ccc3n2C)cc1,55459,HGF,-2.0022988,-1.039661,6,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.6479695,121,1.5981736,0.2407478,HGF_P2RANK_1,0.042457096,191,148,121,129,61,195,0,129,115,P2RANK,1,8
LXBIFEVIBLOUGU-DPYQTVNSSA-N,migalastat,OC[C@H]1NC[C@H](O)[C@@H](O)[C@H]1O,303804,HGF,-1.9160016,-1.8407707,7,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.17341082,544,0.361646,0.029330453,HGF_P2RANK_1,0.07959399,652,291,381,292,593,388,0,445,421,P2RANK,1,681
GNXFOGHNGIVQEH-UHFFFAOYSA-N,methocarbamol,COc1ccccc1OCC(O)COC(N)=O,156316,HGF,-2.180712,-2.2394373,8,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.07284934,707,0.59352404,0.088983335,HGF_P2RANK_3,0.11688895,74,389,211,380,594,380,0,341,355,P2RANK,1,19
YQNQNVDNTFHQSW-UHFFFAOYSA-N,nitazoxanide,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,19616,HGF,-2.4001231,-2.3803623,9,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.11389389,646,1.9017906,0.3448693,HGF_P2RANK_2,0.11313122,90,83,23,113,29,33,0,51,74,P2RANK,1,77
BBAWEDCPNXPBQM-GDEBMMAJSA-N,telaprevir,CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,61038,HGF,-2.5292654,-2.5275822,10,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.6098585,144,0.13730675,0.0035318378,HGF_P2RANK_3,0.061673902,301,518,538,419,528,411,0,486,487,P2RANK,1,308
ZWUQVNSJSJHFPS-XFXZXTDPSA-N,prasugrel,O=C(O)/C=C1/CN(C(C(=O)C2CC2)c2ccccc2F)CCC1S,281766,HGF,-2.4832633,-2.6235542,11,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.46519727,245,0.461446,0.04639392,HGF_P2RANK_1,0.09374914,252,442,502,212,463,389,0,420,398,P2RANK,1,602
NSQSAUGJQHDYNO-UHFFFAOYSA-N,tazemetostat,CCN(c1cc(-c2ccc(CN3CCOCC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,64878,HGF,-2.6056707,-2.6478188,12,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.9272335,3,0.7179231,0.090245515,HGF_P2RANK_1,0.09936155,287,515,220,515,215,357,0,339,319,P2RANK,2,62
UQRORFVVSGFNRO-UTINFBMNSA-N,miglustat,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,56546,HGF,-3.2328634,-2.9898896,13,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.08715012,689,1.5257022,0.2780758,HGF_P2RANK_2,0.10066831,165,90,291,70,204,182,0,93,124,P2RANK,1,539
RZEKVGVHFLEQIL-UHFFFAOYSA-N,celecoxib,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,192052,HGF,-3.252424,-3.2426763,14,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.39242527,319,1.5872638,0.28900918,HGF_P2RANK_2,0.06797352,253,123,142,176,93,196,0,86,117,P2RANK,1,86
ZSBOMTDTBDDKMP-OAHLLOKOSA-N,alogliptin,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O,219732,HGF,-3.415022,-3.2833912,15,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.4001743,308,0.4261358,0.082792364,HGF_P2RANK_2,0.12975709,504,521,442,478,115,414,0,357,405,P2RANK,1,662
