drug_id,name,smiles,native_feature_index,gene_symbol,drug_to_target_logit,target_to_drug_logit,ours_rank,evidence,dtiam_probability,dtiam_rank,drugclip_score,drugclip_max_mean_cosine,winning_pocket,winning_pocket_fold_cosine_std,fold_0_rank,fold_1_rank,fold_2_rank,fold_3_rank,fold_4_rank,fold_5_rank,fold_top20_count,drugclip_cosine_rank,drugclip_rank,drugclip_pocket_route,models_in_top20
NEQYWYXGTJDAKR-JTQLQIEISA-N,olutasidenib,C[C@H](Nc1ccc(C#N)n(C)c1=O)c1cc2cc(Cl)ccc2[nH]c1=O,172253,LYVE1,-4.309399,-4.208756,31,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.34509537,291,0.25546455,0.08119393,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.12648824,561,130,243,545,350,487,0,430,418,DTWG,0
BTBHLEZXCOBLCY-QGZVFWFLSA-N,finerenone,CCOc1ncc(C)c2c1[C@H](c1ccc(C#N)cc1OC)C(C(N)=O)=C(C)N2,75572,LYVE1,-4.7474356,-4.2229104,32,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.77976,58,0.09280346,0.06718656,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.074874915,284,507,573,465,557,394,0,451,468,DTWG,0
VFBILHPIHUPBPZ-UHFFFAOYSA-N,difamilast,CCOc1ccccc1C(=O)NCc1coc(-c2ccc(OC(F)F)c(OC(C)C)c2)n1,75190,LYVE1,-4.106787,-4.287589,33,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.32807884,302,-0.4823151,-0.024022257,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.10846896,688,636,631,327,585,571,0,598,613,DTWG,0
MWLSOWXNZPKENC-UHFFFAOYSA-N,zileuton,CC(c1cc2ccccc2s1)N(O)C(N)=O,41730,LYVE1,-4.5815897,-4.28817,34,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.33356947,299,0.23953484,0.07821169,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.14053665,103,540,228,507,494,544,0,438,426,DTWG,0
JFOZKMSJYSPYLN-QHCPKHFHSA-N,lifitegrast,CS(=O)(=O)c1cccc(C[C@H](NC(=O)c2c(Cl)cc3c(c2Cl)CCN(C(=O)c2ccc4ccoc4c2)C3)C(=O)O)c1,163468,LYVE1,-4.2555504,-4.3428006,35,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.62184423,123,0.17341657,0.06583351,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.11191703,417,475,87,512,420,410,0,457,443,DTWG,0
NDDAHWYSQHTHNT-UHFFFAOYSA-N,indapamide,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,48759,LYVE1,-4.3365774,-4.4056683,36,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.44969058,217,2.6866078,0.47854146,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.10327851,3,18,7,175,4,7,5,9,5,DTWG,1
WAXQNWCZJDTGBU-UHFFFAOYSA-N,fosnetupitant;netupitant,Cc1ccccc1-c1cc(N2CCN(C)CC2)ncc1N(C)C(=O)C(C)(C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,204426,LYVE1,-4.4858756,-4.406202,37,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.7091765,85,-0.31027088,0.0032624602,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.08020495,545,550,590,423,662,524,0,552,565,DTWG,0
XRVDGNKRPOAQTN-FQEVSTJZSA-N,ozanimod,CC(C)Oc1ccc(-c2nc(-c3cccc4c3CC[C@@H]4NCCO)no2)cc1C#N,35347,LYVE1,-4.349815,-4.410232,38,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.7674843,63,0.4246045,0.11285908,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.1158876,192,361,440,167,410,429,0,368,359,DTWG,0
BPQMGSKTAYIVFO-UHFFFAOYSA-N,vismodegib,CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1,163010,LYVE1,-4.550904,-4.418351,39,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.3792466,267,1.3844368,0.27202842,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.08931919,416,63,147,120,167,121,0,119,107,DTWG,0
JIVPVXMEBJLZRO-UHFFFAOYSA-N,chlorthalidone,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,249068,LYVE1,-4.8280783,-4.4408274,40,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.40622336,248,1.6733333,0.3178449,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.076201126,79,95,17,267,131,106,1,68,59,DTWG,0
WRFHGDPIDHPWIQ-UHFFFAOYSA-N,sparsentan,CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2S(=O)(=O)Nc2noc(C)c2C)c(COCC)c1,53705,LYVE1,-4.55493,-4.4913344,41,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.63731676,117,-0.7915934,-0.0730711,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.086477906,506,701,572,635,669,611,0,652,671,DTWG,0
PDWUPXJEEYOOTR-UHFFFAOYSA-N,3-iodobenzylguanidine,N=C(N)NCc1cccc(I)c1,240082,LYVE1,-4.625961,-4.5162306,42,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.17863673,476,0.58047795,0.14204055,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.16966297,71,595,447,272,246,495,0,310,307,DTWG,0
LXBIFEVIBLOUGU-DPYQTVNSSA-N,migalastat,OC[C@H]1NC[C@H](O)[C@@H](O)[C@H]1O,303804,LYVE1,-4.6884456,-4.5461655,43,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.13473977,568,-0.1672554,0.0020553982,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.053230308,539,420,301,583,579,577,0,556,533,DTWG,0
IDUYJRXRDSPPRC-NRFANRHFSA-N,oteseconazole,O[C@@](Cn1cnnn1)(c1ccc(F)cc1F)C(F)(F)c1ccc(-c2ccc(OCC(F)(F)F)cc2)cn1,304487,LYVE1,-4.342415,-4.58005,44,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.4614101,206,0.0014565656,0.03364042,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.11730356,671,399,475,126,527,206,0,505,490,DTWG,0
DTGLZDAWLRGWQN-UHFFFAOYSA-N,prasugrel,CC(=O)Oc1cc2c(s1)CCN(C(C(=O)C1CC1)c1ccccc1F)C2,19541,LYVE1,-4.520157,-4.612646,45,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.20032085,431,0.3961082,0.11528806,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.066374674,392,421,219,387,312,464,0,362,372,DTWG,0
WOXKDUGGOYFFRN-IIBYNOLFSA-N,tadalafil,CN1CC(=O)N2[C@H](c3ccc4c(c3)OCO4)c3[nH]c4ccccc4c3C[C@@H]2C1=O,97020,LYVE1,-4.863883,-4.6166444,46,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.5628767,153,-0.3238953,0.001101744,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.07709495,466,582,294,636,616,668,0,558,570,DTWG,0
LKJPYSCBVHEWIU-UHFFFAOYSA-N,bicalutamide,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,41106,LYVE1,-4.6404824,-4.6475525,47,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.20722888,416,0.9045891,0.20271827,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.12012288,481,68,217,371,260,190,0,213,216,DTWG,0
ZBBHBTPTTSWHBA-UHFFFAOYSA-N,nicardipine,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,110303,LYVE1,-4.9882364,-4.7666845,48,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.2593479,357,0.04335218,0.04148381,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.108379416,504,436,601,555,412,235,0,493,478,DTWG,0
QCZAWDGAVJMPTA-RNFRBKRXSA-N,vorasidenib,C[C@@H](Nc1nc(N[C@H](C)C(F)(F)F)nc(-c2cccc(Cl)n2)n1)C(F)(F)F,166198,LYVE1,-4.87356,-4.8060994,49,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.32941616,300,1.0905813,0.22542547,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.10572022,442,334,179,102,146,186,0,169,165,DTWG,0
YQNWZWMKLDQSAC-UHFFFAOYSA-N,vortioxetine,Cc1ccc(Sc2ccccc2N2CCNCC2)c(C)c1,199744,LYVE1,-7.2862487,-4.8590136,50,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.25478625,366,0.19442168,0.08330233,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.0615037,263,367,385,638,421,506,0,425,437,DTWG,0
RJCWBNBKOKFWNY-IDPLTSGASA-N,omaveloxolone,CC1(C)CC[C@]2(NC(=O)C(C)(F)F)CC[C@]3(C)[C@H](C(=O)C=C4[C@@]5(C)C=C(C#N)C(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,43799,LYVE1,-4.9077406,-4.98872,51,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.36384615,283,0.098210834,0.06804412,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.09422135,418,389,653,284,499,395,0,448,466,DTWG,0
QXWZQTURMXZVHJ-UHFFFAOYSA-N,selexipag,CC(C)N(CCCCOCC(=O)NS(C)(=O)=O)c1cnc(-c2ccccc2)c(-c2ccccc2)n1,32697,LYVE1,-4.864335,-5.0007896,52,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.42109844,234,1.2161801,0.24534436,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.1362069,493,62,159,46,244,166,0,148,138,DTWG,0
HEAUOKZIVMZVQL-VWLOTQADSA-N,elagolix,COc1cccc(-c2c(C)n(Cc3c(F)cccc3C(F)(F)F)c(=O)n(C[C@H](NCCCC(=O)O)c3ccccc3)c2=O)c1F,151279,LYVE1,-4.934599,-5.019638,53,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.6107792,127,-0.3746543,-0.0367723,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.107858844,680,565,320,666,380,700,0,614,586,DTWG,0
NOZIJMHMKORZBA-KJCUYJGMSA-N,lusutrombopag,CCCCCCO[C@@H](C)c1cccc(-c2csc(NC(=O)c3cc(Cl)c(/C=C(\C)C(=O)O)c(Cl)c3)n2)c1OC,55484,LYVE1,-4.7809243,-5.0225387,54,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.5735065,146,-0.7610005,-0.06821935,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.10765506,576,694,448,468,634,667,0,649,665,DTWG,0
YQNQNVDNTFHQSW-UHFFFAOYSA-N,nitazoxanide,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,19616,LYVE1,-5.054123,-5.085643,55,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.10218878,663,2.3797948,0.42988357,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.040250707,38,14,15,94,18,37,3,19,16,DTWG,1
HTIQEAQVCYTUBX-UHFFFAOYSA-N,amlodipine,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,68470,LYVE1,-5.553999,-5.117899,56,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.21707208,404,-0.12027812,0.033393666,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.051209632,465,533,591,524,514,405,0,506,523,DTWG,0
XHOLNRLADUSQLD-UHFFFAOYSA-N,betrixaban,COc1ccc(NC(=O)c2ccc(C(=N)N(C)C)cc2)c(C(=O)Nc2ccc(Cl)cn2)c1,146363,LYVE1,-6.3449,-5.152255,57,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.6633318,106,-0.12899439,0.009218346,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.10537465,369,651,355,633,566,441,0,543,525,DTWG,0
VSWBSWWIRNCQIJ-HUUCEWRRSA-N,asenapine,CN1C[C@@H]2c3ccccc3Oc3ccc(Cl)cc3[C@H]2C1,101860,LYVE1,-5.6200542,-5.2108436,58,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.12715773,584,-0.6217983,-0.08304078,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.08684881,544,665,589,637,690,559,0,661,637,DTWG,0
BFDBKMOZYNOTPK-UHFFFAOYSA-N,vonoprazan,CNCc1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1,107247,LYVE1,-5.5689774,-5.2136483,59,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.25223184,370,0.46079016,0.12554605,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.09072916,95,432,376,535,477,264,0,337,342,DTWG,0
GYHCTFXIZSNGJT-UHFFFAOYSA-N,tolvaptan,Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(O)c3cc(Cl)ccc32)c(C)c1,204766,LYVE1,-5.4213233,-5.237252,60,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.6865092,93,-0.19951598,-0.0039841924,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.1294574,542,287,345,646,568,507,0,570,541,DTWG,0
FDBYIYFVSAHJLY-UHFFFAOYSA-N,resmetirom,CC(C)c1cc(Oc2c(Cl)cc(-n3nc(C#N)c(=O)[nH]c3=O)cc2Cl)n[nH]c1=O,37575,LYVE1,-5.0987377,-5.259243,61,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.5532734,155,2.2567313,0.41036674,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.07614262,127,15,11,41,37,67,2,24,19,DTWG,1
