drug_id,name,smiles,native_feature_index,gene_symbol,drug_to_target_logit,target_to_drug_logit,ours_rank,evidence,dtiam_probability,dtiam_rank,drugclip_score,drugclip_max_mean_cosine,winning_pocket,winning_pocket_fold_cosine_std,fold_0_rank,fold_1_rank,fold_2_rank,fold_3_rank,fold_4_rank,fold_5_rank,fold_top20_count,drugclip_cosine_rank,drugclip_rank,drugclip_pocket_route,models_in_top20,model
VNFPBHJOKIVQEB-UHFFFAOYSA-N,clotrimazole,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,218767,LYVE1,0.007349856,0.08695826,11,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.31205878,310,-0.82542646,-0.078436755,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.0678855,612,681,649,672,665,578,0,657,677,DTWG,1,BioMaster
RZEKVGVHFLEQIL-UHFFFAOYSA-N,celecoxib,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,192052,LYVE1,-0.35284087,-0.37860012,12,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.33598536,297,1.4141101,0.27673432,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.10569122,256,137,30,261,341,42,0,110,99,DTWG,1,BioMaster
NSQSAUGJQHDYNO-UHFFFAOYSA-N,tazemetostat,CCN(c1cc(-c2ccc(CN3CCOCC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,64878,LYVE1,-1.0234021,-1.0550354,13,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.9224238,1,-0.026196817,0.03891482,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.09977891,574,446,260,476,686,213,0,495,495,DTWG,2,BioMaster
FAEKWTJYAYMJKF-QHCPKHFHSA-N,repaglinide,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O,73344,LYVE1,-1.1039581,-1.2103522,14,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.29842675,319,0.16835335,0.06488561,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.066775076,635,477,410,332,337,455,0,460,446,DTWG,1,BioMaster
YTFHCXIPDIHOIA-DHZHZOJOSA-N,palovarotene,CC1(C)CCC(C)(C)c2cc(Cn3cccn3)c(/C=C/c3ccc(C(=O)O)cc3)cc21,43332,LYVE1,-1.8995829,-1.9800533,15,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.6441464,113,-1.15303,-0.13039182,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.08207708,708,648,695,651,633,631,0,692,700,DTWG,1,BioMaster
VGKDLMBJGBXTGI-SJCJKPOMSA-N,sertraline,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,108075,LYVE1,-2.9314916,-2.4276264,16,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.2366717,387,0.3456472,0.09807726,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.11682907,150,405,488,435,503,451,0,402,392,DTWG,1,BioMaster
VOVZXURTCKPRDQ-CQSZACIVSA-N,asciminib,O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(N2CC[C@@H](O)C2)c(-c2ccn[nH]2)c1,278301,LYVE1,-3.3956804,-2.7218504,17,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.837441,36,-0.38928208,-0.039510805,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.09595486,516,586,531,548,461,523,0,619,591,DTWG,1,BioMaster
VOVIALXJUBGFJZ-KWVAZRHASA-N,budesonide,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,53246,LYVE1,-7.080282,-2.9355485,18,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.15669431,514,-0.08129684,0.019619226,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.15431553,624,308,646,450,55,625,0,521,511,DTWG,1,BioMaster
XPOQHMRABVBWPR-ZDUSSCGKSA-N,efavirenz,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,294060,LYVE1,-3.0228913,-3.0896435,19,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.22874726,394,0.43311107,0.121156394,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.101758495,338,597,459,322,379,179,0,348,355,DTWG,1,BioMaster
KTUFNOKKBVMGRW-UHFFFAOYSA-N,imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,197500,LYVE1,-5.6862617,-3.2566156,20,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.66617537,102,-1.5037084,-0.2454077,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.17335588,674,716,687,624,718,697,0,716,714,DTWG,1,BioMaster
