drug_id,name,smiles,native_feature_index,gene_symbol,drug_to_target_logit,target_to_drug_logit,ours_rank,evidence,dtiam_probability,dtiam_rank,drugclip_score,drugclip_max_mean_cosine,winning_pocket,winning_pocket_fold_cosine_std,fold_0_rank,fold_1_rank,fold_2_rank,fold_3_rank,fold_4_rank,fold_5_rank,fold_top20_count,drugclip_cosine_rank,drugclip_rank,drugclip_pocket_route,models_in_top20,model
AVAACINZEOAHHE-VFZPANTDSA-N,doripenem,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](CNS(N)(=O)=O)C3)[C@H](C)[C@H]12,166588,LYVE1,-12.206313,-14.339143,645,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.18093355,471,2.6953716,0.47993132,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.0814164,32,7,38,4,15,29,3,8,4,DTWG,1,DrugCLIP
NDDAHWYSQHTHNT-UHFFFAOYSA-N,indapamide,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,48759,LYVE1,-4.3365774,-4.4056683,36,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.44969058,217,2.6866078,0.47854146,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.10327851,3,18,7,175,4,7,5,9,5,DTWG,1,DrugCLIP
DMJNNHOOLUXYBV-PQTSNVLCSA-N,meropenem,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12,166587,LYVE1,-11.312693,-12.960839,557,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.120489106,608,2.6567657,0.47380874,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.057202302,50,8,8,30,7,27,3,11,6,DTWG,1,DrugCLIP
LSQZJLSUYDQPKJ-NJBDSQKTSA-N,amoxicillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,45018,LYVE1,-7.4454207,-8.711876,225,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.1890008,454,2.6247036,0.5247455,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.07074089,104,26,1,1,11,8,4,3,7,DTWG,1,DrugCLIP
WAEXFXRVDQXREF-UHFFFAOYSA-N,vorinostat,O=C(CCCCCCC(=O)Nc1ccccc1)NO,263130,LYVE1,-10.026317,-9.708427,304,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.38675952,263,2.58084,0.5165337,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.063978404,44,46,5,12,2,23,3,4,8,DTWG,1,DrugCLIP
ZSKVGTPCRGIANV-ZXFLCMHBSA-N,imipenem,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,166586,LYVE1,-8.371955,-10.107008,332,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.20390129,422,2.5037284,0.44953835,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.0490998,17,5,53,31,51,26,2,15,9,DTWG,1,DrugCLIP
TYZROVQLWOKYKF-ZDUSSCGKSA-N,linezolid,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,16748,LYVE1,-5.526044,-5.770058,82,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.35222068,288,2.5005062,0.4490273,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.1050845,52,4,2,54,17,6,4,16,10,DTWG,1,DrugCLIP
AQNDDEOPVVGCPG-UHFFFAOYSA-N,esmolol,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1,110689,LYVE1,-9.684246,-11.352977,431,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.10208353,664,2.4594977,0.49381685,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.07858456,11,11,10,17,34,24,4,6,11,DTWG,1,DrugCLIP
FLSUCZWOEMTFAQ-PRBGKLEPSA-N,sulopenem,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@H]3CC[S@@+]([O-])C3)S[C@H]12,166589,LYVE1,-12.327571,-14.499312,655,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.11540776,619,2.4248667,0.4370315,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.065557964,2,22,32,50,85,40,1,17,12,DTWG,1,DrugCLIP
IUBSYMUCCVWXPE-UHFFFAOYSA-N,metoprolol,COCCc1ccc(OCC(O)CNC(C)C)cc1,119276,LYVE1,-11.170395,-12.580922,526,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.09847984,672,2.41828,0.48610035,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.09389636,10,85,12,20,32,38,3,7,13,DTWG,1,DrugCLIP
OUBCNLGXQFSTLU-UHFFFAOYSA-N,nitisinone,O=C1CCCC(=O)C1C(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-],290471,LYVE1,-8.170916,-8.205919,194,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.09498945,681,2.4098525,0.43465042,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.13531078,1,34,83,78,10,88,2,18,14,DTWG,1,DrugCLIP
CSKDFZIMJXRJGH-VWLPUNTISA-N,tecovirimat,O=C(NN1C(=O)[C@@H]2[C@@H]3C=C[C@@H]([C@H]4C[C@@H]34)[C@@H]2C1=O)c1ccc(C(F)(F)F)cc1,272865,LYVE1,-6.6078396,-7.329607,157,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.25706434,363,2.4033322,0.46237513,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.083300345,22,9,31,29,9,4,3,12,15,DTWG,1,DrugCLIP
YQNQNVDNTFHQSW-UHFFFAOYSA-N,nitazoxanide,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,19616,LYVE1,-5.054123,-5.085643,55,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.10218878,663,2.3797948,0.42988357,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.040250707,38,14,15,94,18,37,3,19,16,DTWG,1,DrugCLIP
ZBMZVLHSJCTVON-UHFFFAOYSA-N,sotalol,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,33764,LYVE1,-12.320911,-13.824755,612,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.14755885,537,2.3700402,0.47706926,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.09461573,19,31,23,18,5,34,3,10,17,DTWG,1,DrugCLIP
NNACHAUCXXVJSP-UHFFFAOYSA-N,pitolisant,Clc1ccc(CCCOCCCN2CCCCC2)cc1,218053,LYVE1,-8.112739,-8.925947,248,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.12101644,605,2.2722695,0.45876536,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.08551716,21,99,3,22,134,25,1,13,18,DTWG,1,DrugCLIP
FDBYIYFVSAHJLY-UHFFFAOYSA-N,resmetirom,CC(C)c1cc(Oc2c(Cl)cc(-n3nc(C#N)c(=O)[nH]c3=O)cc2Cl)n[nH]c1=O,37575,LYVE1,-5.0987377,-5.259243,61,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.5532734,155,2.2567313,0.41036674,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_refined_,0.07614262,127,15,11,41,37,67,2,24,19,DTWG,1,DrugCLIP
SMOBCLHAZXOKDQ-ZJUUUORDSA-N,relebactam,O=C(NC1CCNCC1)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O,268988,LYVE1,-10.445318,-12.124147,485,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.15836307,509,2.2266421,0.45022336,/mnt/nfs-ssd/data/DTWG_AF2_homoaug_complex/AF-Q9Y5Y7-F1-model_v4_0_0_0_complex_,0.090403154,31,32,34,26,16,9,2,14,20,DTWG,1,DrugCLIP
VPPJLAIAVCUEMN-GFCCVEGCSA-N,lacosamide,COC[C@@H](NC(C)=O)C(=O)NCc1ccccc1,119827,SLC8A1,2.3591821,2.7184868,1,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.116170116,680,0.85746336,0.122852564,SLC8A1_P2RANK_6,0.083234355,343,439,621,184,629,270,0,451,425,P2RANK,1,BioMaster
CEUORZQYGODEFX-UHFFFAOYSA-N,aripiprazole;aripiprazole lauroxil,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,290964,SLC8A1,-0.4690129,-0.40606254,2,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.57534736,277,1.0014403,0.17271018,SLC8A1_P2RANK_2,0.047814902,225,453,187,462,408,498,0,332,379,P2RANK,1,BioMaster
GKCBAIGFKIBETG-UHFFFAOYSA-N,tetracaine,CCCCNc1ccc(C(=O)OCCN(C)C)cc1,56907,SLC8A1,-0.63332766,-0.4413111,3,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.12704097,666,3.1041622,0.4314625,SLC8A1_P2RANK_2,0.09955329,13,53,35,72,24,14,2,36,27,P2RANK,1,BioMaster
NSQSAUGJQHDYNO-UHFFFAOYSA-N,tazemetostat,CCN(c1cc(-c2ccc(CN3CCOCC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,64878,SLC8A1,-1.9115409,-1.9277916,4,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.94009084,1,0.5676833,0.05319169,SLC8A1_P2RANK_2,0.046246443,553,274,469,495,599,648,0,610,551,P2RANK,2,BioMaster
XKLMZUWKNUAPSZ-UHFFFAOYSA-N,ranolazine,COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1,156314,SLC8A1,-1.9330095,-1.9644624,5,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.3862243,434,1.1176009,0.22073376,SLC8A1_P2RANK_6,0.08610277,246,302,313,446,324,534,0,253,329,P2RANK,1,BioMaster
WINHZLLDWRZWRT-ATVHPVEESA-N,sunitinib,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,63677,SLC8A1,-4.0888906,-2.0234065,6,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.8385444,79,1.2873789,0.15321523,SLC8A1_P2RANK_6,0.09917357,146,214,275,628,282,320,0,380,260,P2RANK,1,BioMaster
XUKUURHRXDUEBC-KAYWLYCHSA-N,atorvastatin,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,37232,SLC8A1,-2.5644524,-2.257551,7,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.8488226,68,0.4921803,0.06823868,SLC8A1_P2RANK_3,0.066205785,486,650,428,393,663,451,0,576,572,P2RANK,1,BioMaster
QCZAWDGAVJMPTA-RNFRBKRXSA-N,vorasidenib,C[C@@H](Nc1nc(N[C@H](C)C(F)(F)F)nc(-c2cccc(Cl)n2)n1)C(F)(F)F,166198,SLC8A1,-2.2950337,-2.3416376,8,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.60699475,256,0.8913276,0.110471405,SLC8A1_P2RANK_3,0.060094677,199,529,419,658,427,431,0,481,418,P2RANK,1,BioMaster
RYMZZMVNJRMUDD-HGQWONQESA-N,simvastatin,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,50562,SLC8A1,-2.4788127,-2.4151068,9,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.6046551,258,0.2925033,0.047111392,SLC8A1_P2RANK_3,0.08405868,427,698,594,552,666,612,0,619,621,P2RANK,1,BioMaster
RKEWSXXUOLRFBX-UHFFFAOYSA-N,pimavanserin,CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)cc2)C2CCN(C)CC2)cc1,30983,SLC8A1,-2.3658829,-2.4534826,10,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.34366706,464,1.3852795,0.16273515,SLC8A1_P2RANK_3,0.09158974,189,356,354,517,359,182,0,356,217,P2RANK,1,BioMaster
AHOUBRCZNHFOSL-YOEHRIQHSA-N,paroxetine,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,229620,SLC8A1,-2.6196601,-2.6136997,11,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.35471353,457,1.6651535,0.45384738,SLC8A1_P2RANK_1,0.09252104,72,256,167,191,76,167,0,26,135,P2RANK,1,BioMaster
BMGQWWVMWDBQGC-IIFHNQTCSA-N,midostaurin,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,121491,SLC8A1,-6.6477404,-2.635476,12,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.6332774,234,0.29454005,0.047326893,SLC8A1_P2RANK_3,0.089400984,373,705,654,533,638,632,0,618,619,P2RANK,1,BioMaster
DWRIJNIPBUFCQS-DQEYMECFSA-N,elinzanetant,Cc1cc(F)ccc1-c1cc(N2C[C@H]3COCCN3C[C@H]2CO)ncc1N(C)C(=O)C(C)(C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,186997,SLC8A1,-2.6191235,-2.7055504,13,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.8347412,83,0.2796277,0.045749057,SLC8A1_P2RANK_3,0.047859132,619,536,472,389,637,479,0,622,624,P2RANK,1,BioMaster
ZBBHBTPTTSWHBA-UHFFFAOYSA-N,nicardipine,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,110303,SLC8A1,-3.0310113,-2.9824567,14,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.45408204,371,1.3459606,0.15857494,SLC8A1_P2RANK_3,0.074484125,286,502,166,414,178,381,0,364,230,P2RANK,1,BioMaster
IDUYJRXRDSPPRC-NRFANRHFSA-N,oteseconazole,O[C@@](Cn1cnnn1)(c1ccc(F)cc1F)C(F)(F)c1ccc(-c2ccc(OCC(F)(F)F)cc2)cn1,304487,SLC8A1,-3.1101363,-3.2301397,15,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.59267503,266,0.3173185,0.049737018,SLC8A1_P2RANK_3,0.097115315,303,541,293,682,276,482,0,616,614,P2RANK,1,BioMaster
KPBZROQVTHLCDU-UHFFFAOYSA-N,clevidipine,CCCC(=O)OCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,52757,SLC8A1,-3.3962226,-3.3409278,16,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.24216169,544,0.62855434,0.08266806,SLC8A1_P2RANK_3,0.08583645,416,622,336,614,389,624,0,551,530,P2RANK,1,BioMaster
RDOIQAHITMMDAJ-UHFFFAOYSA-N,loperamide,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,88026,SLC8A1,-3.653828,-3.3659785,17,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.7522491,144,1.345114,0.15848534,SLC8A1_P2RANK_3,0.05921966,244,534,264,220,319,304,0,365,231,P2RANK,1,BioMaster
SECKRCOLJRRGGV-UHFFFAOYSA-N,vardenafil,CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)[nH]n12,61985,SLC8A1,-3.5814981,-3.37525,18,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.6965819,190,1.0509542,0.12736107,SLC8A1_P2RANK_3,0.04818485,587,322,430,437,561,243,0,440,362,P2RANK,1,BioMaster
KKGQTZUTZRNORY-UHFFFAOYSA-N,fingolimod,CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1,55053,SLC8A1,-3.4600139,-3.4750967,19,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.20957667,579,2.6107047,0.36977342,SLC8A1_P2RANK_6,0.07965446,59,51,73,94,66,85,0,90,42,P2RANK,1,BioMaster
HTIQEAQVCYTUBX-UHFFFAOYSA-N,amlodipine,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,68470,SLC8A1,-3.65887,-3.4795165,20,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.35134873,461,0.9453274,0.25770378,SLC8A1_P2RANK_3,0.046393335,339,613,457,400,358,404,0,198,403,P2RANK,1,BioMaster
NSQSAUGJQHDYNO-UHFFFAOYSA-N,tazemetostat,CCN(c1cc(-c2ccc(CN3CCOCC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,64878,SLC8A1,-1.9115409,-1.9277916,4,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.94009084,1,0.5676833,0.05319169,SLC8A1_P2RANK_2,0.046246443,553,274,469,495,599,648,0,610,551,P2RANK,2,DTIAM
MVRHVFSOIWFBTE-INIZCTEOSA-N,elexacaftor,Cc1nn(C)cc1S(=O)(=O)NC(=O)c1ccc(-n2ccc(OCC(C)(C)C(F)(F)F)n2)nc1N1C[C@@H](C)CC1(C)C,215213,SLC8A1,-5.2697253,-5.925783,84,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.93674546,2,0.6642354,0.08644339,SLC8A1_P2RANK_3,0.060363874,566,483,310,403,435,653,0,543,517,P2RANK,1,DTIAM
FRVSRBKUQZKTOW-YOCNBXQISA-N,revumenib,CCN(C(=O)c1cc(F)ccc1Oc1cncnc1N1CC2(CCN(C[C@H]3CC[C@H](NS(=O)(=O)CC)CC3)CC2)C1)C(C)C,62703,SLC8A1,-11.587634,-12.712163,493,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.93513095,3,0.6693921,0.068359755,SLC8A1_P2RANK_2,0.08123953,318,500,633,492,567,434,0,575,512,P2RANK,1,DTIAM
AILRADAXUVEEIR-UHFFFAOYSA-N,brigatinib,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1,128985,SLC8A1,-5.2420173,-4.416973,37,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.93458647,4,0.2672614,0.02521702,SLC8A1_P2RANK_6,0.084180154,376,635,667,504,706,412,0,651,626,P2RANK,1,DTIAM
GBLBJPZSROAGMF-RWYJCYHVSA-N,pralsetinib,CO[C@]1(C(=O)N[C@@H](C)c2ccc(-n3cc(F)cn3)nc2)CC[C@H](c2nc(C)cc(Nc3cc(C)[nH]n3)n2)CC1,122187,SLC8A1,-12.926063,-12.980241,513,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.9337336,5,0.23376782,0.019911112,SLC8A1_P2RANK_2,0.05879211,681,446,582,463,590,514,0,658,634,P2RANK,1,DTIAM
VCSUIBJKYCVWNF-NRFANRHFSA-N,vanzacaftor,CC1(C)C[C@@H]2CCCNc3cccc(n3)S(=O)(=O)NC(=O)c3ccc(-n4ccc(OCCC5C6(CC6)C56CC6)n4)nc3N1C2,44136,SLC8A1,-5.82045,-6.4399567,103,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.9326438,6,0.46030843,0.03164282,SLC8A1_P2RANK_5,0.06464937,590,513,583,391,535,567,0,640,580,P2RANK,1,DTIAM
HAYYBYPASCDWEQ-UHFFFAOYSA-N,entrectinib,CN1CCN(c2ccc(C(=O)Nc3n[nH]c4ccc(Cc5cc(F)cc(F)c5)cc34)c(NC3CCOCC3)c2)CC1,100411,SLC8A1,-10.564034,-9.333186,259,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.9298306,7,-0.20441365,-0.013469197,SLC8A1_P2RANK_6,0.08199441,634,674,705,528,711,465,0,692,699,P2RANK,1,DTIAM
OFZJKCQENFPZBH-UHFFFAOYSA-N,avatrombopag,O=C(Nc1nc(-c2cc(Cl)cs2)c(N2CCN(C3CCCCC3)CC2)s1)c1cnc(N2CCC(C(=O)O)CC2)c(Cl)c1,280979,SLC8A1,-6.9442883,-7.7962265,160,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.9213899,8,1.2936654,0.16145903,SLC8A1_P2RANK_2,0.07624353,211,572,309,181,293,427,0,359,255,P2RANK,1,DTIAM
VERWOWGGCGHDQE-UHFFFAOYSA-N,ceritinib,Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1C1CCNCC1,189245,SLC8A1,-14.505158,-12.083682,453,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.9164545,9,0.049411576,-0.0021174636,SLC8A1_P2RANK_6,0.0786556,627,686,642,381,715,487,0,681,670,P2RANK,1,DTIAM
DWYRIWUZIJHQKQ-SANMLTNESA-N,avapritinib,Cn1cc(-c2cc3c(N4CCN(c5ncc([C@@](C)(N)c6ccc(F)cc6)cn5)CC4)ncnn3c2)cn1,221024,SLC8A1,-11.302666,-11.026617,373,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.91461426,10,0.5150455,0.04653951,SLC8A1_P2RANK_2,0.05821548,579,379,614,340,633,416,0,621,567,P2RANK,1,DTIAM
LTXREWYXXSTFRX-QGZVFWFLSA-N,linagliptin,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,13607,SLC8A1,-8.304757,-8.959707,229,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.91054577,11,1.3707253,0.1611952,SLC8A1_P2RANK_3,0.04073441,616,244,253,157,271,386,0,361,219,P2RANK,1,DTIAM
CMJCXYNUCSMDBY-ZDUSSCGKSA-N,encorafenib,COC(=O)N[C@@H](C)CNc1nccc(-c2cn(C(C)C)nc2-c2cc(Cl)cc(NS(C)(=O)=O)c2F)n1,111403,SLC8A1,-15.427614,-12.874376,508,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.9096097,12,-0.3155048,-0.017220343,SLC8A1_P2RANK_3,0.06682805,713,632,592,697,710,680,0,696,705,P2RANK,1,DTIAM
GHILNKWBALQPDP-UHFFFAOYSA-N,paltusotine,N#Cc1cccc(-c2ccc3ncc(-c4cc(F)cc(F)c4)c(N4CCC(N)CC4)c3c2)c1O,237681,SLC8A1,-5.170901,-5.368984,58,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.90925074,13,0.7256838,0.23194636,SLC8A1_P2RANK_1,0.12274009,315,631,620,347,388,670,0,238,482,P2RANK,1,DTIAM
JWNPDZNEKVCWMY-VQHVLOKHSA-N,neratinib,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,73688,SLC8A1,-10.153702,-8.813543,219,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.9074923,14,0.8084094,0.09311702,SLC8A1_P2RANK_6,0.08761841,284,501,487,671,285,221,0,524,449,P2RANK,1,DTIAM
RNOAOAWBMHREKO-QFIPXVFZSA-N,zanubrutinib,C=CC(=O)N1CCC([C@@H]2CCNc3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn32)CC1,5569,SLC8A1,-14.782094,-13.043584,516,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.9066503,15,1.0745767,0.12651409,SLC8A1_P2RANK_6,0.09551639,172,385,464,662,548,242,0,443,352,P2RANK,1,DTIAM
UZWDCWONPYILKI-UHFFFAOYSA-N,abemaciclib,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,65972,SLC8A1,-11.303862,-9.8739,298,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.9064844,16,0.46468958,0.049989123,SLC8A1_P2RANK_6,0.04210022,395,630,601,531,473,575,0,615,578,P2RANK,1,DTIAM
AHJRHEGDXFFMBM-UHFFFAOYSA-N,palbociclib,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,19716,SLC8A1,-14.271568,-13.37457,541,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.9063705,17,0.066419065,1.6534701e-05,SLC8A1_P2RANK_6,0.0708428,512,700,641,684,672,583,0,680,667,P2RANK,1,DTIAM
SGEGOXDYSFKCPT-UHFFFAOYSA-N,vilazodone,N#Cc1ccc2[nH]cc(CCCCN3CCN(c4ccc5oc(C(N)=O)cc5c4)CC3)c2c1,237321,SLC8A1,-8.072546,-8.641512,206,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.90581006,18,1.6951685,0.22133608,SLC8A1_P2RANK_2,0.08375403,470,328,133,177,138,193,0,252,130,P2RANK,1,DTIAM
JJVAPHYEOZSKJZ-JGCGQSQUSA-N,zavegepant,Cc1cc(C[C@@H](NC(=O)N2CCC(c3cc4ccccc4[nH]c3=O)CC2)C(=O)N2CCN(C3CCN(C)CC3)CC2)cc2cn[nH]c12,186354,SLC8A1,-6.4117074,-7.2475786,136,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.90495247,19,1.5669646,0.20221676,SLC8A1_P2RANK_2,0.07654309,179,359,328,320,142,252,0,281,156,P2RANK,1,DTIAM
NYNZQNWKBKUAII-KBXCAEBGSA-N,larotrectinib,O=C(Nc1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12)N1CC[C@H](O)C1,280919,SLC8A1,-12.35024,-11.407567,403,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS,0.9044471,20,-0.57614845,-0.04479836,SLC8A1_P2RANK_3,0.034256,684,714,717,644,704,717,0,710,716,P2RANK,1,DTIAM
