model,target_a,target_b,spearman,top20_overlap
ours,LYVE1,SLC8A1,0.5988867648278642,2
ours,LYVE1,HGF,0.6065711289309329,4
ours,SLC8A1,HGF,0.5567051955475737,3
dtiam,LYVE1,SLC8A1,0.908828559983076,12
dtiam,LYVE1,HGF,0.8940726158808178,11
dtiam,SLC8A1,HGF,0.873397871780874,15
drugclip,LYVE1,SLC8A1,0.19975839073763646,2
drugclip,LYVE1,HGF,0.5847730544747707,7
drugclip,SLC8A1,HGF,0.5596993821361538,5
